[Event-to-counter mappings]
pmc1=inmediate_branches_retired
pmc2=instr
pmc3=instr_arch_executed
pmc4=instr_cache_access
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  10423       tick       2297517      11508541      11508541       5895865 
      2  10423       tick       3591130      17955672      17955672       8461506 
      3  10423       tick       3584471      17922382      17922382       8945159 
      4  10423       tick       3592664      17963353      17963353       9879372 
      5  10423       tick       3595734      17978702      17978702      10148137 
      6  10423       tick       3581756      17908809      17908809       9739763 
      7  10423       tick       3608746      18043765      18043765      10070050 
      8  10423       tick       3608826      18044159      18044159      10004055 
      9  10423       tick       3603522      18017626      18017626       9749656 
     10  10423       tick       3611452      18057288      18057288       9828380 
     11  10423       tick       3599557      17997806      17997806      10270680 
     12  10423       tick       3588716      17943612      17943612       9785539 
     13  10423       tick       3589830      17949183      17949183      10275662 
     14  10423       tick       3574937      17874716      17874716      10272456 
     15  10423       tick       3595438      17977211      17977211      10058975 
     16  10423       tick       3597541      17987735      17987735      10540079 
     17  10423       tick       3604879      18024417      18024417       9982802 
     18  10423       tick       3609318      18046624      18046624      10219503 
     19  10423       tick       3601578      18007917      18007917       9798701 
     20  10423       tick       3602189      18010963      18010963       9656511 
     21  10423       tick       3603635      18018195      18018195      10260327 
     22  10423       tick       3595513      17977594      17977594       9944662 
     23  10423       tick       3590017      17950116      17950116      10397526 
     24  10423       tick       3508962      17544844      17544844       9623719 
     25  10423       tick       3656054      18280303      18280303       9854616 
     26  10423       tick       3557209      17786079      17786079       9591000 
     27  10423       tick       3582073      17910397      17910397       9987843 
     28  10423       tick       3591272      17956383      17956383      10061442 
     29  10423       tick       3577006      17885066      17885066       9771628 
     30  10423       exit       1920025       9600193       9600193       5478302 
