[Event-to-counter mappings]
pmc0=cycles_allmodes
pmc1=bus_accesses
pmc2=cycles
pmc3=data_cache_eviction
[Event counts]
nsample    pid      event          pmc0          pmc1          pmc2          pmc3
      1  13943       tick     100255027         84048      73657485         41020 
      2  13943       tick     100041014         20533      95838396         18786 
      3  13943       tick     100047897         19146      95682451         19534 
      4  13943       tick      99957050         18328      95563382         19394 
      5  13943       tick     100038186         18516      95783341         19245 
      6  13943       tick      99949938         19355      95183131         19751 
      7  13943       tick     100042014         19238      95740060         18987 
      8  13943       tick      99839259         20284      95425709         19260 
      9  13943       tick     100234590         20633      95925417         19224 
     10  13943       tick     100040799         21138      95570741         19277 
     11  13943       tick      99895972         18500      95538592         19400 
     12  13943       tick     100037505         17801      95659530         19547 
     13  13943       tick     100039650         18739      95789763         19324 
     14  13943       tick      98720421         18538      94506965         19246 
     15  13943       tick     101265541         20359      96647188         20333 
     16  13943       tick      99913161         18058      95039190         20152 
     17  13943       tick     100042638         19762      95704800         19765 
     18  13943       tick     100037924         18253      95783497         19841 
     19  13943       tick     100038486         18267      95817191         19818 
     20  13943       tick     100039740         20313      95593253         19567 
     21  13943       tick      99895367         18325      95598315         19622 
     22  13943       tick     100048533         17711      95783145         19866 
     23  13943       tick     100041257         19237      95721317         19524 
     24  13943       tick     100041042         17957      95776658         19811 
     25  13943       tick      99964912         20130      95512583         19943 
     26  13943       tick      99923880         18438      95192091         20006 
     27  13943       tick     100002414         17742      95438454         19857 
     28  13943       tick      99950117         17034      95576779         20022 
     29  13943       tick     100116841         16882      95878617         19874 
     30  13943       tick     100039347         17835      95734328         19744 
     31  13943       tick      99888767         18777      95561714         19899 
     32  13943       tick     100044307         18091      95845358         19751 
     33  13943       tick     100037499         20148      95618861         19577 
     34  13943       tick     100039887         17336      95786870         19882 
     35  13943       tick      99960936         17612      95629021         19823 
     36  13943       tick      99988433         19106      95310291         19969 
     37  13943       tick      99970821         17720      95729624         19718 
     38  13943       tick     100040118         17140      95781712         19923 
     39  13943       tick     100039917         19037      95848651         19525 
     40  13943       tick     100039536         18077      95668395         19729 
     41  13943       tick      99953688         20211      95684365         19614 
     42  13943       tick      99976965         18202      95589577         19885 
     43  13943       tick     100041410         20492      95810393         19797 
     44  13943       tick     100039320         17684      95771352         19674 
     45  13943       tick      99957890         17823      95698797         19830 
     46  13943       tick     100000434         18239      95178244         20088 
     47  13943       tick      99966346         18030      95552788         19612 
     48  13943       tick     100039287         21290      95595141         20046 
     49  13943       tick      99853671         16935      95670503         19953 
     50  13943       tick     100217728         18189      95936566         19682 
     51  13943       tick     100038396         18834      95808493         19706 
     52  13943       tick      99903265         16310      95299280         20165 
     53  13943       tick     100039692         18397      95841876         19727 
     54  13943       tick     100039212         19294      95788888         20059 
     55  13943       tick      99961455         21179      95514599         19858 
     56  13943       tick     100005944         18737      95363349         20099 
     57  13943       tick      99963078         20774      95466424         20114 
     58  13943       tick     100041951         18121      95841774         19573 
     59  13943       tick     100040397         18572      95657204         19767 
     60  13943       tick     100039587         19606      95831924         19704 
     61  13943       tick     100038397         19801      95657795         20033 
     62  13943       tick      99897901         17891      95430976         19720 
     63  13943       tick     100040081         16650      95833207         19668 
     64  13943       tick     100039581         18189      95658816         20132 
     65  13943       tick     100040307         19316      95794646         19678 
     66  13943       tick      99954268         18259      95540482         20083 
     67  13943       tick      99960601         18712      95582495         19832 
     68  13943       tick     100044633         17975      95511126         19732 
     69  13943       tick     100003755         18061      95705807         19789 
     70  13943       tick     100058630         19573      95748521         19545 
     71  13943       exit      78011304         24628      73931304         17783 
