[Event-to-counter mappings]
pmc1=l2_cache_accesses
pmc2=l2_cache_refills
pmc3=l2_cache_writebacks
pmc4=llc_accesses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  22494       tick         82571          4402          1809         82571 
      2  22494       tick         70671          1882           855         70671 
      3  22494       tick         69878          1754           763         69878 
      4  22494       tick         71279          1701           743         71279 
      5  22494       tick         71050          1655           763         71050 
      6  22494       tick         71422          1687           705         71422 
      7  22494       tick         71856          1662           719         71856 
      8  22494       tick         71403          1152           562         71403 
      9  22494       tick         71547          1286           584         71547 
     10  22494       tick         72205          1644           623         72205 
     11  22494       tick         71571          1512           731         71571 
     12  22494       tick         71643          1510           658         71643 
     13  22494       tick         72296          1214           537         72296 
     14  22494       tick         71061          1201           533         71061 
     15  22494       tick         71100          1647           722         71100 
     16  22494       tick         71029          1743           681         71029 
     17  22494       tick         71538          1673           694         71538 
     18  22494       tick         71167          1440           655         71167 
     19  22494       tick         70954          1628           699         70954 
     20  22494       tick         72292          1926           752         72292 
     21  22494       tick         71225          1770           752         71225 
     22  22494       tick         71497          1620           708         71497 
     23  22494       tick         72083          1729           718         72083 
     24  22494       tick         71162          1511           665         71162 
     25  22494       tick         71537          1535           634         71537 
     26  22494       tick         71966          1688           715         71966 
     27  22494       tick         70906          1526           655         70906 
     28  22494       tick         70933          1464           645         70933 
     29  22494       tick         71450          1578           682         71450 
     30  22494       tick         71397          1702           707         71397 
     31  22494       tick         71418          1580           686         71418 
     32  22494       tick         71804          1645           635         71804 
     33  22494       tick         71200          1527           637         71200 
     34  22494       tick         71247          1556           673         71247 
     35  22494       tick         71610          1631           639         71610 
     36  22494       tick         71165          1599           694         71165 
     37  22494       tick         68132          1474           624         68132 
     38  22494       tick         73710          1549           681         73710 
     39  22494       tick         71498          1565           646         71498 
     40  22494       tick         71192          1678           643         71192 
     41  22494       tick         71913          1693           674         71913 
     42  22494       tick         71621          1580           669         71621 
     43  22494       tick         71264          1568           683         71264 
     44  22494       tick         71243          1509           675         71243 
     45  22494       tick         71895          1593           679         71895 
     46  22494       tick         71199          1680           669         71199 
     47  22494       tick         71116          1475           656         71116 
     48  22494       tick         71709          1521           639         71709 
     49  22494       tick         71274          1549           643         71274 
     50  22494       tick         72064          1650           673         72064 
     51  22494       tick         71547          1533           671         71547 
     52  22494       tick         71740          1728           686         71740 
     53  22494       tick         71368          1581           645         71368 
     54  22494       tick         71057          1469           629         71057 
     55  22494       tick         71597          1560           660         71597 
     56  22494       tick         71737          1634           638         71737 
     57  22494       tick         71364          1572           672         71364 
     58  22494       tick         71545          1504           679         71545 
     59  22494       tick         71344          1515           644         71344 
     60  22494       tick         71673          1525           664         71673 
     61  22494       tick         71930          1614           656         71930 
     62  22494       tick         71333          1688           706         71333 
     63  22494       tick         71597          1597           628         71597 
     64  22494       tick         71803          1624           642         71803 
     65  22494       tick         71599          1520           672         71599 
     66  22494       tick         71612          1581           644         71612 
     67  22494       tick         69483          1546           678         69483 
     68  22494       tick         73426          1700           720         73426 
     69  22494       tick         71886          1695           666         71886 
     70  22494       tick         71856          1499           704         71856 
     71  22494       tick         71605          1629           636         71605 
     72  22494       tick         72290          1670           721         72290 
     73  22494       tick         71629          1639           675         71629 
     74  22494       tick         71538          1671           683         71538 
     75  22494       tick         71777          1646           701         71777 
     76  22494       exit         62703          1787           596         62703 
