[Event-to-counter mappings]
pmc1=inmediate_branches_retired
pmc2=instr
pmc3=instr_arch_executed
pmc4=instr_cache_access
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1   5580       tick       5640962      73237378      73237378      40770347 
      2   5580       tick        593890     128148963     128148963      56972722 
      3   5580       tick        593267     127943805     127943805      56884467 
      4   5580       tick        594384     128226780     128226780      57012353 
      5   5580       tick        592665     127872397     127872397      56845731 
      6   5580       tick        593028     127889596     127889596      56858909 
      7   5580       tick        589745     127212714     127212714      56561770 
      8   5580       tick        594514     128256635     128256635      57022312 
      9   5580       tick        594112     128198855     128198855      57001433 
     10   5580       tick        594648     128255576     128255576      57023666 
     11   5580       tick        593920     128122567     128122567      56958184 
     12   5580       tick        594371     128192677     128192677      57002791 
     13   5580       tick        592107     127746066     127746066      56804838 
     14   5580       tick        594562     128267343     128267343      57036855 
     15   5580       tick        594125     128137524     128137524      56971290 
     16   5580       tick        593891     128115176     128115176      56956491 
     17   5580       tick        591337     127572524     127572524      56708832 
     18   5580       tick        593942     128096001     128096001      56950001 
     19   5580       tick        593759     128119608     128119608      56954839 
     20   5580       tick        593905     128118627     128118627      56955541 
     21   5580       tick        594068     128125007     128125007      56954241 
     22   5580       tick        592487     127832052     127832052      56831683 
     23   5580       tick        593182     127955585     127955585      56888598 
     24   5580       tick        593601     128019096     128019096      56917933 
     25   5580       tick        594154     128208568     128208568      56995209 
     26   5580       tick        591409     127555139     127555139      56706238 
     27   5580       tick        592218     127770812     127770812      56799025 
     28   5580       tick        594698     128267013     128267013      57024089 
     29   5580       tick        593551     128039087     128039087      56924072 
     30   5580       tick        593915     128154823     128154823      56983052 
     31   5580       tick        593375     127967861     127967861      56897674 
     32   5580       tick        592790     127887004     127887004      56853837 
     33   5580       tick        594249     128209531     128209531      57002415 
     34   5580       tick        595050     128346579     128346579      57065713 
     35   5580       tick        594071     128156092     128156092      56979200 
     36   5580       tick        592571     127786641     127786641      56822291 
     37   5580       tick        591857     127689710     127689710      56763576 
     38   5580       tick        593116     127974331     127974331      56897022 
     39   5580       tick        594561     128266827     128266827      57023290 
     40   5580       tick        594250     128166203     128166203      56977127 
     41   5580       tick        592549     127812162     127812162      56817688 
     42   5580       tick        593834     128136370     128136370      56956578 
     43   5580       tick        574370     123871759     123871759      55066139 
     44   5580       tick        611622     131957005     131957005      58660466 
     45   5580       tick        594106     128164199     128164199      56976075 
     46   5580       tick        592525     127775926     127775926      56802764 
     47   5580       tick        593884     128147736     128147736      56972913 
     48   5580       tick        594253     128197413     128197413      56994960 
     49   5580       tick        593149     127917001     127917001      56865630 
     50   5580       tick        594842     128330421     128330421      57062127 
     51   5580       tick        593885     128082868     128082868      56950938 
     52   5580       tick        594234     128226845     128226845      57006767 
     53   5580       tick        594352     128219426     128219426      57001489 
     54   5580       tick        593770     128057579     128057579      56939195 
     55   5580       tick        594729     128304319     128304319      57051695 
     56   5580       tick        592723     127885649     127885649      56862122 
     57   5580       tick        593012     127886665     127886665      56856884 
     58   5580       tick        595409     128457969     128457969      57110594 
     59   5580       tick        594605     128246033     128246033      57018493 
     60   5580       exit        300695      42050018      42050018      18845696 
