[Event-to-counter mappings]
pmc1=itlb_misses
pmc2=l1_data_accesses
pmc3=l1_data_refills
pmc4=l1_instr_refills
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1   6891       tick            85      25663864       1010862          6370 
      2   6891       tick            29      31837795       1254687          3775 
      3   6891       tick            22      31875059       1268609          3528 
      4   6891       tick            16      31814447       1267835          3662 
      5   6891       tick            19      32009061       1263015          3601 
      6   6891       tick            14      32002328       1274373          3426 
      7   6891       tick            17      31874910       1269537          3665 
      8   6891       tick            21      31944272       1261636          3643 
      9   6891       tick            17      31612483       1260253          3840 
     10   6891       tick            17      31120647       1235855          3450 
     11   6891       tick            19      32844303       1302233          3712 
     12   6891       tick            22      31795630       1267354          3725 
     13   6891       tick            18      31788508       1264627          3598 
     14   6891       tick            26      31889605       1256587          3660 
     15   6891       tick            17      31473287       1252108          3957 
     16   6891       tick            20      31944634       1272837          3537 
     17   6891       tick            18      31763543       1257056          3827 
     18   6891       tick            19      31999614       1268782          3683 
     19   6891       tick            15      31725585       1264085          3739 
     20   6891       tick            25      31560650       1253794          3843 
     21   6891       tick            29      31800981       1254083          3702 
     22   6891       tick            16      31960915       1272890          3490 
     23   6891       tick            19      31322908       1245010          4038 
     24   6891       tick            21      31912384       1265974          3583 
     25   6891       tick            20      31850520       1261471          3833 
     26   6891       tick            16      31870907       1268062          3589 
     27   6891       tick            12      31967492       1267605          3537 
     28   6891       tick            19      31869658       1261657          3833 
     29   6891       tick            12      31888290       1271412          3551 
     30   6891       tick            15      31851666       1262335          3742 
     31   6891       tick            21      31880511       1261983          3648 
     32   6891       tick            18      31895122       1269106          3512 
     33   6891       tick            17      31652152       1253391          3797 
     34   6891       tick            17      31915440       1261879          3647 
     35   6891       tick            19      32035557       1276385          3469 
     36   6891       tick            17      31781534       1258385          3774 
     37   6891       tick            18      31988624       1268578          3557 
     38   6891       tick            22      31794127       1266328          3761 
     39   6891       tick            18      31517079       1246346          3796 
     40   6891       tick            18      32001140       1267880          3553 
     41   6891       tick            18      31762449       1263010          3680 
     42   6891       tick            17      31900397       1262157          3520 
     43   6891       tick            18      31632076       1254157          3730 
     44   6891       tick            19      31807532       1264448          3731 
     45   6891       tick            16      31930040       1265723          3545 
     46   6891       tick            25      31759792       1260421          3695 
     47   6891       tick            18      31868854       1263202          3592 
     48   6891       tick            17      31860617       1263799          3564 
     49   6891       tick            22      31644871       1254265          3737 
     50   6891       tick            19      31976887       1267165          3663 
     51   6891       tick            14      31908218       1269083          3551 
     52   6891       tick            17      31777233       1262339          3767 
     53   6891       tick            17      31851151       1259851          3659 
     54   6891       tick            19      31794224       1265126          3702 
     55   6891       tick            17      31933289       1264969          3500 
     56   6891       tick            18      31880278       1264488          3694 
     57   6891       tick            23      31774288       1265627          3737 
     58   6891       tick            21      31879191       1264257          3622 
     59   6891       exit            41       8442732        329549          1896 
