[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1  26805       tick         15640        631118       4658676 
      2  26805       tick          1836          9690        318289 
      3  26805       tick          1730          9801        318012 
      4  26805       tick          1978          9727        317393 
      5  26805       tick          1944          9829        318146 
      6  26805       tick          1791          9743        318240 
      7  26805       tick          1937          9686        317943 
      8  26805       tick          1819          9677        318177 
      9  26805       tick          1844          9709        317974 
     10  26805       tick          1769          9762        317755 
     11  26805       tick          1804          9778        318165 
     12  26805       tick          1742          9768        318009 
     13  26805       tick          1778          9726        318116 
     14  26805       tick          1762          9683        318302 
     15  26805       tick          1792          9771        317985 
     16  26805       tick          1845          9717        318018 
     17  26805       tick          1808          9754        318361 
     18  26805       tick          1902          9677        317893 
     19  26805       tick          1875          9767        317974 
     20  26805       tick          1932          9844        316928 
     21  26805       tick          1830          9781        318041 
     22  26805       tick          1739          9642        318516 
     23  26805       tick          1758          9771        318039 
     24  26805       tick          1673          9656        318805 
     25  26805       tick          1723          9790        317857 
     26  26805       tick          1719          9668        318573 
     27  26805       tick          1969          9758        317547 
     28  26805       tick          1792          9710        318698 
     29  26805       tick          1989          9855        317505 
     30  26805       tick          1815          9755        316963 
     31  26805       tick          1800          9799        317853 
     32  26805       tick          1778          9692        318292 
     33  26805       tick          1912          9756        317364 
     34  26805       tick          1835          9659        318467 
     35  26805       tick          1909          9713        317027 
     36  26805       tick          1858          9713        318798 
     37  26805       tick          1799          9784        317946 
     38  26805       tick          1653          9645        318635 
     39  26805       tick          1875          9666        317636 
     40  26805       tick          1990          9804        317332 
     41  26805       tick          1667          9644        318617 
     42  26805       tick          1674          9646        318827 
     43  26805       tick          1710          9639        318450 
     44  26805       tick          1661          9682        318946 
     45  26805       tick          1828          9763        318230 
     46  26805       tick          1611          9626        318631 
     47  26805       tick          1949          9743        318251 
     48  26805       tick          1668          9665        318720 
     49  26805       tick          1824          9698        318065 
     50  26805       tick          1870          9714        317706 
     51  26805       exit          3436         18343        379806 
