[Event-to-counter mappings]
pmc1=itlb_misses
pmc2=l1_data_accesses
pmc3=l1_data_refills
pmc4=l1_instr_refills
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  31575       tick           794      26477906         46032        114218 
      2  31575       tick           301      52892882         20293         24815 
      3  31575       tick           293      52837687         19810         24094 
      4  31575       tick           275      52610040         19470         24625 
      5  31575       tick           295      52408767         19697         25336 
      6  31575       tick           297      52429420         19756         24948 
      7  31575       tick           309      52291026         20161         26125 
      8  31575       tick           299      52651918         19607         24407 
      9  31575       tick           291      52472676         20003         25187 
     10  31575       tick           290      52339917         20308         24905 
     11  31575       tick           301      52668907         20105         24383 
     12  31575       tick           295      52286530         20548         25482 
     13  31575       tick           298      52316699         20277         25448 
     14  31575       tick           286      52612192         19809         24550 
     15  31575       tick           293      52312571         20055         24824 
     16  31575       tick           305      52476820         20265         25552 
     17  31575       tick           316      52251861         20690         25944 
     18  31575       tick           274      52490633         20343         24923 
     19  31575       tick           292      52534159         20200         24387 
     20  31575       tick           296      52353549         20509         25178 
     21  31575       tick           294      52583528         19941         24695 
     22  31575       tick           313      52366106         20162         25350 
     23  31575       tick           295      52577885         19794         24551 
     24  31575       tick           298      52706444         20124         24340 
     25  31575       tick           301      52481120         20391         24956 
     26  31575       tick           288      52564066         20125         24608 
     27  31575       tick           303      52560685         19994         24648 
     28  31575       tick           293      52658275         19962         24351 
     29  31575       tick           310      52513473         19695         24708 
     30  31575       tick           289      52805601         19802         23974 
     31  31575       tick           296      52781917         20178         24299 
     32  31575       tick           308      52512619         20559         25037 
     33  31575       tick           301      52740112         19998         24367 
     34  31575       tick           279      52241667         19588         23926 
     35  31575       tick           290      53206467         20086         24871 
     36  31575       tick           295      52754942         19896         24370 
     37  31575       tick           300      52762934         19848         24378 
     38  31575       tick           284      52778477         20247         24348 
     39  31575       tick           286      52791874         20196         24242 
     40  31575       tick           292      52765944         19934         24278 
     41  31575       tick           295      52796951         19666         24076 
     42  31575       tick           293      52879242         19854         24155 
     43  31575       tick           300      52798370         19746         24119 
     44  31575       tick           291      52857701         19890         23862 
     45  31575       tick           299      52619253         20200         23970 
     46  31575       tick           299      52825913         20184         24719 
     47  31575       tick           290      52519214         20164         24606 
     48  31575       tick           290      52801110         19863         24184 
     49  31575       tick           309      52554879         20073         24678 
     50  31575       tick           304      52658525         20040         24429 
     51  31575       exit           242      23932173         11501         12241 
