[Event-to-counter mappings]
pmc1=inmediate_branches_retired
pmc2=instr
pmc3=instr_arch_executed
pmc4=instr_cache_access
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  17345       tick      12543879      83479277      83479277      47878270 
      2  17345       tick      15171750     101087363     101087363      57714857 
      3  17345       tick      15367362     102418636     102418636      58505390 
      4  17345       tick      15244297     101671162     101671162      58238772 
      5  17345       tick      15287729     101882321     101882321      58173090 
      6  17345       tick      15286057     101868526     101868526      58147177 
      7  17345       tick      15185305     101268006     101268006      58020302 
      8  17345       tick      15369149     102428220     102428220      58501350 
      9  17345       tick      15343297     102262642     102262642      58380879 
     10  17345       tick      15136010     100947602     100947602      57801977 
     11  17345       tick      15363481     102400230     102400230      58461116 
     12  17345       tick      15350228     102310263     102310263      58432657 
     13  17345       tick      15283709     101931379     101931379      58400552 
     14  17345       tick      15204748     101327818     101327818      57819582 
     15  17345       tick      15168320     101247723     101247723      57837782 
     16  17345       tick      15210262     101267655     101267655      57939533 
     17  17345       tick      15412336     102737453     102737453      58661994 
     18  17345       tick      15261649     101884042     101884042      58185779 
     19  17345       tick      15384213     102437480     102437480      58708884 
     20  17345       tick      15359393     102373188     102373188      58455492 
     21  17345       tick      15094442     100741423     100741423      57544858 
     22  17345       tick      15289617     101817074     101817074      58266123 
     23  17345       tick      15276557     101806904     101806904      58116301 
     24  17345       tick      15162353     101114093     101114093      57915947 
     25  17345       tick      15260187     101707183     101707183      58053505 
     26  17345       tick      14624265      97488187      97488187      55701992 
     27  17345       tick      15849160     105674243     105674243      60464424 
     28  17345       tick      15383637     102540447     102540447      58550369 
     29  17345       tick      15147340     101107204     101107204      57734840 
     30  17345       tick      15306014     101919810     101919810      58307183 
     31  17345       tick      15151957     101162393     101162393      57735989 
     32  17345       tick      15174341     101012311     101012311      57833900 
     33  17345       tick      15341042     102248394     102248394      58387053 
     34  17345       tick      15140038     101047807     101047807      57712343 
     35  17345       tick      15281593     101770505     101770505      58201608 
     36  17345       tick      15132296     101010131     101010131      57652494 
     37  17345       tick      15286196     101775536     101775536      58265191 
     38  17345       tick      15393889     102604109     102604109      58606706 
     39  17345       tick      15219746     101598524     101598524      58011778 
     40  17345       tick      15198832     101181789     101181789      57942033 
     41  17345       tick      15225151     101502209     101502209      57931600 
     42  17345       tick      15233758     101628690     101628690      58128266 
     43  17345       tick      15380518     102436108     102436108      58585120 
     44  17345       tick      15072337     100599495     100599495      57380378 
     45  17345       tick      15361157     102287435     102287435      58591355 
     46  17345       tick      15366153     102402923     102402923      58460181 
     47  17345       tick      15051470     100459714     100459714      57284286 
     48  17345       tick      15285319     101774178     101774178      58295755 
     49  17345       tick      15324598     102135504     102135504      58325551 
     50  17345       tick      15152306     101136235     101136235      57817254 
     51  17345       exit       2828836      18758552      18758552      10709226 
