[Event-to-counter mappings]
pmc1=data_mem_access
pmc2=data_read_retired
pmc3=data_write_retired
pmc4=dtlb_misses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1   2385       tick      39933642      26622379      13307370            70 
      2   2385       tick      40611539      27074361      13537178             0 
      3   2385       tick      39889255      26592836      13296419             0 
      4   2385       tick      41306868      27537914      13768954             0 
      5   2385       tick      40617530      27078353      13539177             0 
      6   2385       tick      40565373      27043583      13521790             0 
      7   2385       tick      40563637      27042426      13521211             0 
      8   2385       tick      40625388      27083591      13541797             0 
      9   2385       tick      40576132      27050754      13525378             0 
     10   2385       tick      40622234      27081490      13540744             0 
     11   2385       tick      40576333      27050887      13525446             0 
     12   2385       tick      40626091      27084059      13542032             0 
     13   2385       tick      40620668      27080445      13540223             0 
     14   2385       tick      40577351      27051568      13525783             0 
     15   2385       tick      40601527      27067686      13533841             0 
     16   2385       tick      40612303      27074870      13537433             0 
     17   2385       tick      40573284      27048856      13524428             0 
     18   2385       tick      40618649      27079098      13539551             0 
     19   2385       tick      40533203      27022135      13511068             0 
     20   2385       tick      40627383      27084923      13542460             0 
     21   2385       tick      40598239      27065495      13532744             0 
     22   2385       tick      40621511      27081008      13540503             0 
     23   2385       tick      40619237      27079491      13539746             0 
     24   2385       tick      40607433      27071624      13535809             0 
     25   2385       tick      40602058      27068039      13534019             0 
     26   2385       tick      40608158      27072102      13536056             0 
     27   2385       tick      40542809      27028539      13514270             0 
     28   2385       tick      40627595      27085062      13542533             0 
     29   2385       tick      40598238      27065492      13532746             0 
     30   2385       tick      40579230      27052817      13526413             0 
     31   2385       tick      40595536      27063691      13531845             0 
     32   2385       tick      40596482      27064322      13532160             0 
     33   2385       exit      21566277      14377483       7188727             3 
