[Event-to-counter mappings]
pmc1=itlb_misses
pmc2=l1_data_accesses
pmc3=l1_data_refills
pmc4=l1_instr_refills
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  19677       tick           147        146277          4146          6380 
      2  19677       tick             0             0             0             0 
      3  19677       tick             0             0             0             0 
      4  19677       tick             0             0             0             0 
      5  19677       tick             0             0             0             0 
      6  19677       tick             0             0             0             0 
      7  19677       tick             0             0             0             0 
      8  19677       tick             0             0             0             0 
      9  19677       tick             0             0             0             0 
     10  19677       tick             0             0             0             0 
     11  19677       tick             0             0             0             0 
     12  19677       tick             0             0             0             0 
     13  19677       tick             0             0             0             0 
     14  19677       tick             0             0             0             0 
     15  19677       tick             0             0             0             0 
     16  19677       tick             0             0             0             0 
     17  19677       tick             0             0             0             0 
     18  19677       tick             0             0             0             0 
     19  19677       tick             0             0             0             0 
     20  19677       exit            13           890           109           248 
