[Event-to-counter mappings]
pmc0=cycles_allmodes
pmc1=bus_accesses
pmc2=cycles
pmc3=data_cache_eviction
[Event counts]
nsample    pid      event          pmc0          pmc1          pmc2          pmc3
      1  26811       tick      49853017         22662      44084308         20356 
      2  26811       tick      50490027          8690      46773238         17424 
      3  26811       tick      50022354          6112      46873725         17263 
      4  26811       tick      49974533          7844      46594980         16911 
      5  26811       tick      49965551          6902      46686181         17174 
      6  26811       tick      50026755          7679      46823729         17366 
      7  26811       tick      49968145          6304      46799540         17283 
      8  26811       tick      49993946          6971      46655900         17381 
      9  26811       tick      49970596          8212      46706639         17275 
     10  26811       tick      50026881          6906      46736842         17204 
     11  26811       tick      50043972          7541      46799261         17393 
     12  26811       tick      50038866          7740      46522948         17225 
     13  26811       tick      50022663          6573      46805129         17414 
     14  26811       tick      49966767          7022      46634303         17313 
     15  26811       tick      49442754          6908      46275064         17190 
     16  26811       tick      50544410          6799      47302651         17550 
     17  26811       tick      49934230          6818      46745289         17339 
     18  26811       tick      50028324          6284      46812968         17425 
     19  26811       tick      50030997          7312      46713913         17232 
     20  26811       tick      50027446          6400      46732698         17222 
     21  26811       tick      50025441          6170      46875361         17394 
     22  26811       tick      50024655          7404      46541537         17206 
     23  26811       tick      50024982          6189      46878225         17526 
     24  26811       tick      49912110          6863      46587155         17291 
     25  26811       tick      50076768          7519      46893300         17376 
     26  26811       tick      49969349          7004      46742031         17292 
     27  26811       tick      49961556          6412      46799536         17334 
     28  26811       tick      49998944          7348      46783045         17263 
     29  26811       tick      49965429          6402      46806549         17323 
     30  26811       tick      50024723          7259      46735555         17277 
     31  26811       tick      50025528          6681      46893301         17373 
     32  26811       tick      50024812          7446      46494734         17190 
     33  26811       tick      50026245          7688      46905042         17389 
     34  26811       tick      49964784          7329      46642219         17378 
     35  26811       tick      50027448          6876      46899685         17361 
     36  26811       tick      49972854          7408      46670152         17406 
     37  26811       tick      50025155          7183      46807966         17354 
     38  26811       tick      49814109          7341      46581633         17278 
     39  26811       tick      50168894          7259      46957640         17398 
     40  26811       tick      50024874          8430      46769903         17221 
     41  26811       tick      50025015          6296      46819946         17371 
     42  26811       tick      50024161          7380      46399056         17328 
     43  26811       tick      50024604          6385      46891942         17441 
     44  26811       tick      50025153          7304      46740793         17295 
     45  26811       tick      49973274          6688      46834965         17253 
     46  26811       tick      49965386          7425      46653184         17336 
     47  26811       tick      49988339          6863      46806834         17155 
     48  26811       tick      49971567          7269      46654363         17359 
     49  26811       tick      50029809          6557      46881659         17233 
     50  26811       tick      49946153          6722      46683430         17206 
     51  26811       tick      50041076          6892      46830095         17257 
     52  26811       tick      50023710          7608      46721051         17342 
     53  26811       tick      50025879          6380      46849243         17348 
     54  26811       tick      50024751          7035      46886922         17276 
     55  26811       tick      49971366          6634      46741531         17354 
     56  26811       tick      49960410          7011      46714849         17325 
     57  26811       tick      49991396          6630      46698644         17223 
     58  26811       tick      49970089          7240      46808672         17389 
     59  26811       tick      50025024          6972      46721526         17287 
     60  26811       tick      49969554          7257      46819150         17366 
     61  26811       tick      50026227          6510      46846844         17449 
     62  26811       tick      50024900          6689      46608656         17309 
     63  26811       tick      50027430          6690      46759385         17305 
     64  26811       tick      49907574          6862      46801787         17371 
     65  26811       tick      50080285          7208      45010951         16635 
     66  26811       tick      50024370          6219      46826108         17313 
     67  26811       tick      49440332          7768      46203446         17043 
     68  26811       tick      50450906          7110      47201470         17434 
     69  26811       tick      50024889          7247      46689739         17297 
     70  26811       tick      49967755          7193      46579779         17051 
     71  26811       tick      50026365          6818      46886530         17259 
     72  26811       tick      50024917          7080      46279355         17142 
     73  26811       tick      50026362          7041      46754524         17262 
     74  26811       tick      50022532          7287      46541770         17164 
     75  26811       tick      49967574          6818      46742841         17360 
     76  26811       tick      50026878          6620      46896239         17277 
     77  26811       tick      49931294          8261      46517600         17330 
     78  26811       tick      49984459          7650      46809248         17407 
     79  26811       tick      50024436          6823      46742738         17382 
     80  26811       tick      49963461          7426      46593622         17361 
     81  26811       tick      50027481          6575      46844581         17437 
     82  26811       tick      50025234          7353      46070459         17138 
     83  26811       tick      50024316          7148      46802756         17229 
     84  26811       tick      50026062          6903      46839530         17314 
     85  26811       tick      49965045          7260      46723155         17344 
     86  26811       tick      50027467          6858      46826979         17456 
     87  26811       tick      49934814          7404      46591943         17264 
     88  26811       tick      50026530          6626      46741064         17326 
     89  26811       tick      49975686          7248      46766809         17351 
     90  26811       tick      48120495          6880      44844978         16564 
     91  26811       tick      51771254          7840      48361666         17934 
     92  26811       tick      50117680          7055      46702382         17325 
     93  26811       tick      50024268          7568      46816630         17361 
     94  26811       tick      50025933          6416      46830912         17301 
     95  26811       tick      50023934          7277      46807613         17392 
     96  26811       tick      49976849          6902      46759549         17257 
     97  26811       tick      49954251          6985      46793230         17431 
     98  26811       tick      50024058          7280      46747115         17434 
     99  26811       tick      49971525          7668      46726586         17355 
    100  26811       tick      50026494          6678      46741698         17355 
    101  26811       tick      49971678          7512      46736672         17373 
    102  26811       tick      50027385          7405      46595330         17166 
    103  26811       tick      50024475          6584      46823449         17250 
    104  26811       tick      49942077          7156      46707081         17269 
    105  26811       tick      50100461          7216      46764003         17289 
    106  26811       tick      49968738          6948      46741891         17110 
    107  26811       tick      49947489          7112      46797655         17153 
    108  26811       tick      50026190          7163      46715542         17385 
    109  26811       tick      49968168          7868      46730630         17265 
    110  26811       tick      50025843          6665      46817161         17445 
    111  26811       tick      49966631          7576      46530052         17195 
    112  26811       tick      50025756          7510      46528629         17307 
    113  26811       tick      50025525          6544      46833340         17431 
