[Event-to-counter mappings]
pmc1=l2_cache_accesses
pmc2=l2_cache_refills
pmc3=l2_cache_writebacks
pmc4=llc_accesses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  15315       tick         15093          2792           694         15093 
      2  15315       tick             0             0             0             0 
      3  15315       tick             0             0             0             0 
      4  15315       tick             0             0             0             0 
      5  15315       tick             0             0             0             0 
      6  15315       tick             0             0             0             0 
      7  15315       tick             0             0             0             0 
      8  15315       tick             0             0             0             0 
      9  15315       tick             0             0             0             0 
     10  15315       tick             0             0             0             0 
     11  15315       tick             0             0             0             0 
     12  15315       tick             0             0             0             0 
     13  15315       tick             0             0             0             0 
     14  15315       tick             0             0             0             0 
     15  15315       tick             0             0             0             0 
     16  15315       tick             0             0             0             0 
     17  15315       tick             0             0             0             0 
     18  15315       tick             0             0             0             0 
     19  15315       tick             0             0             0             0 
     20  15315       exit           469           167            18           469 
