[Event-to-counter mappings]
pmc0=cycles_allmodes
pmc1=bus_accesses
pmc2=cycles
pmc3=data_cache_eviction
[Event counts]
nsample    pid      event          pmc0          pmc1          pmc2          pmc3
      1  13473       tick      60194076         78954      38226487        412015 
      2  13473       tick      59972111         79809      57470955        650134 
      3  13473       tick      59964780         77906      57345180        647976 
      4  13473       tick      60028137         83465      57745535        649641 
      5  13473       tick      60047873         82242      57458411        640382 
      6  13473       tick      60043044         77580      57449021        649665 
      7  13473       tick      59927742         85235      57628832        650344 
      8  13473       tick      60030034         83386      57245407        635897 
      9  13473       tick      60026229         86675      57285108        646464 
     10  13473       tick      59999362         83166      57445991        647860 
     11  13473       tick      59108040         75536      56571127        639060 
     12  13473       tick      60822887         87974      58269788        646976 
     13  13473       tick      59963790         81032      57690909        652571 
     14  13473       tick      60025683         79459      57441734        649015 
     15  13473       tick      60031755         88106      57515405        638351 
     16  13473       tick      60027513         75894      57476604        651286 
     17  13473       tick      59983819         82659      57737403        653293 
     18  13473       tick      59972142         81053      57642114        643100 
     19  13473       tick      59986933         88803      57153459        642822 
     20  13473       tick      60028538         76993      57814999        653673 
     21  13473       tick      59936795         79152      57685783        646296 
     22  13473       tick      60001165         88798      57144901        640831 
     23  13473       tick      59961756         78579      57677707        652904 
     24  13473       tick      60024666         76912      57483458        650309 
     25  13473       tick      60031314         82543      57343951        637461 
     26  13473       tick      60027687         78335      57690349        649732 
     27  13473       tick      59990820         78387      57366000        648426 
     28  13473       tick      59967948         85063      57421578        640980 
     29  13473       tick      59989643         93850      56672366        633408 
     30  13473       tick      60025696         80606      57666201        651884 
     31  13473       tick      60026028         76471      57809053        653784 
     32  13473       tick      59907741         82909      57001697        636128 
     33  13473       tick      60027873         76233      57686640        647531 
     34  13473       tick      59972984         72853      57766681        654293 
     35  13473       tick      60030293         82956      57304385        639775 
     36  13473       tick      60050263         82583      57696181        647789 
     37  13473       tick      60005386         81935      57388904        649250 
     38  13473       tick      59963913         79382      57698874        648033 
     39  13473       tick      60028008         91958      57208100        636822 
     40  13473       tick      60026157         86127      57464484        648508 
     41  13473       tick      60027417         79486      57789345        652911 
     42  13473       tick      59916365         78084      57583177        642793 
     43  13473       tick      60039252         83684      57353976        643134 
     44  13473       tick      59977186         80404      57753809        652374 
     45  13473       tick      60042414         81680      56995987        638711 
     46  13473       tick      60041352         78063      57676515        644535 
     47  13473       tick      60006440         85332      57443682        648487 
     48  13473       tick      59971633         86951      57370218        646723 
     49  13473       tick      60027335         96340      57473372        639672 
     50  13473       tick      60026889         72263      57633234        648332 
     51  13473       tick      59969213         79024      57549465        649598 
     52  13473       tick      60014931         84976      57517833        641605 
     53  13473       tick      59971133         80313      57271797        643292 
     54  13473       tick      59964665         78249      57721406        652831 
     55  13473       tick      60029717         76185      57761377        647660 
     56  13473       tick      59240112         86489      56579679        634595 
     57  13473       tick      60773490         86399      58274951        654258 
     58  13473       tick      59959206         79891      57387323        647865 
     59  13473       tick      60029852         92059      57470378        640017 
     60  13473       tick      60031098         80673      57692041        647831 
     61  13473       tick      60025695         78067      57448459        648092 
     62  13473       tick      60027948         76204      57741139        645246 
     63  13473       tick      59918325         85975      57533738        645015 
     64  13473       tick      59963213         87354      57269356        645440 
     65  13473       tick      60028653         85301      57071930        643234 
     66  13473       tick      60027768         80674      57134402        636774 
     67  13473       tick      59885668         88941      57444654        642670 
     68  13473       tick      60125440         78692      57781707        653738 
     69  13473       tick      59962692         85221      57078186        642536 
     70  13473       tick      60026847         83459      57745027        643139 
     71  13473       tick      60026604         70174      57715217        650498 
     72  13473       tick      60024780         71583      57374074        649755 
     73  13473       tick      59912406         76048      57575865        644685 
     74  13473       tick      59962623         85254      57219588        641098 
     75  13473       tick      60028098         68886      57828774        654096 
     76  13473       tick      60028962         81845      57750540        644855 
     77  13473       tick      59997131         85139      57271938        642375 
     78  13473       tick      60023161         86405      57749728        651495 
     79  13473       tick      59972701         89911      57041213        641491 
     80  13473       tick      60027931         80138      57726552        644473 
     81  13473       tick      60031443         78619      57683260        646430 
     82  13473       tick      60043278         79962      57353662        646761 
     83  13473       tick      59924525         84800      57539765        642409 
     84  13473       tick      60029552         79833      57668190        647254 
     85  13473       tick      59969560         80335      56986767        643896 
     86  13473       tick      59410906         82212      56988129        641672 
     87  13473       tick      60601044         80134      57877859        646262 
     88  13473       tick      60027246         79115      57689365        648034 
     89  13473       tick      59960742         90619      57393875        645197 
     90  13473       tick      60031107         80213      57147595        638111 
     91  13473       tick      60030306         83671      57679792        647687 
     92  13473       tick      60028566         79919      57756392        651901 
     93  13473       tick      59964992         83527      57042734        638441 
     94  13473       tick      59977618         82075      57516437        645779 
     95  13473       tick      59969689         88936      57239744        640549 
     96  13473       tick      59986008         79936      57750171        650555 
     97  13473       tick      60031518         74136      57727438        645815 
     98  13473       tick      59876232         78452      57231007        641547 
     99  13473       tick      60107631         87015      57227069        644459 
    100  13473       tick      60032943         76282      57607701        643961 
    101  13473       tick      60026837         75223      57578503        650829 
    102  13473       tick      60027399         85519      57672309        646595 
