[Event-to-counter mappings]
pmc1=data_mem_access
pmc2=data_read_retired
pmc3=data_write_retired
pmc4=dtlb_misses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  16802       tick       8856787       4380227       2897353          1433 
      2  16802       tick      20432144      14106578       4375823           103 
      3  16802       tick      26060074      21066747       3667909           128 
      4  16802       tick      26809050      21671804       3773720           157 
      5  16802       tick      26369206      21316580       3711491           155 
      6  16802       tick      26419675      21357028       3718943           182 
      7  16802       tick      26516525      21435392       3732469           173 
      8  16802       tick      26435131      21369951       3720698           172 
      9  16802       tick      26366550      21314451       3711099           169 
     10  16802       tick      26467791      21395996       3725657           178 
     11  16802       tick      26459927      21389577       3724560           158 
     12  16802       tick      26482206      21408063       3727265           167 
     13  16802       tick      26423673      21360291       3719488           150 
     14  16802       tick      26459263      21389126       3724447           137 
     15  16802       tick      26271393      21237271       3697880           148 
     16  16802       tick      26413658      21352588       3717684           123 
     17  16802       tick      26498535      21420876       3729949           128 
     18  16802       tick      26261658      21229520       3696464           150 
     19  16802       tick      26497403      21419911       3729798           165 
     20  16802       tick      26456373      21387166       3723655           143 
     21  16802       tick      26458553      21388490       3724379           143 
     22  16802       tick      26490497      21414786       3728421           170 
     23  16802       tick      26425508      21361707       3719755           152 
     24  16802       tick      26364819      21313049       3710868           153 
     25  16802       tick      26384103      21328247       3713962           145 
     26  16802       tick      25794996      20852564       3630509           150 
     27  16802       tick      27131625      21932521       3819156           161 
     28  16802       tick      26496393      21419109       3729676           140 
     29  16802       tick      26383932      21328525       3713533           161 
     30  16802       tick      26458576      21388461       3724387           152 
     31  16802       tick      26479466      21405869       3726873           155 
     32  16802       tick      26486452      21411089       3728265           157 
     33  16802       tick      26398436      21340266       3715559           144 
     34  16802       tick      26413672      21352113       3718115           152 
     35  16802       tick      26408933      21348745       3717038           130 
     36  16802       tick      26438332      21372140       3721541           133 
     37  16802       tick      26456774      21387138       3724080           132 
     38  16802       tick      26503904      21425506       3730349           139 
     39  16802       tick      26261961      21229778       3696501           160 
     40  16802       tick      26456043      21386474       3724019           127 
     41  16802       tick      26469206      21397095       3725853           144 
     42  16802       tick      26488287      21413001       3728110           146 
     43  16802       tick      26456346      21386716       3724063           144 
     44  16802       tick      26370875      21317943       3711716           123 
     45  16802       tick      26477115      21403472       3726970           127 
     46  16802       tick      26453573      21384901       3723261           117 
     47  16802       tick      26423487      21360115       3719480           134 
     48  16802       tick      26454754      21385487       3723810           135 
     49  16802       tick      26348985      21300111       3708699           136 
     50  16802       tick      26466435      21395286       3725073           123 
     51  16802       tick      26436841      21370948       3721324           128 
     52  16802       tick      26517950      21436548       3732666           143 
     53  16802       tick      26385476      21329751       3713763           136 
     54  16802       tick      26439839      21373374       3721742           123 
     55  16802       tick      26433105      21368314       3720407           130 
     56  16802       tick      26377698      21322982       3713102           148 
     57  16802       tick      26418808      21356758       3718402           140 
     58  16802       tick      26458812      21388743       3724385           145 
     59  16802       tick      26303923      21263721       3702379           126 
     60  16802       tick      26484627      21409565       3728018           130 
     61  16802       tick      26508920      21429702       3730991           127 
     62  16802       tick      26427712      21363546       3720056           145 
     63  16802       tick      26486217      21411312       3727831           144 
     64  16802       tick      26436062      21370255       3721226           138 
     65  16802       tick      26465471      21394120       3725328           140 
     66  16802       tick      26463471      21392889       3724660           127 
     67  16802       tick      26369645      21316497       3711946           135 
     68  16802       tick      26506687      21427870       3730699           132 
     69  16802       tick      26273813      21239372       3698157           134 
     70  16802       tick      26474932      21401761       3726659           126 
     71  16802       tick      26470087      21397807       3725973           145 
     72  16802       tick      26491085      21415262       3728506           127 
     73  16802       tick      26409383      21348698       3717495           149 
     74  16802       tick      26413715      21352622       3717707           151 
     75  16802       tick      26451308      21382594       3723362           130 
     76  16802       tick      26292526      21254523       3700767           148 
     77  16802       tick      26481998      21407472       3727654           121 
     78  16802       tick      26471389      21399340       3725737           135 
     79  16802       tick      26205706      21184223       3688654           145 
     80  16802       tick      26497486      21419953       3729825           131 
     81  16802       tick      26496811      21419477       3729716           118 
     82  16802       tick      26480819      21406961       3727061           141 
     83  16802       tick      26486271      21410907       3728238           134 
     84  16802       tick      26449954      21381546       3723166           141 
     85  16802       tick      26460493      21390513       3724218           146 
     86  16802       tick      26478625      21404686       3727193           134 
     87  16802       tick      26447577      21380062       3722409           133 
     88  16802       tick      26450039      21381589       3723199           118 
     89  16802       tick      26395595      21337606       3715539           134 
     90  16802       tick      26447473      21379838       3722456           129 
     91  16802       tick      26501282      21423114       3730324           110 
     92  16802       tick      26486686      21411704       3727888           106 
     93  16802       tick      26461375      21390712       3724791           116 
     94  16802       tick      26037336      21047924       3665131           103 
     95  16802       tick      26903386      21748637       3786487           122 
     96  16802       tick      26380022      21324897       3713392           116 
     97  16802       tick      26458880      21389155       3724035           124 
     98  16802       tick      26433634      21368346       3720880           144 
     99  16802       tick      26343824      21296059       3707927           113 
    100  16802       tick      26492915      21416278       3729170           116 
    101  16802       exit       8121635       6542429       1144269           153 
