[Event-to-counter mappings]
pmc1=itlb_misses
pmc2=l1_data_accesses
pmc3=l1_data_refills
pmc4=l1_instr_refills
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  15896       tick           147      13642181         28214         12380 
      2  15896       tick             9      14163519         25079          6728 
      3  15896       tick             5      14225352         25017          6373 
      4  15896       tick             8      14146090         25270          6922 
      5  15896       tick             3      14258173         25261          6297 
      6  15896       tick             3      14251171         25371          6285 
      7  15896       tick             7      14169857         25274          7245 
      8  15896       tick             5      14204230         25241          6715 
      9  15896       tick             1      14252542         25265          6205 
     10  15896       tick             1      14247474         25308          6251 
     11  15896       tick             3      14255387         25352          6212 
     12  15896       tick             6      13909232         24610          6301 
     13  15896       tick             3      14541781         25968          6640 
     14  15896       tick             2      14191221         25232          6703 
     15  15896       tick             1      14255402         25329          6244 
     16  15896       tick             2      14255081         25370          6194 
     17  15896       tick             3      14207667         25119          6717 
     18  15896       tick             2      14221065         25271          6647 
     19  15896       tick             2      14261334         25285          6201 
     20  15896       tick             2      14246327         25069          6061 
     21  15896       tick             4      14231605         25359          6389 
     22  15896       tick             5      14216698         25319          6506 
     23  15896       tick             0      14256503         25184          6251 
     24  15896       tick             8      14170887         25236          6925 
     25  15896       tick             2      14235137         25326          6508 
     26  15896       tick             2      14248661         25282          6313 
     27  15896       tick             4      14219497         25143          6577 
     28  15896       tick             8      14123619         25183          7822 
     29  15896       tick             3      14256423         25437          6218 
     30  15896       tick             1      14257814         25325          6141 
     31  15896       tick             3      14236432         25264          6342 
     32  15896       tick             1      14232698         25312          6271 
     33  15896       tick             5      14116036         25127          7768 
     34  15896       tick             2      14256912         25117          6300 
     35  15896       tick             5      14232687         25248          6407 
     36  15896       tick             3      14225927         25270          6304 
     37  15896       tick             2      14165031         25283          7338 
     38  15896       tick             4      14240513         25281          6487 
     39  15896       tick             3      14239742         25440          6241 
     40  15896       tick             1      14258152         25222          6132 
     41  15896       tick             5      14219598         25420          6376 
     42  15896       tick             2      14023296         24738          6168 
     43  15896       tick             4      14422392         25628          6848 
     44  15896       tick             3      14216469         25320          6578 
     45  15896       tick             7      14192562         25353          6642 
     46  15896       tick             5      14232693         25235          6305 
     47  15896       tick             6      14195913         25244          6821 
     48  15896       tick             3      14229766         25273          6326 
     49  15896       tick             6      14218250         25399          6463 
     50  15896       tick             1      14260519         25237          6210 
     51  15896       tick             1      14238558         25215          6229 
     52  15896       tick             2      14206202         25160          6370 
     53  15896       tick             3      14261004         25424          6379 
     54  15896       tick             1      14258118         25247          6203 
     55  15896       tick             5      14192330         25276          6780 
     56  15896       tick             1      14255528         25310          6114 
     57  15896       tick             4      14252960         25314          6108 
     58  15896       tick             4      14219369         25194          6595 
     59  15896       tick             2      14233882         25164          6357 
     60  15896       tick            10      14176779         25205          7211 
     61  15896       tick             3      14208154         25135          6590 
     62  15896       tick             4      14217878         25220          6471 
     63  15896       tick             4      14215020         25258          6456 
     64  15896       tick             2      14236542         25446          6408 
     65  15896       tick             5      14234602         25396          6302 
     66  15896       tick             4      14232462         25227          6358 
     67  15896       tick             3      14236362         25201          6328 
     68  15896       tick             2      14274621         25482          6211 
     69  15896       tick             3      14233651         25314          6302 
     70  15896       tick             3      14215807         25272          6578 
     71  15896       tick             2      14256440         25328          6244 
     72  15896       tick             4      14036193         24984          6357 
     73  15896       tick             3      14376726         25557          6696 
     74  15896       tick             1      14234783         25385          6333 
     75  15896       tick             2      14232784         25372          6277 
     76  15896       tick             2      14249388         25249          6283 
     77  15896       tick             4      14111763         24992          8108 
     78  15896       tick             3      14247279         25185          6328 
     79  15896       tick             3      14227515         25250          6454 
     80  15896       tick             5      14143518         25212          7286 
     81  15896       tick             1      14275654         25281          6042 
     82  15896       tick             2      14213162         25189          6462 
     83  15896       tick             3      14233044         25421          6350 
     84  15896       tick             7      14141594         25088          7019 
     85  15896       tick             9      14240738         25250          6791 
     86  15896       tick             6      14211240         25135          6549 
     87  15896       tick             4      14220488         25131          6666 
     88  15896       tick             3      14232097         25370          6371 
     89  15896       tick             6      14256238         25333          6141 
     90  15896       tick             1      14187865         25260          6808 
     91  15896       tick             2      14239147         25335          6545 
     92  15896       tick             5      14140254         25073          7279 
     93  15896       tick             5      14235580         25317          6376 
     94  15896       tick             4      14197412         25211          6726 
     95  15896       tick             5      14228160         25222          6512 
     96  15896       tick             3      14210489         25076          6488 
     97  15896       tick             3      14192187         25275          7002 
     98  15896       tick             3      13841143         24693         10158 
     99  15896       tick             2      14259485         25246          6027 
    100  15896       tick             5      14205229         25184          6561 
    101  15896       tick             3      14238203         25404          6429 
    102  15896       tick             1      14128326         25113          6068 
    103  15896       tick             4      14319779         25278          6673 
    104  15896       tick             3      14152754         25112          6992 
    105  15896       tick             4      14233467         25430          6403 
    106  15896       tick            11      14108752         25154          7205 
    107  15896       tick             2      14150432         25375          7586 
    108  15896       exit            30       4919578          8945          2956 
