[Event-to-counter mappings]
pmc1=inmediate_branches_retired
pmc2=instr
pmc3=instr_arch_executed
pmc4=instr_cache_access
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1   9022       tick             0     164498716     164498716      39143976 
      2   9022       tick             0     231016223     231016223      49978165 
      3   9022       tick             0     229721799     229721799      49695372 
      4   9022       tick             0     229523092     229523092      49654331 
      5   9022       tick             0     230017302     230017302      49759643 
      6   9022       tick             0     229989822     229989822      49754588 
      7   9022       tick             0     229637221     229637221      49678744 
      8   9022       tick             0     230028235     230028235      49763542 
      9   9022       tick             0     230183483     230183483      49796789 
     10   9022       tick             0     230145453     230145453      49789072 
     11   9022       tick             0     230215723     230215723      49803610 
     12   9022       tick             0     230060755     230060755      49770411 
     13   9022       tick             0     230094809     230094809      49778128 
     14   9022       tick             0     230250587     230250587      49810628 
     15   9022       tick             0     230010601     230010601      49760375 
     16   9022       tick             0     230047380     230047380      49768664 
     17   9022       tick             0     230158930     230158930      49791261 
     18   9022       tick             0     230210323     230210323      49803948 
     19   9022       tick             0     230194875     230194875      49800777 
     20   9022       tick             0     230261089     230261089      49815266 
     21   9022       tick             0     230225867     230225867      49806199 
     22   9022       tick             0     230258500     230258500      49812570 
     23   9022       tick             0     230120301     230120301      49783698 
     24   9022       tick             0     230174510     230174510      49794044 
     25   9022       tick             0     230213143     230213143      49803726 
     26   9022       tick             0     230088237     230088237      49776091 
     27   9022       tick             0     222648706     222648706      48168254 
     28   9022       tick             0     236939327     236939327      51260926 
     29   9022       tick             0     230247769     230247769      49809812 
     30   9022       tick             0     230007439     230007439      49760620 
     31   9022       tick             0     230154205     230154205      49791803 
     32   9022       tick             0     230242403     230242403      49809140 
     33   9022       tick             0     230236233     230236233      49809087 
     34   9022       exit             0      41743895      41743895       9073873 
