[Event-to-counter mappings]
pmc1=l2_cache_accesses
pmc2=l2_cache_refills
pmc3=l2_cache_writebacks
pmc4=llc_accesses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1   2705       tick        276693         15193          2972        276693 
      2   2705       tick        112169           334            88        112169 
      3   2705       tick        108601           299            61        108601 
      4   2705       tick        109777           316            63        109777 
      5   2705       tick        110105           246            64        110105 
      6   2705       tick        109969           288            55        109969 
      7   2705       tick        108224           324            50        108224 
      8   2705       tick        109096           362            50        109096 
      9   2705       tick        107746           227            27        107746 
     10   2705       tick        112067           276            47        112067 
     11   2705       tick        108827           341            67        108827 
     12   2705       tick        111596           284            46        111596 
     13   2705       tick        108248           264            40        108248 
     14   2705       tick        110614           326            60        110614 
     15   2705       tick        108974           301            47        108974 
     16   2705       tick        109720           290            42        109720 
     17   2705       tick        109095           313            47        109095 
     18   2705       tick        109986           312            54        109986 
     19   2705       tick        108252           255            46        108252 
     20   2705       tick        106996           331            67        106996 
     21   2705       tick        107171           280            41        107171 
     22   2705       tick        108779           325            65        108779 
     23   2705       tick        108502           316            60        108502 
     24   2705       tick        108750           306            45        108750 
     25   2705       tick        109012           362            50        109012 
     26   2705       tick        109495           277            46        109495 
     27   2705       tick        109417           335            52        109417 
     28   2705       tick        108848           291            45        108848 
     29   2705       tick        109763           281            52        109763 
     30   2705       tick        109780           337            65        109780 
     31   2705       exit         89196          2618           319         89196 
