[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1  25915       tick          4285        104397       1790025 
      2  25915       tick          1526         96714       1743556 
      3  25915       tick          1222         96844       1745850 
      4  25915       tick          1154         96908       1746975 
      5  25915       tick          1204         96928       1746882 
      6  25915       tick           929         97015       1748546 
      7  25915       tick          1108         97027       1748962 
      8  25915       tick          1068         97053       1749701 
      9  25915       tick          1180         97035       1749233 
     10  25915       tick          1093         97075       1749481 
     11  25915       tick           889         97193       1751409 
     12  25915       tick           630         97108       1750534 
     13  25915       tick           982         97144       1750791 
     14  25915       tick           942         97084       1749747 
     15  25915       tick          1076         93593       1686914 
     16  25915       tick          1166        100514       1811503 
     17  25915       tick          1032         97021       1748910 
     18  25915       tick          1064         97041       1748782 
     19  25915       tick          1128         97074       1749984 
     20  25915       tick          1085         97053       1749740 
     21  25915       tick          1123         96879       1746007 
     22  25915       tick          1050         97070       1750030 
     23  25915       tick          1082         97088       1749830 
     24  25915       tick          1090         97167       1751009 
     25  25915       tick          1080         96288       1735410 
     26  25915       tick          1104         97846       1763272 
     27  25915       tick          1111         97019       1748828 
     28  25915       tick          1091         97079       1749493 
     29  25915       tick          1117         97044       1749483 
     30  25915       tick          1005         97070       1749605 
     31  25915       exit          1356         60098       1080543 
