[Event-to-counter mappings]
pmc1=data_mem_access
pmc2=data_read_retired
pmc3=data_write_retired
pmc4=dtlb_misses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  28639       tick      55437445             0             0          6369 
      2  28639       tick      56531770             0             0          4389 
      3  28639       tick      56647858             0             0          4396 
      4  28639       tick      56678526             0             0          4390 
      5  28639       tick      56683267             0             0          4402 
      6  28639       tick      56656469             0             0          4399 
      7  28639       tick      56722380             0             0          4404 
      8  28639       tick      56673668             0             0          4403 
      9  28639       tick      56542417             0             0          4401 
     10  28639       tick      56672614             0             0          4405 
     11  28639       tick      56727099             0             0          4396 
     12  28639       tick      56709959             0             0          4411 
     13  28639       tick      56768088             0             0          4397 
     14  28639       tick      56762944             0             0          4401 
     15  28639       tick      56755854             0             0          4397 
     16  28639       tick      56698628             0             0          4414 
     17  28639       tick      56732647             0             0          4395 
     18  28639       tick      56710684             0             0          4405 
     19  28639       tick      55771579             0             0          4326 
     20  28639       tick      57640749             0             0          4470 
     21  28639       tick      56733621             0             0          4398 
     22  28639       tick      56662066             0             0          4400 
     23  28639       tick      56647285             0             0          4399 
     24  28639       tick      56707675             0             0          4395 
     25  28639       tick      56698255             0             0          4399 
     26  28639       tick      56733713             0             0          4409 
     27  28639       exit      52946983             0             0          4249 
