[Event-to-counter mappings]
pmc0=cycles_allmodes
pmc1=bus_accesses
pmc2=cycles
pmc3=data_cache_eviction
[Event counts]
nsample    pid      event          pmc0          pmc1          pmc2          pmc3
      1  17627       tick     170307668      11593422     112209177       1486738 
      2  17627       tick     170059132      17117451     168033041       2145958 
      3  17627       tick     170065657      17105983     168038499       2144586 
      4  17627       tick     170063456      17077816     168076760       2137570 
      5  17627       tick     170057988      17063217     168022423       2139111 
      6  17627       tick     170063676      17092696     168078956       2141266 
      7  17627       tick     170068183      17090439     167932362       2139059 
      8  17627       tick     169978406      17086251     167839390       2142443 
      9  17627       tick     170064746      17098022     168064058       2140107 
     10  17627       tick     170018301      17065164     167933093       2136426 
     11  17627       tick     169991869      17048135     167905984       2136497 
     12  17627       tick     170078960      17080708     168049767       2140874 
     13  17627       tick     170080602      17100062     168084137       2142821 
     14  17627       tick     170083260      17109517     168061770       2142193 
     15  17627       tick     170068587      17083778     168066307       2139733 
     16  17627       tick     170065254      17077242     168066806       2139932 
     17  17627       tick     169988360      17062174     167753432       2139366 
     18  17627       tick     169984497      17074484     167866197       2138028 
     19  17627       tick     170067071      17093166     168058303       2141991 
     20  17627       tick     169980317      17094748     167896184       2140558 
     21  17627       exit     140269059      13339040     131525890       1671210 
