[Event-to-counter mappings]
pmc1=data_mem_access
pmc2=data_read_retired
pmc3=data_write_retired
pmc4=dtlb_misses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  28445       tick       4843728             0             0         41475 
      2  28445       tick       6425575             0             0         33552 
      3  28445       tick       6425890             0             0         33553 
      4  28445       tick       6415402             0             0         33499 
      5  28445       tick       6414228             0             0         33494 
      6  28445       tick       6421009             0             0         33528 
      7  28445       tick       6418339             0             0         33515 
      8  28445       tick       6432957             0             0         33591 
      9  28445       tick       6420315             0             0         33525 
     10  28445       tick       6410691             0             0         33475 
     11  28445       tick       6419759             0             0         33520 
     12  28445       tick       6416098             0             0         33515 
     13  28445       tick       6423908             0             0         33543 
     14  28445       tick       6420682             0             0         33530 
     15  28445       tick       6421520             0             0         33534 
     16  28445       tick       6420937             0             0         33533 
     17  28445       tick       6421639             0             0         33532 
     18  28445       tick       6410155             0             0         33472 
     19  28445       tick       6432724             0             0         33596 
     20  28445       tick       6419305             0             0         33523 
     21  28445       exit       5215188             0             0         27264 
