[Event-to-counter mappings]
pmc1=l2_cache_accesses
pmc2=l2_cache_refills
pmc3=l2_cache_writebacks
pmc4=llc_accesses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  29259       tick       3443937       1593126       1542236       3443937 
      2  29259       tick       4648834       2250836       2227276       4648834 
      3  29259       tick       4671137       2260785       2245176       4671137 
      4  29259       tick       4664226       2258057       2239638       4664226 
      5  29259       tick       4658154       2254616       2234397       4658154 
      6  29259       tick       4672942       2261468       2246073       4672942 
      7  29259       tick       4659622       2255875       2234098       4659622 
      8  29259       tick       4672787       2261093       2239260       4672787 
      9  29259       tick       4672089       2260545       2242006       4672089 
     10  29259       tick       4656947       2254470       2231540       4656947 
     11  29259       tick       4670546       2261013       2241847       4670546 
     12  29259       tick       4661888       2256064       2231615       4661888 
     13  29259       tick       4669955       2259977       2239178       4669955 
     14  29259       tick       4670745       2262092       2240357       4670745 
     15  29259       tick       4653317       2253496       2238119       4653317 
     16  29259       tick       4669687       2260138       2239635       4669687 
     17  29259       tick       4662955       2256321       2237442       4662955 
     18  29259       tick       4664030       2257740       2232712       4664030 
     19  29259       exit       3548298       1717672       1704417       3548298 
