[Event-to-counter mappings]
pmc1=data_mem_access
pmc2=data_read_retired
pmc3=data_write_retired
pmc4=dtlb_misses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  27062       tick        160098             0             0          1993 
      2  27062       tick             0             0             0             0 
      3  27062       tick             0             0             0             0 
      4  27062       tick             0             0             0             0 
      5  27062       tick             0             0             0             0 
      6  27062       tick             0             0             0             0 
      7  27062       tick             0             0             0             0 
      8  27062       tick             0             0             0             0 
      9  27062       tick             0             0             0             0 
     10  27062       tick             0             0             0             0 
     11  27062       tick             0             0             0             0 
     12  27062       tick             0             0             0             0 
     13  27062       tick             0             0             0             0 
     14  27062       tick             0             0             0             0 
     15  27062       tick             0             0             0             0 
     16  27062       tick             0             0             0             0 
     17  27062       tick             0             0             0             0 
     18  27062       tick             0             0             0             0 
     19  27062       tick             0             0             0             0 
     20  27062       exit          1248             0             0            45 
