[Event-to-counter mappings]
pmc0=cycles_allmodes
pmc1=bus_accesses
pmc2=cycles
pmc3=data_cache_eviction
[Event counts]
nsample    pid      event          pmc0          pmc1          pmc2          pmc3
      1  12836       tick     190490919      14691720     131538244       1876867 
      2  12836       tick     185263422      20324736     182868678       2547962 
      3  12836       tick     194727583      21501513     192353891       2690802 
      4  12836       tick     190029297      20916709     187692301       2620474 
      5  12836       tick     190024448      20898892     187728130       2618024 
      6  12836       tick     190074171      20949370     187773530       2622584 
      7  12836       tick     190074098      20876325     187807675       2617514 
      8  12836       tick     190075079      20915946     187797343       2619546 
      9  12836       tick     190075337      20966966     187838888       2624063 
     10  12836       tick     190073416      20870180     187813694       2615581 
     11  12836       tick     189983879      20927157     187634175       2619664 
     12  12836       tick     190025306      20953078     187733037       2622159 
     13  12836       tick     190027653      20886137     187708159       2617678 
     14  12836       tick     189902978      20941548     187667987       2623256 
     15  12836       tick     190163195      20913674     187880911       2619402 
     16  12836       tick     190063840      20958496     187780311       2622583 
     17  12836       tick     190063571      20907152     187800080       2618249 
     18  12836       tick     190067464      20894266     187778093       2618720 
     19  12836       tick     190064849      20970115     187859174       2623805 
     20  12836       exit     181127485      19154657     171680299       2397053 
