[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1   1089       tick         15445        247441       8151315 
      2   1089       tick           360          6578       2376702 
      3   1089       tick           366          6788       2375993 
      4   1089       tick           407          6701       2374314 
      5   1089       tick           401          6839       2374510 
      6   1089       tick           388          6667       2377131 
      7   1089       tick           382          6625       2375806 
      8   1089       tick           314          6695       2375852 
      9   1089       tick           367          6756       2377091 
     10   1089       tick           378          6839       2376437 
     11   1089       tick           367          6672       2376999 
     12   1089       tick           381          6912       2378471 
     13   1089       tick           387          6711       2376948 
     14   1089       tick           335          6597       2378736 
     15   1089       tick           367          6554       2378198 
     16   1089       tick           497          6452       2377361 
     17   1089       tick           371          6461       2378353 
     18   1089       tick           493          6596       2374225 
     19   1089       tick           354          6674       2378405 
     20   1089       tick           416          6823       2377775 
     21   1089       tick           413          6733       2378262 
     22   1089       tick           388          6796       2378399 
     23   1089       exit          2756          7875       2164519 
