[Event-to-counter mappings]
pmc1=itlb_misses
pmc2=l1_data_accesses
pmc3=l1_data_refills
pmc4=l1_instr_refills
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  28048       tick           418        425434        121352          1361 
      2  28048       tick            41        723836        233096            37 
      3  28048       tick            27       3532704       1177333            41 
      4  28048       tick            32       3508632       1169246            53 
      5  28048       tick            27       3528030       1175760            46 
      6  28048       tick            28       3542370       1180552            48 
      7  28048       tick            26       3549946       1183091            43 
      8  28048       tick            27       3546692       1182008            46 
      9  28048       tick            27       3539186       1179484            45 
     10  28048       tick            27       3540044       1179788            47 
     11  28048       tick            26       3509862       1169719            42 
     12  28048       tick            27       3503431       1167574            44 
     13  28048       tick            28       3505249       1168189            45 
     14  28048       tick            27       3526535       1175284            45 
     15  28048       tick            26       3533996       1177765            47 
     16  28048       tick            28       3544994       1181423            45 
     17  28048       tick            27       3538807       1179365            38 
     18  28048       tick            27       3547643       1182321            49 
     19  28048       tick            26       3550858       1183399            42 
     20  28048       tick            27       3542097       1180459            45 
     21  28048       tick            26       3527941       1175754            40 
     22  28048       tick            28       3552720       1184021            45 
     23  28048       tick            26       3541647       1180337            42 
     24  28048       tick            34       3508543       1169212            47 
     25  28048       tick            27       3544152       1181150            41 
     26  28048       tick            27       3532431       1177246            45 
     27  28048       tick            26       3543434       1180914            42 
     28  28048       tick            27       3546848       1182057            44 
     29  28048       tick            27       3535715       1178326            43 
     30  28048       tick            26       3522330       1173893            42 
     31  28048       tick            27       3531971       1177089            43 
     32  28048       tick            27       3519405       1172916            43 
     33  28048       tick            27       3526922       1175393            45 
     34  28048       tick            28       3506471       1168580            44 
     35  28048       tick            26       3528904       1176068            41 
     36  28048       tick            27       3514019       1171094            49 
     37  28048       tick            27       3512132       1170457            45 
     38  28048       tick            27       3510159       1169819            46 
     39  28048       tick            25       3497507       1165624            40 
     40  28048       exit            32        303406        100965           106 
