[Event-to-counter mappings]
pmc1=inmediate_branches_retired
pmc2=instr
pmc3=instr_arch_executed
pmc4=instr_cache_access
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  30602       tick             0       1807204       1807204        199943 
      2  30602       tick             0       3575284       3575284        145581 
      3  30602       tick             0      15439859      15439859          2317 
      4  30602       tick             0      15472437      15472437          2408 
      5  30602       tick             0      15452995      15452995          2355 
      6  30602       tick             0      15433010      15433010          2384 
      7  30602       tick             0      15448373      15448373          2320 
      8  30602       tick             0      15415653      15415653          2324 
      9  30602       tick             0      15283205      15283205          2891 
     10  30602       tick             0      15422944      15422944          2344 
     11  30602       tick             0      15431112      15431112          2444 
     12  30602       tick             0      15438489      15438489          2316 
     13  30602       tick             0      15434815      15434815          2466 
     14  30602       tick             0      15446132      15446132          2335 
     15  30602       tick             0      15442656      15442656          2453 
     16  30602       tick             0      15426338      15426338          2255 
     17  30602       tick             0      15406197      15406197          2412 
     18  30602       tick             0      15401445      15401445          2375 
     19  30602       tick             0      15457097      15457097          2430 
     20  30602       tick             0      15367954      15367954          2414 
     21  30602       tick             0      15450973      15450973          2309 
     22  30602       tick             0      15415691      15415691          2404 
     23  30602       tick             0      15470303      15470303          2444 
     24  30602       tick             0      15457096      15457096          2360 
     25  30602       tick             0      15425011      15425011          2347 
     26  30602       tick             0      15400247      15400247          2471 
     27  30602       tick             0      15413466      15413466          2347 
     28  30602       tick             0      15437987      15437987          2370 
     29  30602       tick             0      15238006      15238006          2860 
     30  30602       tick             0      15424507      15424507          2462 
     31  30602       tick             0      15427205      15427205          2286 
     32  30602       tick             0      15442160      15442160          2423 
     33  30602       tick             0      15437415      15437415          2353 
     34  30602       tick             0      15457746      15457746          2420 
     35  30602       tick             0      15449750      15449750          2377 
     36  30602       tick             0      15324624      15324624          2370 
     37  30602       tick             0      15425413      15425413          2356 
     38  30602       tick             0      15416043      15416043          2418 
     39  30602       exit             0      11607644      11607644          3839 
