[Event-to-counter mappings]
pmc1=itlb_misses
pmc2=l1_data_accesses
pmc3=l1_data_refills
pmc4=l1_instr_refills
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  29062       tick           503        526466        124414          1384 
      2  29062       tick            96        891767        231324            55 
      3  29062       tick            28       4958548       1317098            54 
      4  29062       tick            31       4927043       1308717            58 
      5  29062       tick            26       4981040       1323070            52 
      6  29062       tick            27       4964510       1318683            53 
      7  29062       tick            26       4980911       1323039            52 
      8  29062       tick            27       4961025       1317754            54 
      9  29062       tick            27       4934697       1310760            53 
     10  29062       tick            27       4910270       1304265            54 
     11  29062       tick            26       4891018       1299150            51 
     12  29062       tick            27       4897015       1300750            53 
     13  29062       tick            33       4863548       1291857            62 
     14  29062       tick            27       4986826       1324610            53 
     15  29062       tick            27       4945114       1313519            53 
     16  29062       tick            26       4986125       1324425            51 
     17  29062       tick            28       4989704       1325374            54 
     18  29062       tick            26       4988082       1324944            52 
     19  29062       tick            26       4992105       1326007            51 
     20  29062       tick            28       4996766       1327251            54 
     21  29062       tick            26       4997624       1327479            52 
     22  29062       tick            26       4958458       1317070            52 
     23  29062       tick            27       4969518       1320012            53 
     24  29062       tick            27       4968840       1319825            53 
     25  29062       tick            27       4983748       1323795            53 
     26  29062       tick            27       4991348       1325809            53 
     27  29062       tick            26       4944027       1313241            52 
     28  29062       tick            28       4923614       1307797            54 
     29  29062       tick            27       4575333       1215272            53 
     30  29062       tick            28       4888175       1298389            53 
     31  29062       tick            26       4871986       1294083            52 
     32  29062       tick            27       4842689       1286312            53 
     33  29062       tick            34       4806431       1276691            63 
     34  29062       exit            44       2953449        784386           132 
