[Event-to-counter mappings]
pmc1=data_mem_access
pmc2=data_read_retired
pmc3=data_write_retired
pmc4=dtlb_misses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  32456       tick       2426806             0             0         21546 
      2  32456       tick       3950146             0             0          1591 
      3  32456       tick       6829185             0             0          2979 
      4  32456       tick      11172822             0             0          1997 
      5  32456       tick      12255781             0             0          1711 
      6  32456       tick      12236635             0             0          1761 
      7  32456       tick      12268310             0             0          1740 
      8  32456       tick      12272335             0             0          1762 
      9  32456       tick      12259750             0             0          1722 
     10  32456       tick      12263108             0             0          1731 
     11  32456       tick      12290819             0             0          1702 
     12  32456       tick      12287704             0             0          1735 
     13  32456       tick      12245776             0             0          1738 
     14  32456       tick      12251732             0             0          1757 
     15  32456       tick      12250341             0             0          1741 
     16  32456       tick      12145422             0             0          1755 
     17  32456       tick      12281911             0             0          1739 
     18  32456       tick      12253348             0             0          1736 
     19  32456       tick      12307508             0             0          1747 
     20  32456       tick      12256643             0             0          1762 
     21  32456       tick      12282437             0             0          1745 
     22  32456       tick      12270865             0             0          1685 
     23  32456       tick      12262543             0             0          1755 
     24  32456       tick      12283268             0             0          1758 
     25  32456       tick      12256054             0             0          1768 
     26  32456       tick      12286350             0             0          1756 
     27  32456       tick      12295756             0             0          1750 
     28  32456       tick      12251969             0             0          1755 
     29  32456       tick      12276815             0             0          1724 
     30  32456       tick      12261761             0             0          1768 
     31  32456       tick      12276586             0             0          1760 
     32  32456       tick      12244463             0             0          1727 
     33  32456       tick      12276336             0             0          1740 
     34  32456       tick      12266311             0             0          1765 
     35  32456       tick      12273189             0             0          1737 
     36  32456       tick      12175921             0             0          1760 
     37  32456       tick      12290555             0             0          1741 
     38  32456       tick      12294858             0             0          1760 
     39  32456       tick      12284945             0             0          1754 
     40  32456       tick      12267069             0             0          1739 
     41  32456       tick      12244246             0             0          1711 
     42  32456       tick      12263207             0             0          1714 
     43  32456       tick      12265726             0             0          1756 
     44  32456       tick      12269573             0             0          1772 
     45  32456       tick      12285307             0             0          1764 
     46  32456       tick      12283170             0             0          1726 
     47  32456       tick      12286613             0             0          1758 
     48  32456       tick      12299726             0             0          1766 
     49  32456       tick      12296482             0             0          1710 
     50  32456       tick      12257950             0             0          1752 
     51  32456       tick      12245514             0             0          1753 
     52  32456       tick      12287034             0             0          1780 
     53  32456       tick      12277851             0             0          1767 
     54  32456       tick      12280131             0             0          1771 
     55  32456       tick      12292382             0             0          1769 
     56  32456       tick      12164924             0             0          1770 
     57  32456       tick      12278653             0             0          1748 
     58  32456       tick      12283343             0             0          1743 
     59  32456       tick      12249445             0             0          1768 
     60  32456       tick      12259411             0             0          1763 
     61  32456       tick      12263173             0             0          1702 
     62  32456       tick      12257665             0             0          1756 
     63  32456       tick      12279937             0             0          1743 
     64  32456       tick      12270663             0             0          1745 
     65  32456       tick      12279292             0             0          1767 
     66  32456       tick      12268826             0             0          1759 
     67  32456       tick      12291996             0             0          1767 
     68  32456       tick      12251813             0             0          1732 
     69  32456       tick      12262180             0             0          1750 
     70  32456       tick      12232339             0             0          1757 
     71  32456       tick      12267102             0             0          1760 
     72  32456       tick      12297216             0             0          1751 
     73  32456       tick      12292377             0             0          1770 
     74  32456       tick      12276754             0             0          1701 
     75  32456       tick      12319313             0             0          1748 
     76  32456       tick      12166966             0             0          1841 
     77  32456       tick      12243176             0             0          1766 
     78  32456       tick      12281368             0             0          1768 
     79  32456       tick      12267341             0             0          1735 
     80  32456       tick      12248854             0             0          1744 
     81  32456       tick      12282418             0             0          1763 
     82  32456       tick      12279171             0             0          1748 
     83  32456       tick      12296135             0             0          1722 
     84  32456       tick      12293538             0             0          1753 
     85  32456       tick      11798413             0             0          1668 
     86  32456       tick      12704926             0             0          1806 
     87  32456       tick      12304956             0             0          1734 
     88  32456       tick      12153519             0             0          1756 
     89  32456       tick      12390235             0             0          1753 
     90  32456       tick      12268411             0             0          1777 
     91  32456       tick      12291052             0             0          1741 
     92  32456       tick      12280093             0             0          1754 
     93  32456       tick      12285410             0             0          1756 
     94  32456       tick      12274524             0             0          1750 
     95  32456       tick      12259264             0             0          1716 
     96  32456       tick      12161253             0             0          1819 
     97  32456       tick      12220671             0             0          1739 
     98  32456       tick      12295845             0             0          1765 
     99  32456       tick      12188470             0             0          1678 
    100  32456       tick      12369595             0             0          1776 
    101  32456       tick      12263900             0             0          1751 
    102  32456       tick      12284299             0             0          1761 
    103  32456       tick      12262936             0             0          1764 
    104  32456       tick      12274814             0             0          1756 
    105  32456       tick      12293424             0             0          1764 
    106  32456       tick      12261034             0             0          1740 
    107  32456       tick      12289380             0             0          1729 
    108  32456       tick      12277284             0             0          1720 
    109  32456       tick      12297899             0             0          1743 
    110  32456       tick      12256786             0             0          1750 
    111  32456       tick      12294793             0             0          1755 
    112  32456       tick      12267415             0             0          1750 
    113  32456       tick      12275781             0             0          1757 
    114  32456       tick      12298706             0             0          1718 
    115  32456       tick      12260298             0             0          1726 
    116  32456       tick      12147902             0             0          1831 
    117  32456       tick      12284320             0             0          1740 
    118  32456       tick      12274927             0             0          1764 
    119  32456       tick      12290215             0             0          1735 
    120  32456       tick      12266137             0             0          1739 
    121  32456       tick      12263681             0             0          1737 
    122  32456       tick      12273687             0             0          1740 
    123  32456       tick      12273480             0             0          1759 
    124  32456       tick      12252904             0             0          1750 
    125  32456       tick      12287896             0             0          1739 
    126  32456       tick      12296216             0             0          1701 
    127  32456       tick      12302229             0             0          1745 
    128  32456       tick      12294906             0             0          1750 
    129  32456       tick      11854655             0             0          1711 
    130  32456       tick      12672054             0             0          1797 
    131  32456       tick      12239013             0             0          1766 
    132  32456       tick      12279835             0             0          1785 
    133  32456       tick      12267904             0             0          1748 
    134  32456       tick      12306532             0             0          1711 
    135  32456       tick      12275951             0             0          1755 
    136  32456       tick      12148596             0             0          1836 
    137  32456       tick      12291994             0             0          1764 
    138  32456       tick      12294367             0             0          1754 
    139  32456       tick      12255924             0             0          1703 
    140  32456       tick      12262992             0             0          1759 
    141  32456       tick      12256339             0             0          1744 
    142  32456       tick      12267490             0             0          1745 
    143  32456       tick      12291013             0             0          1762 
    144  32456       tick      12290557             0             0          1740 
    145  32456       tick      12288815             0             0          1762 
    146  32456       tick      12285878             0             0          1739 
    147  32456       tick      12301939             0             0          1725 
    148  32456       tick      12268676             0             0          1758 
    149  32456       tick      12264659             0             0          1732 
    150  32456       tick      12237190             0             0          1706 
    151  32456       tick      12251600             0             0          1751 
    152  32456       tick      12287510             0             0          1752 
    153  32456       tick      12289021             0             0          1747 
    154  32456       tick      12312733             0             0          1719 
    155  32456       tick      12301927             0             0          1721 
    156  32456       tick      12166243             0             0          1812 
    157  32456       tick      12262309             0             0          1772 
    158  32456       tick      12258554             0             0          1764 
    159  32456       tick      12260756             0             0          1737 
    160  32456       tick      12266182             0             0          1782 
    161  32456       tick      12275031             0             0          1756 
    162  32456       tick      12296681             0             0          1747 
    163  32456       tick      12275905             0             0          1767 
    164  32456       tick      12267424             0             0          1740 
    165  32456       tick      12238994             0             0          1739 
    166  32456       tick      12303101             0             0          1732 
    167  32456       tick      12287285             0             0          1732 
    168  32456       tick      12263165             0             0          1761 
    169  32456       tick      12243202             0             0          1749 
    170  32456       tick      12283394             0             0          1741 
    171  32456       tick      12279989             0             0          1753 
    172  32456       tick      12292632             0             0          1754 
    173  32456       tick      12267683             0             0          1742 
    174  32456       tick      12280379             0             0          1711 
    175  32456       tick      12274972             0             0          1758 
    176  32456       tick      12126703             0             0          1766 
    177  32456       tick      12277116             0             0          1786 
    178  32456       tick      12291688             0             0          1705 
    179  32456       tick      12244435             0             0          1738 
    180  32456       tick      12282749             0             0          1749 
    181  32456       tick      12273516             0             0          1770 
    182  32456       tick      12296438             0             0          1736 
    183  32456       tick      12281854             0             0          1737 
    184  32456       tick      12242588             0             0          1726 
    185  32456       tick      12288568             0             0          1709 
    186  32456       tick      12278533             0             0          1749 
    187  32456       tick      12226799             0             0          1746 
    188  32456       tick      12284723             0             0          1753 
    189  32456       tick      12255040             0             0          1738 
    190  32456       tick      12283949             0             0          1754 
    191  32456       tick      12281758             0             0          1772 
    192  32456       tick      12300673             0             0          1741 
    193  32456       tick      12262510             0             0          1697 
    194  32456       tick      12290762             0             0          1742 
    195  32456       tick      12252872             0             0          1772 
    196  32456       tick      12164237             0             0          1782 
    197  32456       tick      12267028             0             0          1748 
    198  32456       tick      12281566             0             0          1728 
    199  32456       tick      12263966             0             0          1751 
    200  32456       tick      12298642             0             0          1757 
    201  32456       tick      12286110             0             0          1725 
    202  32456       tick      12246726             0             0          1735 
    203  32456       tick      12281653             0             0          1752 
    204  32456       tick      12264456             0             0          1703 
    205  32456       tick      12261475             0             0          1762 
    206  32456       tick      12266432             0             0          1744 
    207  32456       tick      12269932             0             0          1743 
    208  32456       tick      12287591             0             0          1771 
    209  32456       tick      12254364             0             0          1764 
    210  32456       tick      11773504             0             0          1632 
    211  32456       tick      12674108             0             0          1839 
    212  32456       tick      12344044             0             0          1749 
    213  32456       tick      12223843             0             0          1733 
    214  32456       tick      12275916             0             0          1739 
    215  32456       tick      12246003             0             0          2007 
    216  32456       exit        217756             0             0          1141 
