[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1  31221       tick       1493699          2241       3253512 
      2  31221       tick       2073508             9       4145242 
      3  31221       tick       2075004             9       4148385 
      4  31221       tick       2075734             8       4149821 
      5  31221       tick       2074230            16       4146852 
      6  31221       tick       2073561            14       4145547 
      7  31221       tick       2075068             8       4148502 
      8  31221       tick       2078422             8       4155128 
      9  31221       tick       2073438            10       4145184 
     10  31221       tick       2074005             8       4146299 
     11  31221       tick       2073380            11       4144928 
     12  31221       tick       2074637             9       4147461 
     13  31221       tick       2071276            10       4140964 
     14  31221       tick       2075152             8       4148660 
     15  31221       tick       2076089            13       4150369 
     16  31221       tick       2075186            11       4148629 
     17  31221       tick       2071616             9       4141513 
     18  31221       tick       2077714            10       4153587 
     19  31221       tick       2072748            17       4143827 
     20  31221       tick       2075746            11       4149703 
     21  31221       tick       2074562            13       4147325 
     22  31221       exit        930889            90       1860845 
