[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1  21733       tick        151051          2343       1013079 
      2  21733       tick        838176             8       4374710 
      3  21733       tick       1265034             7       6471185 
      4  21733       tick       1263689             8       6464023 
      5  21733       tick       1264328             9       6467630 
      6  21733       tick       1264156             6       6466654 
      7  21733       tick       1262044             9       6455950 
      8  21733       tick       1266287             4       6477798 
      9  21733       tick       1265777             5       6475098 
     10  21733       tick       1266323             6       6477984 
     11  21733       tick       1265737             6       6474706 
     12  21733       tick       1266747             5       6480133 
     13  21733       tick       1264453             4       6468056 
     14  21733       tick       1264676             6       6469663 
     15  21733       tick       1263630             6       6463949 
     16  21733       tick       1265429             8       6472832 
     17  21733       tick       1264770             6       6469774 
     18  21733       tick       1265942             5       6475743 
     19  21733       tick       1265890             4       6475537 
     20  21733       tick       1266571             7       6479088 
     21  21733       tick       1256914             7       6429690 
     22  21733       tick       1266616             6       6479085 
     23  21733       tick       1262850             5       6459801 
     24  21733       tick       1266732             5       6480071 
     25  21733       tick       1264999             4       6471066 
     26  21733       tick       1263821             5       6464952 
     27  21733       tick       1266578             7       6479115 
     28  21733       tick       1264234             5       6467031 
     29  21733       tick       1268656             5       6489757 
     30  21733       tick       1266203             5       6477263 
     31  21733       tick       1265616             8       6474221 
     32  21733       tick       1265139             7       6471824 
     33  21733       tick       1264719             5       6469346 
     34  21733       tick       1264439             5       6468306 
     35  21733       tick       1264885             5       6470636 
     36  21733       tick       1266278             4       6477728 
     37  21733       tick       1264844             6       6470266 
     38  21733       tick       1266374             5       6477706 
     39  21733       tick       1266297             5       6477552 
     40  21733       tick       1266608             5       6479344 
     41  21733       tick       1253483             8       6412216 
     42  21733       tick       1244382            96       6364704 
     43  21733       exit             0             0             0 
