[Event-to-counter mappings]
pmc1=data_mem_access
pmc2=data_read_retired
pmc3=data_write_retired
pmc4=dtlb_misses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  27499       tick       5651597             0             0         78953 
      2  27499       tick      14767826             0             0        227243 
      3  27499       tick      14643059             0             0        213315 
      4  27499       tick      14752091             0             0        226101 
      5  27499       tick      14662829             0             0        218090 
      6  27499       tick      14777803             0             0        231775 
      7  27499       tick      14656861             0             0        221188 
      8  27499       tick      14754979             0             0        227446 
      9  27499       tick      14648909             0             0        219565 
     10  27499       tick      14833320             0             0        229605 
     11  27499       tick      14677005             0             0        220152 
     12  27499       tick      14781767             0             0        229465 
     13  27499       tick      14683513             0             0        220383 
     14  27499       tick      14782493             0             0        230395 
     15  27499       tick      14652113             0             0        218971 
     16  27499       tick      14789692             0             0        233284 
     17  27499       tick      14594980             0             0        219206 
     18  27499       tick      14809977             0             0        228925 
     19  27499       tick      14670469             0             0        224783 
     20  27499       tick      14774228             0             0        226037 
     21  27499       tick      14679344             0             0        219479 
     22  27499       tick      14810806             0             0        229904 
     23  27499       tick      14657125             0             0        222178 
     24  27499       tick      14780056             0             0        228025 
     25  27499       tick      14681619             0             0        222021 
     26  27499       tick      14780322             0             0        229481 
     27  27499       tick      14655793             0             0        225453 
     28  27499       tick      14784640             0             0        229419 
     29  27499       tick      14677144             0             0        222199 
     30  27499       tick      14812761             0             0        225523 
     31  27499       tick      14696377             0             0        223070 
     32  27499       tick      14801267             0             0        226928 
     33  27499       tick      14644087             0             0        223522 
     34  27499       tick      14276246             0             0        218420 
     35  27499       tick      15177715             0             0        229494 
     36  27499       tick      14798430             0             0        229286 
     37  27499       tick      14697485             0             0        220659 
     38  27499       tick      14788771             0             0        226799 
     39  27499       tick      14671418             0             0        219875 
     40  27499       tick      14798425             0             0        229459 
     41  27499       tick      14659565             0             0        220037 
     42  27499       tick      14788633             0             0        227346 
     43  27499       tick      14689468             0             0        221040 
     44  27499       tick      14783453             0             0        227550 
     45  27499       tick      14697033             0             0        225430 
     46  27499       tick      14831723             0             0        231308 
     47  27499       tick      14668853             0             0        223922 
     48  27499       tick      14807741             0             0        227173 
     49  27499       tick      14671970             0             0        222955 
     50  27499       tick      14811103             0             0        228545 
     51  27499       tick      14651029             0             0        226090 
     52  27499       tick      14802389             0             0        226917 
     53  27499       tick      14678886             0             0        225185 
     54  27499       tick      14816766             0             0        224526 
     55  27499       tick      14682793             0             0        221929 
     56  27499       tick      14795468             0             0        228941 
     57  27499       tick      14667090             0             0        222176 
     58  27499       tick      14790150             0             0        225608 
     59  27499       tick      14668723             0             0        222769 
     60  27499       tick      14761855             0             0        226561 
     61  27499       tick      14699231             0             0        225004 
     62  27499       tick      14745898             0             0        224599 
     63  27499       tick      14706515             0             0        225800 
     64  27499       tick      14780103             0             0        225109 
     65  27499       tick      14708007             0             0        225150 
     66  27499       tick      14786356             0             0        226527 
     67  27499       tick      14654593             0             0        223727 
     68  27499       tick      14777111             0             0        223651 
     69  27499       tick      14687378             0             0        224673 
     70  27499       tick      14733221             0             0        224558 
     71  27499       tick      14690779             0             0        223657 
     72  27499       tick      14766813             0             0        222837 
     73  27499       tick      14719101             0             0        222953 
     74  27499       tick      14773081             0             0        227537 
     75  27499       tick      14710678             0             0        225779 
     76  27499       tick      14770895             0             0        225995 
     77  27499       tick      14688274             0             0        224733 
     78  27499       tick      14750893             0             0        224796 
     79  27499       tick      14677757             0             0        224792 
     80  27499       tick      14739611             0             0        225144 
     81  27499       tick      14701228             0             0        224947 
     82  27499       tick      14777454             0             0        224982 
     83  27499       tick      14701410             0             0        225704 
     84  27499       tick      14762838             0             0        224151 
     85  27499       tick      14727995             0             0        222853 
     86  27499       tick      14762344             0             0        227717 
     87  27499       tick      14672692             0             0        226600 
     88  27499       tick      14759307             0             0        222599 
     89  27499       tick      14691832             0             0        225866 
     90  27499       tick      14767073             0             0        225287 
     91  27499       tick      14706062             0             0        226287 
     92  27499       tick      14746899             0             0        223550 
     93  27499       tick      14738859             0             0        225330 
     94  27499       tick      14772603             0             0        221154 
     95  27499       tick      14706154             0             0        227096 
     96  27499       tick      14697258             0             0        227272 
     97  27499       tick      14745350             0             0        226309 
     98  27499       tick      14671678             0             0        220062 
     99  27499       tick      14805105             0             0        229662 
    100  27499       tick      14666528             0             0        222808 
    101  27499       tick      14813212             0             0        227747 
    102  27499       tick      14695314             0             0        222070 
    103  27499       tick      14787353             0             0        227348 
    104  27499       tick      14502864             0             0        218655 
    105  27499       tick      14961698             0             0        231141 
    106  27499       tick      14682705             0             0        221864 
    107  27499       tick      14766291             0             0        226130 
    108  27499       tick      14671182             0             0        221138 
    109  27499       tick      14812021             0             0        227193 
    110  27499       tick      14643613             0             0        219366 
    111  27499       tick      14838012             0             0        233820 
    112  27499       tick      14645482             0             0        221034 
    113  27499       tick      14760459             0             0        226966 
    114  27499       tick      14685318             0             0        219908 
    115  27499       tick      14792357             0             0        228563 
    116  27499       tick      14634351             0             0        221873 
    117  27499       tick      14779870             0             0        229160 
    118  27499       tick      14679342             0             0        221408 
    119  27499       tick      14808837             0             0        232900 
    120  27499       tick      14673552             0             0        220122 
    121  27499       tick      14791163             0             0        230367 
    122  27499       tick      14634482             0             0        218509 
    123  27499       tick      14812783             0             0        228694 
    124  27499       tick      14675660             0             0        220831 
    125  27499       tick      14781937             0             0        229360 
    126  27499       tick      14675539             0             0        221983 
    127  27499       tick      14764618             0             0        228264 
    128  27499       tick      14668637             0             0        221730 
    129  27499       tick      14805839             0             0        233647 
    130  27499       tick      14655761             0             0        218739 
    131  27499       tick      14773014             0             0        228271 
    132  27499       tick      14667156             0             0        220569 
    133  27499       tick      14745946             0             0        226124 
    134  27499       tick      14709898             0             0        224180 
    135  27499       tick      14821886             0             0        225934 
    136  27499       tick      14667035             0             0        221128 
    137  27499       tick      14785420             0             0        226248 
    138  27499       tick      14688803             0             0        221643 
    139  27499       tick      14539419             0             0        223196 
    140  27499       tick      14938781             0             0        228360 
    141  27499       tick      14788380             0             0        224311 
    142  27499       tick      14683788             0             0        222804 
    143  27499       tick      14757100             0             0        225996 
    144  27499       tick      14713612             0             0        221875 
    145  27499       tick      14757546             0             0        227250 
    146  27499       tick      14696237             0             0        222919 
    147  27499       tick      14766336             0             0        228157 
    148  27499       tick      14698692             0             0        222145 
    149  27499       tick      14745546             0             0        227482 
    150  27499       tick      14719609             0             0        224471 
    151  27499       tick      14748901             0             0        227938 
    152  27499       exit      14024141             0             0        209233 
