[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1  22544       tick          1342         10294         96748 
      2  22544       tick             0             0             0 
      3  22544       tick             0             0             0 
      4  22544       tick             0             0             0 
      5  22544       tick             0             0             0 
      6  22544       tick             0             0             0 
      7  22544       tick             0             0             0 
      8  22544       tick             0             0             0 
      9  22544       tick             0             0             0 
     10  22544       tick             0             0             0 
     11  22544       tick             0             0             0 
     12  22544       tick             0             0             0 
     13  22544       tick             0             0             0 
     14  22544       tick             0             0             0 
     15  22544       tick             0             0             0 
     16  22544       tick             0             0             0 
     17  22544       tick             0             0             0 
     18  22544       tick             0             0             0 
     19  22544       tick             0             0             0 
     20  22544       exit            71           169           594 
