[Event-to-counter mappings]
pmc1=itlb_misses
pmc2=l1_data_accesses
pmc3=l1_data_refills
pmc4=l1_instr_refills
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  22219       tick          4186       9350379         51281         80766 
      2  22219       tick          2768      27062205         12080         59765 
      3  22219       tick          3589      31136925         17073         10991 
      4  22219       tick          3650      31124819         17154         11048 
      5  22219       tick          3643      31154671         16839         10981 
      6  22219       tick          3580      31158542         16732         10915 
      7  22219       tick          3571      31171629         16554         10922 
      8  22219       tick          3560      31170566         16525         10904 
      9  22219       tick          3543      31172995         16590         10885 
     10  22219       tick          3645      31119056         16878         10967 
     11  22219       tick          3603      31130157         16980         10969 
     12  22219       tick          3632      31103993         16779         10949 
     13  22219       tick          3639      31159316         16808         10981 
     14  22219       tick          3605      31160977         16709         10962 
     15  22219       tick          3655      31156934         16902         10945 
     16  22219       tick          3716      31007041         17070         11409 
     17  22219       tick          3595      31164172         17037         10900 
     18  22219       tick          3644      31148818         16969         11030 
     19  22219       tick          3673      31062731         17324         11105 
     20  22219       tick          3598      31106358         17301         11089 
     21  22219       tick          3615      31127847         17007         11166 
     22  22219       tick          3657      31130545         17093         11096 
     23  22219       tick          3617      31151361         16882         11111 
     24  22219       tick          3619      31166010         16582         10974 
     25  22219       tick          3579      31174573         17000         10898 
     26  22219       tick          3576      31160475         16540         10951 
     27  22219       tick          3613      31166918         16803         11007 
     28  22219       tick          3640      31122361         16980         11079 
     29  22219       tick          3612      31130337         16903         11087 
     30  22219       tick          3655      31108055         16881         11130 
     31  22219       tick          3681      31095167         17072         11200 
     32  22219       tick          3615      31160572         16834         10878 
     33  22219       tick          3597      31167408         16849         10875 
     34  22219       tick          3600      31159579         16879         10990 
     35  22219       tick          3621      31162027         15858         10965 
     36  22219       tick          3687      31002400         15811         11282 
     37  22219       tick          3635      31179332         15895         10999 
     38  22219       tick          3657      31107148         16940         11140 
     39  22219       tick          3669      31151446         17078         11020 
     40  22219       tick          3667      31100488         17064         11123 
     41  22219       tick          3656      31127544         17179         11065 
     42  22219       tick          3618      31154082         16933         10962 
     43  22219       tick          3605      31160407         16830         10958 
     44  22219       tick          3604      31172221         16864         10975 
     45  22219       tick          3613      31171777         16894         10939 
     46  22219       tick          3637      31149169         17095         10975 
     47  22219       tick          3636      31133418         16963         11130 
     48  22219       tick          3615      31133377         17038         11155 
     49  22219       tick          3647      31130065         16950         11080 
     50  22219       tick          3663      31105674         16885         11240 
     51  22219       tick          3663      31141947         16758         11025 
     52  22219       tick          3664      31142312         16813         11046 
     53  22219       tick          3644      31175172         16740         10961 
     54  22219       tick          3614      31163322         16748         11017 
     55  22219       tick          3598      31171471         16751         10983 
     56  22219       tick          3650      31024575         16878         11323 
     57  22219       tick          3634      31118737         16864         11181 
     58  22219       tick          3613      31124938         16853         11242 
     59  22219       tick          3563      31133391         16926         11117 
     60  22219       tick          3609      31123037         16927         11050 
     61  22219       tick          3652      31172008         17037         11029 
     62  22219       tick          3626      31151830         16894         11052 
     63  22219       tick          3649      31164742         16802         11030 
     64  22219       tick          3633      31147296         16839         11072 
     65  22219       tick          3571      31152777         16758         10965 
     66  22219       tick          3669      31125531         16920         11186 
     67  22219       tick          3607      31156020         17004         11025 
     68  22219       tick          3591      31123116         16930         11207 
     69  22219       tick          3648      31152592         16763         11033 
     70  22219       tick          3695      31135031         16838         11082 
     71  22219       tick          3617      31155519         16782         10996 
     72  22219       tick          3626      31164624         16702         11054 
     73  22219       tick          3593      31159213         16734         11003 
     74  22219       tick          3685      31150191         16823         11169 
     75  22219       tick          3667      31110752         16828         11211 
     76  22219       tick          3634      31019462         16810         11427 
     77  22219       tick          3634      31125965         16800         11123 
     78  22219       tick          3631      31129994         16812         11238 
     79  22219       tick          3658      31150918         16750         11136 
     80  22219       tick          3593      31120583         16819         11071 
     81  22219       tick          3624      31146075         16820         10995 
     82  22219       tick          3648      31114224         16589         11071 
     83  22219       tick          3627      31165200         16758         10945 
     84  22219       tick          3580      31138552         16849         11079 
     85  22219       exit          3012      23500245         15877          9214 
