[Event-to-counter mappings]
pmc0=cycles_allmodes
pmc1=bus_accesses
pmc2=cycles
pmc3=data_cache_eviction
[Event counts]
nsample    pid      event          pmc0          pmc1          pmc2          pmc3
      1  27201       tick      48968101         73745      41788902          8296 
      2  27201       tick      59995042          3049      57308967          6001 
      3  27201       tick      60018846           756      57365222          6096 
      4  27201       tick      60019307           698      57397089          6105 
      5  27201       tick      60018326           699      57427380          5975 
      6  27201       tick      60018379           664      57394621          5969 
      7  27201       tick      59997804           631      57373630          5952 
      8  27201       tick      59998763           684      57391232          5823 
      9  27201       tick      57643830           682      55151781          5582 
     10  27201       tick      62187312           654      59327633          6171 
     11  27201       tick      60075719           581      57448835          5900 
     12  27201       tick      59993639           624      57331300          5935 
     13  27201       tick      60018957           618      57419293          5826 
     14  27201       tick      60017382           670      57397907          5563 
     15  27201       tick      60017055           496      57429727          5647 
     16  27201       tick      60017237           522      57400737          5784 
     17  27201       tick      60018372           447      57433052          6078 
     18  27201       tick      59997412           427      57376949          6013 
     19  27201       tick      59998401           587      57401383          5739 
     20  27201       tick      60001049           642      57390329          5848 
     21  27201       tick      59999360           600      57384008          5800 
     22  27201       tick      59978058           640      57302194          5819 
     23  27201       tick      60018225           542      57393030          5872 
     24  27201       tick      60018065           736      57400587          5865 
     25  27201       tick      60018582           674      57436937          5953 
     26  27201       tick      60020270           745      57417693          5912 
     27  27201       tick      60018099           580      57454390          6022 
     28  27201       tick      60025253           508      57448909          5952 
     29  27201       tick      60004228           574      57392313          5944 
     30  27201       tick      59897104           663      57183383          6061 
     31  27201       tick      60018669           605      57426400          5764 
     32  27201       tick      59973207           692      57332126          5946 
     33  27201       tick      59999001           676      57401391          5735 
     34  27201       tick      60018556           636      57396984          5889 
     35  27201       tick      60018439           500      57424305          5912 
     36  27201       tick      60018221           649      57439742          6044 
     37  27201       tick      59984412           550      57406012          6032 
     38  27201       tick      60049430           588      57446031          5970 
     39  27201       tick      60016313           562      57425981          5933 
     40  27201       tick      59996254           839      57387937          6018 
     41  27201       tick      59997707           660      57378449          5845 
     42  27201       tick      59997238           544      57386150          5847 
     43  27201       tick      59997305           648      57384279          5802 
     44  27201       tick      59996881           624      57382454          5940 
     45  27201       tick      60017859           624      57419335          6093 
     46  27201       tick      60017667           728      57430162          5960 
     47  27201       tick      60018748           523      57410501          6064 
     48  27201       tick      60019219           600      57426017          5977 
     49  27201       tick      60019401           675      57417358          6075 
     50  27201       tick      59909778           763      57214879          6094 
     51  27201       tick      60017549           676      57393219          5904 
     52  27201       tick      59966354           702      57309969          5987 
     53  27201       tick      60018689           449      57413632          5859 
     54  27201       tick      59998394           712      57380276          5948 
     55  27201       tick      59998843           676      57375066          6085 
     56  27201       tick      60018215           629      57462932          6098 
     57  27201       tick      60018358           646      57413761          6080 
     58  27201       tick      60018626           556      57418799          6064 
     59  27201       tick      60018851           666      57408349          5971 
     60  27201       tick      60018954           553      57441226          6077 
     61  27201       tick      60018341           712      57428583          5895 
     62  27201       tick      59995563           720      57351813          5959 
     63  27201       tick      59998616           596      57387677          5947 
     64  27201       tick      60000482           604      57425823          5884 
     65  27201       tick      59941775           810      57349629          5979 
     66  27201       tick      60050337           688      57379639          6059 
     67  27201       tick      60018553           692      57403741          6134 
     68  27201       tick      60015733           608      57447266          6022 
     69  27201       tick      60018364          1084      57311873          5866 
     70  27201       tick      59911532           618      57216531          6100 
     71  27201       tick      60019238           618      57415138          5914 
     72  27201       exit      29872629         10764      27851221          4491 
