[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1  10477       tick          5520        315778       8461091 
      2  10477       tick          2242        469280      12652300 
      3  10477       tick          1677        467213      12692870 
      4  10477       tick          1468        473075      12728666 
      5  10477       tick          1923        469737      12656640 
      6  10477       tick          1329        475519      12728314 
      7  10477       tick          1192        470498      12729173 
      8  10477       tick          1455        471717      12701594 
      9  10477       tick          1397        473265      12744957 
     10  10477       tick          1348        474800      12725306 
     11  10477       tick          1348        473756      12731927 
     12  10477       tick          1461        470271      12704241 
     13  10477       tick          1195        472341      12753141 
     14  10477       tick          1206        474816      12736404 
     15  10477       tick          1407        471913      12724485 
     16  10477       tick          1589        467076      12697489 
     17  10477       tick          1161        472992      12762328 
     18  10477       tick          1580        473146      12729949 
     19  10477       tick          1293        475646      12724253 
     20  10477       tick          1264        467891      12691287 
     21  10477       tick          1939        472631      12738441 
     22  10477       tick          1366        474073      12731225 
     23  10477       tick          1179        474278      12723840 
     24  10477       tick          1398        474621      12703266 
     25  10477       tick          1294        467556      12702661 
     26  10477       tick          1501        471407      12725223 
     27  10477       tick          1757        470952      12729658 
     28  10477       tick          1222        473670      12734084 
     29  10477       tick          1675        469164      12683401 
     30  10477       tick          1196        474096      12746226 
     31  10477       tick          1342        475054      12726083 
     32  10477       tick          1448        472298      12730398 
     33  10477       tick          1492        469711      12698760 
     34  10477       tick          1550        472310      12743847 
     35  10477       tick          1502        473628      12711406 
     36  10477       tick          1265        470737      12711675 
     37  10477       tick          1411        472437      12732843 
     38  10477       tick          1560        468887      12677365 
     39  10477       tick          1586        475102      12693913 
     40  10477       tick          1159        471519      12733548 
     41  10477       tick          1307        474021      12719894 
     42  10477       tick          1360        469256      12697568 
     43  10477       tick          1435        473663      12734135 
     44  10477       tick          1380        474294      12708008 
     45  10477       tick          1639        470799      12686306 
     46  10477       tick          1676        472832      12727791 
     47  10477       tick          1303        468325      12618089 
     48  10477       tick          1432        476261      12769614 
     49  10477       tick          1418        473807      12723374 
     50  10477       tick          1299        472946      12732375 
     51  10477       tick          1311        464824      12698782 
     52  10477       tick          1478        473142      12729718 
     53  10477       tick          1353        473497      12728827 
     54  10477       tick          1360        474414      12721123 
     55  10477       tick          1404        469419      12703012 
     56  10477       tick          1525        472400      12699255 
     57  10477       tick          1351        472246      12736282 
     58  10477       tick          1333        474585      12711612 
     59  10477       tick          1162        472523      12727756 
     60  10477       tick          1676        467878      12679498 
     61  10477       tick          1518        471861      12757238 
     62  10477       tick          1170        474156      12727494 
     63  10477       tick          1611        472327      12729031 
     64  10477       tick          1295        458421      12310854 
     65  10477       tick          1508        483963      13074399 
     66  10477       tick          1358        474113      12710600 
     67  10477       tick          1628        475566      12698304 
     68  10477       tick          1564        472570      12730217 
     69  10477       tick          1373        468257      12707613 
     70  10477       tick          1469        475376      12723909 
     71  10477       tick          1353        472055      12732838 
     72  10477       tick          1215        473958      12744770 
     73  10477       tick          1784        470337      12692629 
     74  10477       tick          1568        473685      12713214 
     75  10477       exit          1238        199966       5382444 
