[Event-to-counter mappings]
pmc1=inmediate_branches_retired
pmc2=instr
pmc3=instr_arch_executed
pmc4=instr_cache_access
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1   5668       tick             0      99182336      99182336      19632142 
      2   5668       tick             0     103805940     103805940      20396545 
      3   5668       tick             0     103861497     103861497      20407485 
      4   5668       tick             0     103936193     103936193      20422254 
      5   5668       tick             0     104032401     104032401      20441096 
      6   5668       tick             0     101282789     101282789      19900761 
      7   5668       tick             0     106553132     106553132      20936699 
      8   5668       tick             0     104043912     104043912      20443512 
      9   5668       tick             0     104070453     104070453      20448721 
     10   5668       tick             0     104045230     104045230      20443746 
     11   5668       tick             0     104046134     104046134      20444009 
     12   5668       tick             0     104101814     104101814      20454800 
     13   5668       tick             0     103595913     103595913      20356283 
     14   5668       tick             0     103978238     103978238      20431135 
     15   5668       tick             0     103874035     103874035      20410047 
     16   5668       tick             0     103876771     103876771      20410983 
     17   5668       tick             0     104046466     104046466      20443813 
     18   5668       tick             0     104007714     104007714      20436338 
     19   5668       tick             0     104056140     104056140      20445850 
     20   5668       tick             0     104099565     104099565      20454379 
     21   5668       tick             0     104041026     104041026      20442861 
     22   5668       tick             0     104112316     104112316      20456667 
     23   5668       tick             0     104019409     104019409      20438652 
     24   5668       tick             0     104000041     104000041      20434760 
     25   5668       tick             0     104060852     104060852      20447006 
     26   5668       tick             0     103914913     103914913      20418312 
     27   5668       tick             0     104046173     104046173      20443956 
     28   5668       tick             0     104066487     104066487      20448001 
     29   5668       tick             0     104088947     104088947      20452342 
     30   5668       tick             0     104035709     104035709      20441871 
     31   5668       tick             0     104005481     104005481      20436085 
     32   5668       tick             0     104079260     104079260      20450455 
     33   5668       tick             0     103666456     103666456      20369816 
     34   5668       tick             0     103944741     103944741      20424224 
     35   5668       tick             0     104014715     104014715      20437809 
     36   5668       tick             0     103956439     103956439      20426709 
     37   5668       tick             0     104071466     104071466      20448709 
     38   5668       tick             0     104081121     104081121      20450649 
     39   5668       tick             0     104072224     104072224      20449068 
     40   5668       tick             0     104102671     104102671      20455094 
     41   5668       tick             0     104072205     104072205      20449029 
     42   5668       tick             0     104086870     104086870      20452020 
     43   5668       tick             0     104003500     104003500      20435432 
     44   5668       tick             0     104047821     104047821      20444081 
     45   5668       tick             0     103973105     103973105      20429679 
     46   5668       tick             0     103972616     103972616      20429780 
     47   5668       tick             0     104034270     104034270      20441603 
     48   5668       tick             0     104090014     104090014      20452411 
     49   5668       tick             0     104049484     104049484      20444563 
     50   5668       tick             0     104009823     104009823      20436875 
     51   5668       tick             0     103969960     103969960      20429147 
     52   5668       tick             0     101799810     101799810      20002572 
     53   5668       tick             0     105769636     105769636      20783709 
     54   5668       tick             0     103997476     103997476      20434391 
     55   5668       tick             0     103912076     103912076      20417753 
     56   5668       tick             0     104009292     104009292      20436685 
     57   5668       tick             0     104019242     104019242      20438586 
     58   5668       tick             0     104015775     104015775      20437886 
     59   5668       tick             0     104080454     104080454      20450605 
     60   5668       tick             0     104080794     104080794      20450688 
     61   5668       tick             0     104069120     104069120      20448278 
     62   5668       tick             0     103965507     103965507      20428062 
     63   5668       tick             0     103971337     103971337      20429546 
     64   5668       tick             0     103820280     103820280      20399634 
     65   5668       tick             0     104144002     104144002      20463141 
     66   5668       tick             0     104002890     104002890      20435503 
     67   5668       tick             0     103995191     103995191      20434041 
     68   5668       tick             0     104025428     104025428      20439781 
     69   5668       tick             0     103991823     103991823      20433239 
     70   5668       tick             0     104068624     104068624      20448345 
     71   5668       exit             0      40739276      40739276       8011865 
