[Event-to-counter mappings]
pmc1=l2_cache_accesses
pmc2=l2_cache_refills
pmc3=l2_cache_writebacks
pmc4=llc_accesses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  15986       tick        330441         15149          2714        330441 
      2  15986       tick         77485           191            52         77485 
      3  15986       tick         78120           273            43         78120 
      4  15986       tick         77814           242            41         77814 
      5  15986       tick         77495           197            33         77495 
      6  15986       tick         77751           227            52         77751 
      7  15986       tick         77536           205            36         77536 
      8  15986       tick         77049           160            35         77049 
      9  15986       tick         78114           348            45         78114 
     10  15986       tick         77694           130            31         77694 
     11  15986       tick         77475           200            32         77475 
     12  15986       tick         77249           220            29         77249 
     13  15986       tick         77269           161            29         77269 
     14  15986       tick         77625           198            33         77625 
     15  15986       tick         77833           211            33         77833 
     16  15986       tick         77131           219            35         77131 
     17  15986       tick         78270           237            40         78270 
     18  15986       tick         77936           210            26         77936 
     19  15986       tick         77305           187            37         77305 
     20  15986       tick         77654           190            29         77654 
     21  15986       tick         77611           146            23         77611 
     22  15986       tick         77962           153            21         77962 
     23  15986       tick         77221           157            29         77221 
     24  15986       tick         77905           164            22         77905 
     25  15986       tick         75958           300            50         75958 
     26  15986       tick         79976           259            43         79976 
     27  15986       tick         75442           141            36         75442 
     28  15986       tick         75579           113            16         75579 
     29  15986       tick         77346           136            31         77346 
     30  15986       tick         78324           189            32         78324 
     31  15986       tick         77824           158            26         77824 
     32  15986       tick         77404           174            37         77404 
     33  15986       tick         77656           190            36         77656 
     34  15986       tick         77682           186            30         77682 
     35  15986       tick         78095           225            33         78095 
     36  15986       tick         77247           173            24         77247 
     37  15986       tick         78490           235            32         78490 
     38  15986       tick         77738           188            30         77738 
     39  15986       tick         78250           182            32         78250 
     40  15986       tick         77529           205            31         77529 
     41  15986       tick         78018           231            36         78018 
     42  15986       tick         78623           167            31         78623 
     43  15986       tick         77995           224            38         77995 
     44  15986       tick         78363           158            18         78363 
     45  15986       tick         77884           144            20         77884 
     46  15986       tick         78167           135            20         78167 
     47  15986       tick         77928           129            28         77928 
     48  15986       tick         77630           175            26         77630 
     49  15986       tick         78160           178            34         78160 
     50  15986       tick         77840           345            42         77840 
     51  15986       tick         77241           182            17         77241 
     52  15986       tick         78065           172            28         78065 
     53  15986       tick         78701           257            43         78701 
     54  15986       tick         78110           168            21         78110 
     55  15986       tick         77725           183            28         77725 
     56  15986       tick         77596           219            25         77596 
     57  15986       tick         78306           204            23         78306 
     58  15986       tick         78161           183            22         78161 
     59  15986       tick         77755           144            27         77755 
     60  15986       tick         78102           285            39         78102 
     61  15986       exit         40649          2361           305         40649 
