[Event-to-counter mappings]
pmc1=l2_cache_accesses
pmc2=l2_cache_refills
pmc3=l2_cache_writebacks
pmc4=llc_accesses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  21000       tick       1863672          6165          2128       1863672 
      2  21000       tick       2577605          2200           748       2577605 
      3  21000       tick       2558567          2183           700       2558567 
      4  21000       tick       2568805          1634           539       2568805 
      5  21000       tick       2575655          1783           566       2575655 
      6  21000       tick       2574328          1672           531       2574328 
      7  21000       tick       2565115          1672           515       2565115 
      8  21000       tick       2568484          1819           677       2568484 
      9  21000       tick       2575788          1705           527       2575788 
     10  21000       tick       2578269          1947           602       2578269 
     11  21000       tick       2562764          1697           532       2562764 
     12  21000       tick       2561233          1933           660       2561233 
     13  21000       tick       2574738          1753           533       2574738 
     14  21000       tick       2569987          1995           587       2569987 
     15  21000       tick       2564849          1617           447       2564849 
     16  21000       tick       2558480          2048           625       2558480 
     17  21000       tick       2580769          1556           426       2580769 
     18  21000       tick       2569085          1645           484       2569085 
     19  21000       tick       2564077          1965           564       2564077 
     20  21000       tick       2566915          1795           556       2566915 
     21  21000       tick       2577956          1920           625       2577956 
     22  21000       tick       2568244          1909           620       2568244 
     23  21000       tick       2562946          1733           499       2562946 
     24  21000       tick       2562529          1607           506       2562529 
     25  21000       tick       2580839          2014           623       2580839 
     26  21000       tick       2563693          1203           300       2563693 
     27  21000       tick       2563018          1384           446       2563018 
     28  21000       tick       2511455          1864           593       2511455 
     29  21000       tick       2636189          2685           842       2636189 
     30  21000       tick       2563154          1724           527       2563154 
     31  21000       tick       2563340          1803           514       2563340 
     32  21000       tick       2571436          1713           508       2571436 
     33  21000       tick       2568241          1674           467       2568241 
     34  21000       tick       2561124          1994           580       2561124 
     35  21000       tick       2559202          2007           588       2559202 
     36  21000       tick       2576139          1707           477       2576139 
     37  21000       tick       2574290          1918           633       2574290 
     38  21000       tick       2562214          1633           485       2562214 
     39  21000       tick       2557603          1649           469       2557603 
     40  21000       tick       2572241          1826           508       2572241 
     41  21000       tick       2575740          1535           491       2575740 
     42  21000       tick       2553431          1985           586       2553431 
     43  21000       tick       2558048          1665           454       2558048 
     44  21000       tick       2573228          1973           630       2573228 
     45  21000       tick       2573408          1632           525       2573408 
     46  21000       tick       2562119          1396           419       2562119 
     47  21000       tick       2567226          1288           401       2567226 
     48  21000       tick       2560956          2133           688       2560956 
     49  21000       tick       2573271          1302           403       2573271 
     50  21000       tick       2563460          2030           658       2563460 
     51  21000       tick       2570230          2100           613       2570230 
     52  21000       tick       2561177          1443           426       2561177 
     53  21000       tick       2574116          1251           330       2574116 
     54  21000       tick       2572166          1489           453       2572166 
     55  21000       tick       2574810          1529           484       2574810 
     56  21000       tick       2571106          1671           513       2571106 
     57  21000       exit       1740463          2088           587       1740463 
