[Event-to-counter mappings]
pmc1=l2_cache_accesses
pmc2=l2_cache_refills
pmc3=l2_cache_writebacks
pmc4=llc_accesses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  12488       tick       2554878       1168186       1120641       2554878 
      2  12488       tick       4316033       2104725       2089160       4316033 
      3  12488       tick       4325067       2107604       2086364       4325067 
      4  12488       tick       4317499       2104524       2088136       4317499 
      5  12488       tick       4323325       2107183       2085270       4323325 
      6  12488       tick       4315902       2103983       2087730       4315902 
      7  12488       tick       4323070       2106402       2087500       4323070 
      8  12488       tick       4317260       2104423       2088205       4317260 
      9  12488       tick       4317602       2104763       2086707       4317602 
     10  12488       tick       4321137       2106106       2087282       4321137 
     11  12488       tick       4312281       2101920       2078731       4312281 
     12  12488       tick       4316186       2104288       2088738       4316186 
     13  12488       tick       4320928       2106314       2087842       4320928 
     14  12488       tick       4318208       2105297       2088662       4318208 
     15  12488       tick       4323986       2107656       2085894       4323986 
     16  12488       tick       4316834       2105114       2081211       4316834 
     17  12488       tick       4312103       2102661       2085386       4312103 
     18  12488       tick       4317007       2104080       2088317       4317007 
     19  12488       tick       4319142       2105233       2086548       4319142 
     20  12488       tick       4322812       2106632       2087466       4322812 
     21  12488       tick       4321477       2106822       2086665       4321477 
     22  12488       exit       1357058        661863        654078       1357058 
