UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,cpu_iio_temp,sensor_cpu_uW,sensor_ina226_CALC_uW
100000,,,,,,,
,1199999,1199999,1199999,1199999,31.645609,1723000,1710499
,1199999,1199999,1199999,1199999,31.443549,1635000,1603728
,1199999,1199999,1199999,1199999,30.915086,1785000,1762419
,1199999,1199999,1199999,1199999,31.505721,1773000,1743462
,1199999,1199999,1199999,1199999,30.681941,1785000,1740911
,1199999,1199999,1199999,1199999,31.785496,1785000,1753038
,1199999,1199999,1199999,1199999,30.915086,1773000,1748146
,1199999,1199999,1199999,1199999,30.915086,1785000,1760624
,1199999,1199999,1199999,1199999,32.049727,1773000,1742617
,1199999,1199999,1199999,1199999,32.096357,1785000,1750192
,1199999,1199999,1199999,1199999,30.464338,1773000,1750891
,1199999,1199999,1199999,1199999,31.070517,1785000,1768503
,1199999,1199999,1199999,1199999,31.272576,1773000,1742296
,1199999,1199999,1199999,1199999,31.567893,1798000,1768346
,1199999,1199999,1199999,1199999,31.132689,1773000,1745149
,1199999,1199999,1199999,1199999,31.987555,1785000,1745846
,1199999,1199999,1199999,1199999,30.137935,1773000,1751911
,1199999,1199999,1199999,1199999,30.402166,1773000,1748152
,1199999,1199999,1199999,1199999,30.868457,1785000,1761757
,1199999,1199999,1199999,1199999,30.868457,1773000,1748152
,1199999,1199999,1199999,1199999,30.666398,1785000,1751549
,1199999,1199999,1199999,1199999,30.153478,1773000,1747721
,1199999,1199999,1199999,1199999,30.417709,1785000,1759925
,1199999,1199999,1199999,1199999,31.661152,1773000,1742699
,1199999,1199999,1199999,1199999,31.272576,1798000,1770364
,1199999,1199999,1199999,1199999,32.749164,1773000,1743616
,1199999,1199999,1199999,1199999,31.972012,1785000,1746621
,1199999,1199999,1199999,1199999,31.396920,1773000,1747759
,1199999,1199999,1199999,1199999,31.723324,1773000,1744425
,1199999,1199999,1199999,1199999,31.179318,1785000,1760488
,1199999,1199999,1199999,1199999,31.552350,1773000,1747179
,1199999,1199999,1199999,1199999,31.241490,1785000,1755401
,1199999,1199999,1199999,1199999,32.158529,1773000,1745856
,1199999,1199999,1199999,1199999,31.583437,1785000,1754985
,1199999,1199999,1199999,1199999,31.303662,1773000,1749205
,1199999,1199999,1199999,1199999,30.728570,1798000,1770028
,1199999,1199999,1199999,1199999,31.086060,1773000,1744664
,1199999,1199999,1199999,1199999,32.080813,1785000,1742925
,1199999,1199999,1199999,1199999,30.884000,1773000,1744576
,1199999,1199999,1199999,1199999,30.231193,1773000,1747508
,1199999,1199999,1199999,1199999,31.086060,1785000,1760327
,1199999,1199999,1199999,1199999,30.339994,1773000,1756460
,1199999,1199999,1199999,1199999,31.521264,1785000,1754859
,1199999,1199999,1199999,1199999,31.194861,1773000,1743583
,1199999,1199999,1199999,1199999,32.049727,1785000,1754637
,1199999,1199999,1199999,1199999,31.023887,1773000,1748381
,1199999,1199999,1199999,1199999,31.738867,1785000,1767144
,1199999,1199999,1199999,1199999,30.775199,1773000,1743569
,1199999,1199999,1199999,1199999,31.832125,1785000,1743447
,1199999,1199999,1199999,1199999,30.899543,1773000,1748869
,1199999,1199999,1199999,1199999,31.086060,1773000,1750539
,1199999,1199999,1199999,1199999,31.863211,1785000,1757930
,1199999,1199999,1199999,1199999,31.319205,1773000,1747422
,1199999,1199999,1199999,1199999,31.505721,1785000,1759113
,1199999,1199999,1199999,1199999,31.661152,1773000,1742127
,1199999,1199999,1199999,1199999,31.505721,1785000,1754441
,1199999,1199999,1199999,1199999,31.132689,1773000,1748949
,1199999,1199999,1199999,1199999,31.459092,1785000,1762581
,1199999,1199999,1199999,1199999,30.681941,1773000,1746113
,1199999,1199999,1199999,1199999,30.510967,1785000,1747157
,1199999,1199999,1199999,1199999,30.790742,1773000,1746636
,1199999,1199999,1199999,1199999,32.267330,1773000,1746198
,1199999,1199999,1199999,1199999,31.583437,1785000,1753698
,1199999,1199999,1199999,1199999,30.961715,1773000,1746837
,1199999,1199999,1199999,1199999,30.697484,1785000,1761269
,1199999,1199999,1199999,1199999,31.210404,1773000,1743457
,1199999,1199999,1199999,1199999,31.194861,1785000,1756572
,1199999,1199999,1199999,1199999,31.956469,1773000,1744091
,1199999,1199999,1199999,1199999,31.365834,1785000,1765194
,1199999,1199999,1199999,1199999,31.008344,1773000,1745856
,1199999,1199999,1199999,1199999,30.852914,1785000,1764252
,1199999,1199999,1199999,1199999,32.189615,1773000,1743164
,1199999,1199999,1199999,1199999,32.267330,1785000,1743945
,1199999,1199999,1199999,1199999,32.500475,1785000,1758109
,1199999,1199999,1199999,1199999,30.806285,1773000,1747623
,1199999,1199999,1199999,1199999,30.821828,1785000,1760624
,1199999,1199999,1199999,1199999,31.334748,1773000,1744101
,1199999,1199999,1199999,1199999,31.272576,1785000,1753480
,1199999,1199999,1199999,1199999,30.775199,1773000,1749221
,1199999,1199999,1199999,1199999,31.972012,1798000,1768161
,1199999,1199999,1199999,1199999,30.137935,1798000,1774035
,1199999,1199999,1199999,1199999,31.443549,1785000,1763411
,1199999,1199999,1199999,1199999,30.479881,1773000,1745635
,1199999,1199999,1199999,1199999,32.997852,1785000,1748019
,1199999,1199999,1199999,1199999,31.350291,1785000,1753580
,1199999,1199999,1199999,1199999,30.821828,1773000,1748341
,1199999,1199999,1199999,1199999,30.619769,1785000,1758883
,1199999,1199999,1199999,1199999,31.505721,1773000,1743942
,1199999,1199999,1199999,1199999,31.909840,1785000,1757254
,1199999,1199999,1199999,1199999,32.422760,1773000,1747819
,1199999,1199999,1199999,1199999,31.443549,1785000,1768009
,1199999,1199999,1199999,1199999,30.604226,1773000,1742377
,1199999,1199999,1199999,1199999,31.443549,1798000,1769494
,1199999,1199999,1199999,1199999,31.940926,1773000,1746979
,1199999,1199999,1199999,1199999,30.930629,1798000,1745124
,1199999,1199999,1199999,1199999,31.257033,1773000,1747667
,1199999,1199999,1199999,1199999,31.785496,1773000,1742265
,1199999,1199999,1199999,1199999,30.977258,1785000,1760239
,1199999,1199999,1199999,1199999,30.697484,1773000,1746329
,1199999,1199999,1199999,1199999,30.744113,1785000,1750994
,1199999,1199999,1199999,1199999,32.453846,1773000,1748959
,1199999,1199999,1199999,1199999,32.376131,1785000,1755743
,1199999,1199999,1199999,1199999,31.598980,1773000,1748582
,1199999,1199999,1199999,1199999,31.567893,1798000,1770178
,1199999,1199999,1199999,1199999,31.194861,1773000,1746609
,1199999,1199999,1199999,1199999,31.521264,1785000,1741792
,1199999,1199999,1199999,1199999,31.878754,1773000,1744519
,1199999,1199999,1199999,1199999,31.847668,1773000,1749070
,1199999,1199999,1199999,1199999,32.142986,1785000,1755600
,1199999,1199999,1199999,1199999,32.516018,1773000,1744654
,1199999,1199999,1199999,1199999,31.583437,1785000,1754209
,1199999,1199999,1199999,1199999,30.775199,1773000,1743116
,1199999,1199999,1199999,1199999,31.381377,1785000,1756630
,1199999,1199999,1199999,1199999,32.345045,1773000,1748003
,1199999,1199999,1199999,1199999,32.422760,1798000,1767671
,1199999,1199999,1199999,1199999,31.583437,1773000,1743149
,1199999,1199999,1199999,1199999,30.293365,1785000,1746626
,1199999,1199999,1199999,1199999,31.738867,1773000,1751867
,1199999,1199999,1199999,1199999,30.992801,1773000,1748841
,1199999,1199999,1199999,1199999,32.376131,1785000,1759779
,1199999,1199999,1199999,1199999,31.645609,1773000,1739955
,1199999,1199999,1199999,1199999,31.272576,1785000,1752579
,1199999,1199999,1199999,1199999,31.459092,1773000,1747325
,1199999,1199999,1199999,1199999,31.956469,1785000,1753136
,1199999,1199999,1199999,1199999,32.205158,1773000,1746769
,1199999,1199999,1199999,1199999,32.718078,1785000,1765453
,1199999,1199999,1199999,1199999,31.101603,1773000,1745671
,1199999,1199999,1199999,1199999,30.806285,1785000,1743988
,1199999,1199999,1199999,1199999,32.935680,1773000,1747649
,1199999,1199999,1199999,1199999,30.837371,1773000,1746681
,1199999,1199999,1199999,1199999,31.847668,1785000,1756334
,1199999,1199999,1199999,1199999,30.977258,1773000,1745500
,1199999,1199999,1199999,1199999,30.542054,1785000,1756766
,1199999,1199999,1199999,1199999,32.003098,1773000,1747651
,1199999,1199999,1199999,1199999,31.630066,1785000,1754443
,1199999,1199999,1199999,1199999,31.163775,1773000,1743106
,1199999,1199999,1199999,1199999,31.521264,1785000,1767859
,1199999,1199999,1199999,1199999,30.946172,1773000,1744805
,1199999,1199999,1199999,1199999,31.194861,1785000,1747811
,1199999,1199999,1199999,1199999,30.526510,1773000,1748209
,1199999,1199999,1199999,1199999,30.510967,1773000,1743472
,1199999,1199999,1199999,1199999,31.163775,1785000,1760267
,1199999,1199999,1199999,1199999,32.391674,1773000,1745460
,1199999,1199999,1199999,1199999,32.018641,1785000,1760108
,1199999,1199999,1199999,1199999,30.884000,1773000,1744004
,1199999,1199999,1199999,1199999,30.930629,1785000,1749815
,1199999,1199999,1199999,1199999,30.852914,1773000,1747863
,1199999,1199999,1199999,1199999,31.365834,1785000,1766532
,1199999,1199999,1199999,1199999,32.018641,1773000,1746911
,1199999,1199999,1199999,1199999,31.474635,1785000,1763085
,1199999,1199999,1199999,1199999,31.396920,1773000,1747623
,1199999,1199999,1199999,1199999,31.676695,1785000,1745358
,1199999,1199999,1199999,1199999,30.324451,1785000,1756066
,1199999,1199999,1199999,1199999,32.220701,1773000,1747161
,1199999,1199999,1199999,1199999,30.790742,1785000,1758322
,1199999,1199999,1199999,1199999,31.303662,1773000,1747674
,1199999,1199999,1199999,1199999,30.992801,1785000,1754523
,1199999,1199999,1199999,1199999,31.428006,1773000,1747038
,1199999,1199999,1199999,1199999,30.681941,1785000,1765524
,1199999,1199999,1199999,1199999,31.443549,1773000,1741093
,1199999,1199999,1199999,1199999,31.769953,1798000,1769430
,1199999,1199999,1199999,1199999,30.961715,1773000,1746807
,1199999,1199999,1199999,1199999,31.179318,1785000,1748118
,1199999,1199999,1199999,1199999,30.339994,1773000,1750823
,1199999,1199999,1199999,1199999,30.044677,1773000,1749195
,1199999,1199999,1199999,1199999,31.412463,1785000,1764104
,1199999,1199999,1199999,1199999,30.852914,1773000,1749986
,1199999,1199999,1199999,1199999,31.863211,1785000,1757052
,1199999,1199999,1199999,1199999,30.650855,1773000,1745645
,1199999,1199999,1199999,1199999,30.930629,1785000,1759067
,1199999,1199999,1199999,1199999,30.557597,1773000,1747384
,1199999,1199999,1199999,1199999,31.365834,1798000,1768841
,1199999,1199999,1199999,1199999,31.241490,1773000,1743313
,1199999,1199999,1199999,1199999,30.697484,1785000,1744312
,1199999,1199999,1199999,1199999,31.241490,1773000,1745277
,1199999,1199999,1199999,1199999,30.650855,1773000,1745579
,1199999,1199999,1199999,1199999,30.231193,1785000,1760751
,1199999,1199999,1199999,1199999,31.381377,1773000,1743661
,1199999,1199999,1199999,1199999,30.821828,1785000,1751222
,1199999,1199999,1199999,1199999,30.666398,1773000,1744951
,1199999,1199999,1199999,1199999,30.992801,1785000,1758441
,1199999,1199999,1199999,1199999,31.521264,1773000,1749221
,1199999,1199999,1199999,1199999,31.163775,1798000,1770347
,1199999,1199999,1199999,1199999,31.956469,1773000,1743719
,1199999,1199999,1199999,1199999,31.847668,1798000,1746976
,1199999,1199999,1199999,1199999,31.288119,1773000,1746682
,1199999,1199999,1199999,1199999,30.806285,1773000,1748003
,1199999,1199999,1199999,1199999,31.148232,1785000,1757537
,1199999,1199999,1199999,1199999,31.459092,1773000,1744443
,1199999,1199999,1199999,1199999,30.977258,1785000,1756431
,1199999,1199999,1199999,1199999,31.832125,1773000,1745359
,1199999,1199999,1199999,1199999,30.821828,1785000,1756235
,1199999,1199999,1199999,1199999,31.428006,1773000,1746821
,1199999,1199999,1199999,1199999,31.132689,1785000,1762484
,1199999,1199999,1199999,1199999,30.650855,1773000,1745020
,1199999,1199999,1199999,1199999,30.790742,1785000,1742306
,1199999,1199999,1199999,1199999,31.598980,1773000,1748643
,1199999,1199999,1199999,1199999,30.946172,1773000,1745846
,1199999,1199999,1199999,1199999,30.215650,1798000,1772993
,1199999,1199999,1199999,1199999,30.650855,1773000,1747715
