UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,cpu_iio_temp,sensor_cpu_uW,sensor_ina226_CALC_uW
100000,,,,,,,
,399999,399999,399999,399999,30.386623,1648000,1637808
,399999,399999,399999,399999,31.443549,1623000,1599868
,399999,399999,399999,399999,31.723324,1598000,1582761
,399999,399999,399999,399999,31.816582,1623000,1591859
,399999,399999,399999,399999,31.272576,1610000,1581496
,399999,399999,399999,399999,31.039430,1623000,1582138
,399999,399999,399999,399999,30.417709,1610000,1589705
,399999,399999,399999,399999,30.635312,1635000,1585402
,399999,399999,399999,399999,30.899543,1636000,1596355
,399999,399999,399999,399999,31.132689,1598000,1593915
,399999,399999,399999,399999,30.697484,1623000,1595062
,399999,399999,399999,399999,31.117146,1598000,1585543
,399999,399999,399999,399999,30.697484,1623000,1595564
,399999,399999,399999,399999,32.049727,1623000,1589472
,399999,399999,399999,399999,31.614523,1623000,1605617
,399999,399999,399999,399999,31.847668,1598000,1579410
,399999,399999,399999,399999,30.884000,1623000,1600272
,399999,399999,399999,399999,30.417709,1623000,1588248
,399999,399999,399999,399999,30.930629,1635000,1576808
,399999,399999,399999,399999,31.583437,1610000,1588713
,399999,399999,399999,399999,30.775199,1610000,1589962
,399999,399999,399999,399999,30.510967,1623000,1591673
,399999,399999,399999,399999,30.417709,1610000,1582611
,399999,399999,399999,399999,31.598980,1610000,1594157
,399999,399999,399999,399999,31.070517,1610000,1579033
,399999,399999,399999,399999,30.899543,1623000,1589675
,399999,399999,399999,399999,31.630066,1598000,1584166
,399999,399999,399999,399999,30.635312,1623000,1595090
,399999,399999,399999,399999,30.448795,1623000,1599084
,399999,399999,399999,399999,31.288119,1635000,1577562
,399999,399999,399999,399999,31.008344,1610000,1586930
,399999,399999,399999,399999,31.956469,1610000,1580591
,399999,399999,399999,399999,30.930629,1623000,1595959
,399999,399999,399999,399999,31.474635,1598000,1575491
,399999,399999,399999,399999,31.070517,1623000,1593499
,399999,399999,399999,399999,30.946172,1610000,1583937
,399999,399999,399999,399999,31.117146,1623000,1599719
,399999,399999,399999,399999,30.946172,1598000,1576409
,399999,399999,399999,399999,31.598980,1636000,1608745
,399999,399999,399999,399999,30.339994,1610000,1587470
,399999,399999,399999,399999,32.018641,1635000,1588518
,399999,399999,399999,399999,30.697484,1623000,1589203
,399999,399999,399999,399999,31.070517,1598000,1578742
,399999,399999,399999,399999,31.521264,1610000,1598739
,399999,399999,399999,399999,31.132689,1598000,1578501
,399999,399999,399999,399999,31.692238,1623000,1597474
,399999,399999,399999,399999,32.391674,1623000,1587152
,399999,399999,399999,399999,30.930629,1623000,1599639
,399999,399999,399999,399999,31.692238,1598000,1581606
,399999,399999,399999,399999,32.313959,1623000,1593555
,399999,399999,399999,399999,32.780250,1610000,1584503
,399999,399999,399999,399999,30.091306,1635000,1580091
,399999,399999,399999,399999,30.681941,1610000,1588813
,399999,399999,399999,399999,31.396920,1598000,1590051
,399999,399999,399999,399999,30.713027,1623000,1587955
,399999,399999,399999,399999,32.034184,1598000,1575886
,399999,399999,399999,399999,31.428006,1636000,1604312
,399999,399999,399999,399999,31.272576,1610000,1579206
,399999,399999,399999,399999,31.179318,1623000,1592360
,399999,399999,399999,399999,31.117146,1610000,1582947
,399999,399999,399999,399999,30.200107,1623000,1597680
,399999,399999,399999,399999,30.806285,1598000,1583806
,399999,399999,399999,399999,31.241490,1648000,1594266
,399999,399999,399999,399999,29.873703,1623000,1585359
,399999,399999,399999,399999,31.101603,1635000,1583953
,399999,399999,399999,399999,30.775199,1598000,1585498
,399999,399999,399999,399999,31.008344,1623000,1590521
,399999,399999,399999,399999,32.391674,1610000,1590372
,399999,399999,399999,399999,31.567893,1598000,1576007
,399999,399999,399999,399999,30.868457,1623000,1591986
,399999,399999,399999,399999,31.132689,1598000,1575491
,399999,399999,399999,399999,31.474635,1623000,1602602
,399999,399999,399999,399999,32.142986,1610000,1583796
,399999,399999,399999,399999,32.391674,1635000,1576552
,399999,399999,399999,399999,31.909840,1610000,1588991
,399999,399999,399999,399999,30.479881,1635000,1576082
,399999,399999,399999,399999,30.992801,1610000,1582124
,399999,399999,399999,399999,30.884000,1610000,1582216
,399999,399999,399999,399999,31.940926,1623000,1589502
,399999,399999,399999,399999,30.604226,1610000,1586626
,399999,399999,399999,399999,31.521264,1636000,1613710
,399999,399999,399999,399999,30.557597,1610000,1577429
,399999,399999,399999,399999,30.526510,1623000,1606717
,399999,399999,399999,399999,30.184564,1598000,1579765
,399999,399999,399999,399999,31.707781,1623000,1596709
,399999,399999,399999,399999,31.863211,1610000,1585470
,399999,399999,399999,399999,30.666398,1635000,1583749
,399999,399999,399999,399999,31.257033,1610000,1581392
,399999,399999,399999,399999,30.262279,1610000,1581563
,399999,399999,399999,399999,31.490178,1610000,1587995
,399999,399999,399999,399999,29.749359,1623000,1588584
,399999,399999,399999,399999,30.884000,1636000,1609384
,399999,399999,399999,399999,31.365834,1598000,1572522
,399999,399999,399999,399999,30.417709,1623000,1593741
,399999,399999,399999,399999,31.272576,1610000,1587694
,399999,399999,399999,399999,32.422760,1635000,1596560
,399999,399999,399999,399999,32.096357,1610000,1584460
,399999,399999,399999,399999,31.319205,1623000,1575160
,399999,399999,399999,399999,31.163775,1610000,1584104
,399999,399999,399999,399999,31.086060,1610000,1578899
,399999,399999,399999,399999,30.542054,1623000,1600504
,399999,399999,399999,399999,31.536807,1598000,1578580
,399999,399999,399999,399999,31.661152,1623000,1595250
,399999,399999,399999,399999,31.940926,1610000,1582836
,399999,399999,399999,399999,30.681941,1623000,1594446
,399999,399999,399999,399999,30.137935,1623000,1595981
,399999,399999,399999,399999,32.593733,1623000,1593196
,399999,399999,399999,399999,31.552350,1598000,1585488
,399999,399999,399999,399999,30.231193,1635000,1582529
,399999,399999,399999,399999,31.023887,1610000,1584104
,399999,399999,399999,399999,31.334748,1598000,1575732
,399999,399999,399999,399999,31.272576,1610000,1583168
,399999,399999,399999,399999,31.288119,1610000,1584422
,399999,399999,399999,399999,31.272576,1623000,1594037
,399999,399999,399999,399999,32.453846,1611000,1585293
,399999,399999,399999,399999,31.272576,1623000,1591809
,399999,399999,399999,399999,30.790742,1610000,1579991
,399999,399999,399999,399999,30.728570,1623000,1592706
,399999,399999,399999,399999,31.117146,1623000,1583806
,399999,399999,399999,399999,30.961715,1648000,1583245
,399999,399999,399999,399999,31.630066,1610000,1589935
,399999,399999,399999,399999,31.365834,1598000,1592445
,399999,399999,399999,399999,31.272576,1623000,1591630
,399999,399999,399999,399999,31.225947,1610000,1585166
,399999,399999,399999,399999,31.412463,1623000,1594015
,399999,399999,399999,399999,31.257033,1598000,1573708
,399999,399999,399999,399999,31.101603,1623000,1591496
,399999,399999,399999,399999,30.946172,1598000,1577995
,399999,399999,399999,399999,31.334748,1623000,1596128
,399999,399999,399999,399999,30.744113,1636000,1595505
,399999,399999,399999,399999,31.490178,1635000,1578403
,399999,399999,399999,399999,31.987555,1610000,1589701
,399999,399999,399999,399999,31.194861,1635000,1575710
,399999,399999,399999,399999,30.650855,1610000,1581571
,399999,399999,399999,399999,31.008344,1598000,1578770
,399999,399999,399999,399999,29.795988,1623000,1604102
,399999,399999,399999,399999,31.630066,1610000,1578255
,399999,399999,399999,399999,31.396920,1623000,1592502
,399999,399999,399999,399999,29.360783,1585000,1575588
,399999,399999,399999,399999,31.241490,1623000,1590481
,399999,399999,399999,399999,31.272576,1610000,1583162
,399999,399999,399999,399999,29.749359,1623000,1584714
,399999,399999,399999,399999,31.365834,1598000,1589481
,399999,399999,399999,399999,31.396920,1635000,1584720
,399999,399999,399999,399999,29.827074,1636000,1597461
,399999,399999,399999,399999,30.060220,1610000,1579261
,399999,399999,399999,399999,30.495424,1623000,1592900
,399999,399999,399999,399999,32.174072,1610000,1578270
,399999,399999,399999,399999,31.257033,1623000,1592594
,399999,399999,399999,399999,30.821828,1610000,1582211
,399999,399999,399999,399999,31.459092,1623000,1588021
,399999,399999,399999,399999,30.169021,1610000,1584657
,399999,399999,399999,399999,30.371080,1623000,1595873
