UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,cpu_iio_temp,sensor_cpu_uW,sensor_ina226_CALC_uW
100000,,,,,,,
,1199999,1199999,1199999,1199999,27.635507,1823000,1608088
,1199999,1199999,1199999,1199999,27.790937,1685000,1672858
,1199999,1199999,1199999,1199999,28.241685,2060000,2028638
,1199999,1199999,1199999,1199999,27.790937,2073000,2037698
,1199999,1199999,1199999,1199999,28.288314,2060000,2027717
,1199999,1199999,1199999,1199999,28.210599,2073000,2044590
,1199999,1199999,1199999,1199999,28.910035,2060000,2033970
,1199999,1199999,1199999,1199999,28.521460,2073000,2041929
,1199999,1199999,1199999,1199999,27.588878,2060000,2031299
,1199999,1199999,1199999,1199999,27.853109,2073000,2045129
,1199999,1199999,1199999,1199999,28.739062,2060000,2031665
,1199999,1199999,1199999,1199999,28.707976,2085000,2052302
,1199999,1199999,1199999,1199999,28.785691,2060000,2031429
,1199999,1199999,1199999,1199999,29.314154,2073000,2029582
,1199999,1199999,1199999,1199999,27.790937,2073000,2038272
,1199999,1199999,1199999,1199999,28.723519,2060000,2029637
,1199999,1199999,1199999,1199999,27.899738,2073000,2048422
,1199999,1199999,1199999,1199999,28.210599,2060000,2033463
,1199999,1199999,1199999,1199999,29.065466,2073000,2039277
,1199999,1199999,1199999,1199999,28.272771,2060000,2031760
,1199999,1199999,1199999,1199999,27.091501,2085000,2048202
,1199999,1199999,1199999,1199999,27.573335,2060000,2031176
,1199999,1199999,1199999,1199999,28.614718,2085000,2054554
,1199999,1199999,1199999,1199999,29.329697,2060000,2027902
,1199999,1199999,1199999,1199999,28.630261,2073000,2031337
,1199999,1199999,1199999,1199999,27.713222,2060000,2029153
,1199999,1199999,1199999,1199999,27.682136,2060000,2028214
,1199999,1199999,1199999,1199999,28.272771,2073000,2042700
,1199999,1199999,1199999,1199999,28.132884,2060000,2025702
,1199999,1199999,1199999,1199999,28.645804,2073000,2043255
,1199999,1199999,1199999,1199999,28.397115,2060000,2031940
,1199999,1199999,1199999,1199999,29.003294,2073000,2043318
,1199999,1199999,1199999,1199999,28.925578,2060000,2030015
,1199999,1199999,1199999,1199999,28.614718,2085000,2052924
,1199999,1199999,1199999,1199999,28.894492,2060000,2037896
,1199999,1199999,1199999,1199999,29.189810,2073000,2031354
,1199999,1199999,1199999,1199999,28.086255,2060000,2029738
,1199999,1199999,1199999,1199999,27.775394,2060000,2027912
,1199999,1199999,1199999,1199999,27.262474,2073000,2041260
,1199999,1199999,1199999,1199999,26.998243,2060000,2036342
,1199999,1199999,1199999,1199999,29.360783,2073000,2041741
,1199999,1199999,1199999,1199999,29.764902,2060000,2032013
,1199999,1199999,1199999,1199999,27.837566,2073000,2038239
,1199999,1199999,1199999,1199999,27.309103,2060000,2030964
,1199999,1199999,1199999,1199999,27.573335,2073000,2051230
,1199999,1199999,1199999,1199999,27.946368,2060000,2033821
,1199999,1199999,1199999,1199999,28.847863,2085000,2033875
,1199999,1199999,1199999,1199999,27.977454,2060000,2029566
,1199999,1199999,1199999,1199999,28.832320,2060000,2032026
,1199999,1199999,1199999,1199999,28.505917,2073000,2038984
,1199999,1199999,1199999,1199999,27.961911,2060000,2033544
,1199999,1199999,1199999,1199999,28.661347,2073000,2042662
,1199999,1199999,1199999,1199999,30.029134,2060000,2030099
,1199999,1199999,1199999,1199999,28.661347,2073000,2039672
,1199999,1199999,1199999,1199999,29.081009,2060000,2033496
,1199999,1199999,1199999,1199999,27.573335,2073000,2046498
,1199999,1199999,1199999,1199999,27.946368,2060000,2028972
,1199999,1199999,1199999,1199999,28.878949,2085000,2052364
,1199999,1199999,1199999,1199999,27.775394,2060000,2035516
,1199999,1199999,1199999,1199999,28.505917,2073000,2032709
,1199999,1199999,1199999,1199999,28.055169,2073000,2033964
,1199999,1199999,1199999,1199999,28.195056,2060000,2031549
,1199999,1199999,1199999,1199999,27.744308,2073000,2040675
,1199999,1199999,1199999,1199999,29.251982,2060000,2034004
,1199999,1199999,1199999,1199999,29.873703,2073000,2040206
,1199999,1199999,1199999,1199999,28.925578,2060000,2028924
,1199999,1199999,1199999,1199999,28.070712,2073000,2042667
,1199999,1199999,1199999,1199999,28.583632,2060000,2026032
,1199999,1199999,1199999,1199999,28.583632,2085000,2056821
,1199999,1199999,1199999,1199999,27.853109,2060000,2033177
,1199999,1199999,1199999,1199999,28.490374,2073000,2031810
,1199999,1199999,1199999,1199999,28.832320,2060000,2029556
,1199999,1199999,1199999,1199999,28.397115,2060000,2031947
,1199999,1199999,1199999,1199999,28.257228,2073000,2042006
,1199999,1199999,1199999,1199999,28.195056,2060000,2037200
,1199999,1199999,1199999,1199999,28.645804,2073000,2038854
,1199999,1199999,1199999,1199999,28.832320,2060000,2029351
,1199999,1199999,1199999,1199999,27.822023,2073000,2038176
,1199999,1199999,1199999,1199999,27.417905,2060000,2030389
,1199999,1199999,1199999,1199999,27.713222,2085000,2049409
,1199999,1199999,1199999,1199999,28.288314,2085000,2059775
,1199999,1199999,1199999,1199999,28.816777,2073000,2025881
,1199999,1199999,1199999,1199999,28.195056,2060000,2035042
,1199999,1199999,1199999,1199999,28.894492,2060000,2032507
,1199999,1199999,1199999,1199999,28.537003,2073000,2040647
,1199999,1199999,1199999,1199999,28.987751,2060000,2031851
,1199999,1199999,1199999,1199999,28.210599,2073000,2039143
,1199999,1199999,1199999,1199999,28.381572,2060000,2033696
,1199999,1199999,1199999,1199999,28.288314,2073000,2039287
,1199999,1199999,1199999,1199999,29.018837,2060000,2030120
,1199999,1199999,1199999,1199999,28.521460,2073000,2049723
,1199999,1199999,1199999,1199999,27.977454,2060000,2030392
,1199999,1199999,1199999,1199999,28.008540,2085000,2050127
,1199999,1199999,1199999,1199999,28.101798,2060000,2036706
,1199999,1199999,1199999,1199999,28.272771,2073000,2030273
,1199999,1199999,1199999,1199999,29.220896,2073000,2040144
,1199999,1199999,1199999,1199999,28.101798,2060000,2028928
,1199999,1199999,1199999,1199999,28.583632,2073000,2051056
,1199999,1199999,1199999,1199999,28.101798,2060000,2033683
,1199999,1199999,1199999,1199999,28.490374,2073000,2040330
,1199999,1199999,1199999,1199999,29.236439,2060000,2029670
,1199999,1199999,1199999,1199999,28.505917,2073000,2048059
,1199999,1199999,1199999,1199999,27.511163,2060000,2031312
,1199999,1199999,1199999,1199999,28.474831,2085000,2053100
,1199999,1199999,1199999,1199999,29.469584,2060000,2031833
,1199999,1199999,1199999,1199999,28.863406,2073000,2027728
,1199999,1199999,1199999,1199999,28.288314,2060000,2036847
,1199999,1199999,1199999,1199999,28.257228,2060000,2030891
,1199999,1199999,1199999,1199999,27.790937,2073000,2043306
,1199999,1199999,1199999,1199999,28.568089,2060000,2034341
,1199999,1199999,1199999,1199999,29.205353,2073000,2037487
,1199999,1199999,1199999,1199999,28.381572,2060000,2035333
,1199999,1199999,1199999,1199999,28.847863,2073000,2039119
,1199999,1199999,1199999,1199999,28.226142,2060000,2030629
