UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,cpu_iio_temp,sensor_cpu_uW,sensor_ina226_CALC_uW
100000,,,,,,,
,299999,299999,299999,299999,27.837566,1748000,1733708
,299999,299999,299999,299999,27.961911,1710000,1699476
,299999,299999,299999,299999,27.293560,1735000,1722620
,299999,299999,299999,299999,27.075958,1723000,1708483
,299999,299999,299999,299999,27.619964,1735000,1719268
,299999,299999,299999,299999,28.132884,1723000,1709027
,299999,299999,299999,299999,27.184759,1735000,1694852
,299999,299999,299999,299999,27.153673,1723000,1713855
,299999,299999,299999,299999,27.029329,1735000,1707258
,299999,299999,299999,299999,27.417905,1723000,1712799
,299999,299999,299999,299999,27.231388,1710000,1701038
,299999,299999,299999,299999,28.832320,1723000,1711560
,299999,299999,299999,299999,28.490374,1710000,1695024
,299999,299999,299999,299999,27.262474,1735000,1718397
,299999,299999,299999,299999,27.448991,1723000,1710999
,299999,299999,299999,299999,28.412658,1735000,1715885
,299999,299999,299999,299999,28.288314,1723000,1708379
,299999,299999,299999,299999,28.894492,1735000,1701768
,299999,299999,299999,299999,28.179513,1723000,1702251
,299999,299999,299999,299999,27.822023,1735000,1701487
,299999,299999,299999,299999,26.469780,1723000,1716508
,299999,299999,299999,299999,28.039626,1710000,1699243
,299999,299999,299999,299999,28.428201,1723000,1712232
,299999,299999,299999,299999,27.153673,1710000,1695871
,299999,299999,299999,299999,27.448991,1735000,1714356
,299999,299999,299999,299999,26.671839,1723000,1705229
,299999,299999,299999,299999,27.495620,1735000,1722187
,299999,299999,299999,299999,27.853109,1723000,1712530
,299999,299999,299999,299999,28.397115,1735000,1718188
,299999,299999,299999,299999,27.588878,1723000,1705152
,299999,299999,299999,299999,27.666593,1735000,1700601
,299999,299999,299999,299999,27.526706,1723000,1714965
,299999,299999,299999,299999,27.806480,1710000,1699047
,299999,299999,299999,299999,27.775394,1723000,1709714
,299999,299999,299999,299999,28.739062,1710000,1698363
,299999,299999,299999,299999,28.459288,1723000,1711864
,299999,299999,299999,299999,27.822023,1723000,1706118
,299999,299999,299999,299999,27.775394,1735000,1725249
,299999,299999,299999,299999,27.790937,1723000,1706071
,299999,299999,299999,299999,28.303857,1735000,1721546
,299999,299999,299999,299999,28.847863,1723000,1706925
,299999,299999,299999,299999,27.153673,1735000,1696829
,299999,299999,299999,299999,27.697679,1723000,1715978
,299999,299999,299999,299999,27.324646,1710000,1703773
,299999,299999,299999,299999,27.744308,1723000,1715186
,299999,299999,299999,299999,27.480077,1710000,1703478
,299999,299999,299999,299999,27.992997,1723000,1709995
,299999,299999,299999,299999,27.915281,1710000,1699650
,299999,299999,299999,299999,27.759851,1735000,1713338
,299999,299999,299999,299999,27.091501,1723000,1708974
,299999,299999,299999,299999,26.547495,1735000,1723720
,299999,299999,299999,299999,27.573335,1723000,1708475
,299999,299999,299999,299999,28.723519,1735000,1699075
,299999,299999,299999,299999,28.474831,1723000,1710469
,299999,299999,299999,299999,25.972403,1735000,1699372
,299999,299999,299999,299999,27.619964,1723000,1713931
,299999,299999,299999,299999,26.811726,1710000,1704276
,299999,299999,299999,299999,27.837566,1723000,1712990
,299999,299999,299999,299999,28.381572,1710000,1696174
,299999,299999,299999,299999,27.713222,1723000,1708456
,299999,299999,299999,299999,28.350486,1723000,1710074
,299999,299999,299999,299999,27.604421,1735000,1716025
,299999,299999,299999,299999,27.992997,1723000,1708124
,299999,299999,299999,299999,27.184759,1735000,1718584
,299999,299999,299999,299999,29.205353,1723000,1704747
,299999,299999,299999,299999,28.272771,1735000,1702465
,299999,299999,299999,299999,27.448991,1723000,1717132
,299999,299999,299999,299999,27.806480,1710000,1698095
,299999,299999,299999,299999,28.086255,1723000,1708799
,299999,299999,299999,299999,27.262474,1723000,1701751
,299999,299999,299999,299999,27.853109,1723000,1710593
,299999,299999,299999,299999,27.278017,1723000,1706295
,299999,299999,299999,299999,27.853109,1735000,1720947
,299999,299999,299999,299999,28.148427,1723000,1711159
,299999,299999,299999,299999,27.790937,1735000,1717072
,299999,299999,299999,299999,27.480077,1723000,1701952
,299999,299999,299999,299999,29.593929,1735000,1698328
,299999,299999,299999,299999,28.241685,1723000,1713000
,299999,299999,299999,299999,27.588878,1710000,1699622
,299999,299999,299999,299999,27.790937,1723000,1718566
,299999,299999,299999,299999,27.495620,1710000,1702200
,299999,299999,299999,299999,28.490374,1723000,1709979
,299999,299999,299999,299999,27.231388,1723000,1700053
,299999,299999,299999,299999,29.065466,1735000,1715332
,299999,299999,299999,299999,27.293560,1736000,1713364
,299999,299999,299999,299999,27.448991,1735000,1724379
,299999,299999,299999,299999,26.687382,1723000,1702709
,299999,299999,299999,299999,27.651050,1735000,1695621
