howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min
1,big,cachekiller,200000,122610.0,123525.0,123525.0,134505.0,121799.03289473684,38472.0,3.97,3.97,3.97,4.0,3.97,3.94,0.6338477913783929,915000.0,915000.0,915000.0,916250.0,914983.552631579,913750.0
1,big,cachekiller,300000,163427.0,164340.0,164700.0,176209.0,163001.14254385966,68625.0,3.0425,3.055,3.06,3.07,3.0516666666666663,3.03,0.4872272485364555,913750.0,913750.0,915000.0,915000.0,914232.4561403508,913750.0
1,big,cachekiller,400000,199947.0,201300.0,201773.0,220033.0,200135.43859649124,57708.0,2.63,2.63,2.645,2.65,2.635,2.62,0.4207025013304949,913750.0,915000.0,915000.0,916250.0,914457.2368421052,913750.0
1,big,cachekiller,500000,233728.0,234641.0,235554.0,360240.0,233924.8355263158,146400.0,2.4325,2.44,2.44,2.44,2.4366666666666665,2.43,0.3890367216604577,913750.0,913750.0,913750.0,915000.0,913695.1754385964,912500.0
1,big,cachekiller,600000,262656.0,263568.0,264480.0,284544.0,261563.2083333333,60390.0,2.3,2.3,2.3,2.3,2.3000000000000003,2.3,0.3672166045769027,912500.0,912500.0,912500.0,915000.0,912667.2149122808,912500.0
1,big,cachekiller,700000,292752.0,293664.0,294576.0,304608.0,292314.90789473685,158862.0,2.2325,2.24,2.24,2.24,2.236666666666667,2.23,0.3571048430015967,912500.0,912500.0,912500.0,913750.0,912532.894736842,911250.0
1,big,cachekiller,800000,331357.0,332280.0,333203.0,364450.0,331668.06359649124,229400.0,2.2,2.2,2.2,2.21,2.2016666666666667,2.2,0.3515167642362959,923750.0,925000.0,925000.0,926250.0,924643.6403508772,923750.0
1,big,cachekiller,900000,382588.0,383940.0,384921.5,490782.0,384463.5679824561,242250.0,2.19,2.19,2.19,2.19,2.19,2.19,0.349654071314529,947500.0,948750.0,948750.0,950000.0,947757.6754385964,938750.0
1,big,cachekiller,1000000,428090.0,429052.0,430014.0,444444.0,428009.7938596491,201056.0,2.1725,2.18,2.18,2.18,2.1766666666666663,2.17,0.3475252794039382,962500.0,962500.0,962500.0,976250.0,962650.7675438595,962500.0
1,big,cachekiller,1100000,486096.0,487578.0,489552.0,528580.0,486400.475877193,224550.0,2.18,2.18,2.18,2.18,2.18,2.18,0.348057477381586,987500.0,987500.0,988750.0,998750.0,987987.9385964912,987500.0
1,big,cachekiller,1200000,551540.0,553098.0,555124.0,590579.0,553260.6030701754,436293.0,2.17,2.17,2.1775,2.18,2.1733333333333333,2.17,0.3469930814262906,1013750.0,1013750.0,1013750.0,1018750.0,1013618.4210526316,1012500.0
1,big,cachekiller,1300000,623838.0,625914.0,627990.0,670548.0,624791.8355263158,378652.0,2.1425,2.15,2.15,2.15,2.146666666666667,2.14,0.3427354976051092,1038750.0,1038750.0,1038750.0,1046250.0,1038791.1184210526,1037500.0
1,big,cachekiller,1400000,696265.0,699454.0,701580.0,1011634.0,699245.7478070175,428000.0,2.14,2.145,2.15,2.15,2.145,2.14,0.3424693986162853,1063750.0,1063750.0,1063750.0,1070000.0,1063999.451754386,1062500.0
1,big,cachekiller,1500000,777920.0,779350.0,781530.0,828400.0,779191.1535087719,550872.0,2.1425,2.15,2.15,2.15,2.146666666666667,2.14,0.3427354976051092,1088750.0,1088750.0,1090000.0,1093750.0,1089128.2894736845,1088750.0
1,big,cachekiller,1600000,892584.0,894838.0,898219.0,964712.0,894152.004385965,551771.0,2.14,2.14,2.14,2.14,2.14,2.14,0.3416711016498138,1127500.0,1127500.0,1127500.0,1133750.0,1127552.0833333333,1126250.0
1,big,cachekiller,1700000,1024914.0,1027530.0,1030744.0,1077384.0,1025009.0416666666,615536.0,2.15,2.15,2.15,2.15,2.148,2.14,0.3429483767961682,1166250.0,1166250.0,1166250.0,1171250.0,1165997.8070175438,1165000.0
1,big,cachekiller,1800000,1166609.25,1169316.0,1172925.0,1255932.0,1168630.6973684211,765108.0,2.22,2.23,2.23,2.23,2.226,2.22,0.355401809473124,1203750.0,1203750.0,1203750.0,1205000.0,1203769.1885964912,1203750.0
1,big,cachekiller,1900000,1358252.0,1363264.0,1368276.0,1468516.0,1354831.75877193,346527.0,2.2,2.22,2.22,2.22,2.2120000000000006,2.2,0.3531665779670038,1253750.0,1253750.0,1253750.0,1255000.0,1254018.6403508773,1250000.0
1,big,cachekiller,2000000,1629208.0,1637031.0,1642299.0,1808296.0,1627036.3684210526,468741.0,2.18,2.18,2.18,2.18,2.176,2.16,0.3474188398084087,1317500.0,1317500.0,1317500.0,1318750.0,1317357.4561403508,1313750.0
