howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min
1,big,encrypt,200000,102480.0,103395.0,104310.0,124440.0,103242.48245614037,39345.0,21.7025,21.71,21.7175,21.76,21.71666666666667,21.7,0.6105618293425801,915000.0,915000.0,915000.0,915000.0,914956.1403508772,913750.0
1,big,encrypt,300000,146400.0,147315.0,148230.0,255640.0,147790.79385964913,94245.0,14.35,14.365,14.3875,14.41,14.37,14.34,0.4040110585258422,915000.0,915000.0,915000.0,915000.0,914794.4078947369,913750.0
1,big,encrypt,400000,188991.0,189904.0,191235.0,216381.0,189803.3245614035,82350.0,10.72,10.725,10.73,10.76,10.726666666666668,10.7,0.3015791200037487,913750.0,913750.0,913750.0,915000.0,913873.355263158,913750.0
1,big,encrypt,500000,230989.0,231902.0,232815.0,318288.0,231540.75877192983,119865.0,8.5525,8.56,8.5675,8.6,8.565,8.55,0.2408040860315823,913750.0,913750.0,913750.0,915000.0,913678.7280701754,912500.0
1,big,encrypt,600000,273600.0,275122.0,277248.0,305185.0,274863.0504385965,145167.0,7.1225000000000005,7.13,7.13,7.17,7.131666666666667,7.11,0.2005060681317651,912500.0,912500.0,912500.0,913750.0,912266.995614035,911250.0
1,big,encrypt,700000,315552.0,317028.0,319200.0,339803.0,317122.49342105264,85095.0,6.092499999999999,6.1,6.1075,6.14,6.105,6.09,0.1716414413570123,912500.0,912500.0,912500.0,915000.0,912239.5833333334,911250.0
1,big,encrypt,800000,368277.0,370000.0,371969.0,526240.0,369735.03728070174,131492.0,5.34,5.34,5.34,5.37,5.343333333333334,5.33,0.1502272620776908,923750.0,923750.0,923750.0,927500.0,923903.5087719298,920000.0
1,big,encrypt,900000,424461.0,426335.0,428209.0,607176.0,425211.25,92344.0,4.75,4.75,4.7575,4.78,4.755,4.74,0.1336863314746263,937500.0,937500.0,937500.0,952500.0,937974.2324561405,936250.0
1,big,encrypt,1000000,496392.0,497871.0,500240.0,537354.0,497330.8728070175,219375.0,4.27,4.275,4.28,4.3,4.278333333333333,4.27,0.1202848976149196,962500.0,963750.0,963750.0,975000.0,963251.096491228,962500.0
1,big,encrypt,1100000,575421.0,577395.0,579956.0,620823.0,575006.3333333334,118118.0,3.88,3.885,3.89,3.92,3.89,3.88,0.10936694625369,987500.0,988750.0,988750.0,1002500.0,988538.9254385964,987500.0
1,big,encrypt,1200000,662502.0,665541.0,671619.0,723282.0,663861.1118421053,165347.0,3.57,3.57,3.57,3.6,3.5733333333333337,3.56,0.1004638957874514,1013750.0,1013750.0,1013750.0,1027500.0,1013870.6140350878,1012500.0
1,big,encrypt,1300000,756702.0,759816.0,762930.0,787280.0,757331.5219298246,170262.0,3.29,3.29,3.2975,3.32,3.2966666666666664,3.29,0.0926854411695796,1038750.0,1038750.0,1040000.0,1051250.0,1039281.798245614,1038750.0
1,big,encrypt,1400000,858390.0,861585.0,865845.0,939330.0,858518.2675438597,248556.0,3.06,3.06,3.075,3.09,3.068333333333334,3.06,0.0862658732018181,1065000.0,1065000.0,1065000.0,1076250.0,1064994.5175438595,1063750.0
1,big,encrypt,1500000,967920.0,972280.0,978002.5,1256832.0,970761.4846491228,275598.0,2.86,2.86,2.8675,2.89,2.8666666666666667,2.86,0.0805960357996345,1090000.0,1090000.0,1090000.0,1098750.0,1090084.9780701755,1090000.0
1,big,encrypt,1600000,1117984.0,1122492.0,1128127.0,1159683.0,1119620.2105263155,227600.0,2.6825,2.69,2.69,2.71,2.69,2.68,0.0756290708026802,1127500.0,1127500.0,1128750.0,1138750.0,1127908.4429824562,1127500.0
1,big,encrypt,1700000,1287201.0,1291928.0,1302422.0,1395732.0,1290131.298245614,326709.0,2.53,2.53,2.53,2.56,2.536,2.53,0.0712993767864673,1166250.0,1167500.0,1167500.0,1171250.0,1166896.929824561,1166250.0
1,big,encrypt,1800000,1467366.25,1473715.0,1480945.0,1947690.0,1470503.6184210526,454662.0,2.39,2.39,2.39,2.42,2.3960000000000004,2.39,0.0673632913171829,1205000.0,1205000.0,1205000.0,1206250.0,1204936.951754386,1203750.0
1,big,encrypt,1900000,1730768.0,1740750.5,1750864.0,1847576.0,1731344.9978070175,415332.0,2.27,2.27,2.27,2.3,2.274,2.26,0.0639332739796635,1255000.0,1256250.0,1256250.0,1256250.0,1255896.3815789474,1251250.0
1,big,encrypt,2000000,2081122.0,2092984.0,2103528.0,2549530.0,2087504.4846491227,568529.0,2.15,2.16,2.16,2.19,2.162,2.15,0.0607844056042359,1318750.0,1320000.0,1320000.0,1321250.0,1319416.1184210526,1313750.0
