howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min
1,little,hash,200000,20174.0,20174.0,20196.0,21114.0,20286.173245614034,10098.0,37.585,37.6,37.6225,37.79,37.63,37.58,1.0,917500.0,917500.0,918750.0,918750.0,917930.3728070176,917500.0
1,little,hash,300000,29344.0,29344.0,29344.0,30261.0,29223.45394736842,13755.0,24.9925,25.0,25.0075,25.13,25.02,24.99,0.6648950305607227,917500.0,917500.0,917500.0,918750.0,917505.4824561405,916250.0
1,little,hash,400000,37597.0,37597.0,37597.0,39431.0,37571.929824561405,14688.0,18.71,18.71,18.7175,18.82,18.730000000000004,18.71,0.4977411639649217,917500.0,917500.0,917500.0,918750.0,917535.6359649122,917500.0
1,little,hash,500000,46767.0,46767.0,46767.0,46818.0,46374.69956140351,17423.0,14.97,14.97,14.9775,15.05,14.985,14.97,0.3982195057135264,917500.0,917500.0,917500.0,918750.0,917743.9692982456,917500.0
1,little,hash,600000,60039.0,60039.0,60165.0,60165.0,59745.771929824565,21965.0,12.4925,12.5,12.5075,12.56,12.506666666666668,12.48,0.3323589334750642,953750.0,953750.0,955000.0,955000.0,954122.8070175438,953750.0
1,little,hash,700000,75316.0,75316.0,75316.0,77298.0,75035.48464912281,27748.0,10.7125,10.72,10.7275,10.78,10.728333333333332,10.71,0.2851005403490123,991250.0,991250.0,991250.0,991250.0,991247.2587719298,990000.0
1,little,hash,800000,91403.0,91492.0,91492.0,92520.0,90975.5701754386,32896.0,9.39,9.395,9.4,9.44,9.401666666666667,9.39,0.2498449818407299,1027500.0,1028750.0,1028750.0,1028750.0,1028146.9298245612,1027500.0
1,little,hash,900000,110760.0,111825.0,111825.0,112890.0,110631.92105263156,39442.0,8.37,8.37,8.37,8.41,8.376666666666665,8.37,0.2226060767118433,1065000.0,1065000.0,1065000.0,1066250.0,1065010.964912281,1065000.0
1,little,hash,1000000,133221.0,133221.0,133221.0,137625.0,131927.36842105264,47429.0,7.54,7.545,7.557499999999999,7.59,7.553333333333334,7.54,0.2007263708034369,1101250.0,1101250.0,1101250.0,1103750.0,1101472.0394736845,1101250.0
1,little,hash,1100000,155906.0,155906.0,157044.0,158182.0,155443.20394736843,55860.0,6.8725000000000005,6.88,6.88,6.91,6.881666666666667,6.87,0.1828771370360528,1138750.0,1138750.0,1138750.0,1140000.0,1138692.4342105263,1137500.0
1,little,hash,1200000,182125.0,182125.0,182280.0,189175.0,181158.85307017545,65912.0,6.3125,6.32,6.327500000000001,6.36,6.325,6.31,0.1680839755514217,1175000.0,1175000.0,1175000.0,1177500.0,1175282.346491228,1175000.0
1,little,hash,1300000,216471.0,216471.0,216471.0,218050.0,215009.22368421053,77238.0,5.842499999999999,5.85,5.8575,5.88,5.853333333333333,5.84,0.155549650101869,1223750.0,1223750.0,1223750.0,1226250.0,1223889.8026315789,1223750.0
1,little,hash,1400000,255672.0,255873.0,256140.75,258419.0,254649.70394736843,94424.0,5.45,5.455,5.46,5.48,5.458333333333333,5.45,0.1450527061741518,1273750.0,1273750.0,1273750.0,1276250.0,1273470.394736842,1272500.0
1,little,hash,1500000,292130.0,292992.0,293440.0,294750.0,291108.5,107584.0,5.1025,5.11,5.11,5.13,5.109999999999999,5.1,0.1357959075205952,1308750.0,1310000.0,1310000.0,1312500.0,1309608.004385965,1305000.0
