howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min
1,little,idle,200000,9180.0,9180.0,9180.0,12852.0,9238.804824561405,8253.0,2.01,2.01,2.01,2.01,2.01,2.01,1.0,918750.0,918750.0,918750.0,918750.0,918552.6315789474,917500.0
1,little,idle,300000,11016.0,11921.0,11934.0,15606.0,11662.326754385966,11004.0,2.0,2.0,2.0,2.01,2.0016666666666665,2.0,0.995854063018242,917500.0,918750.0,918750.0,918750.0,918366.2280701754,917500.0
1,little,idle,400000,14672.0,14672.0,14688.0,20174.0,14739.322368421052,13755.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,917500.0,917500.0,918750.0,918750.0,917889.254385965,917500.0
1,little,idle,500000,16506.0,16524.0,17442.0,21114.0,17003.47587719298,16506.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,917500.0,917500.0,918750.0,918750.0,918092.105263158,917500.0
1,little,idle,600000,21010.0,21010.0,21965.0,27695.0,21402.447368421053,20966.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,955000.0,955000.0,955000.0,955000.0,954964.3640350878,953750.0
1,little,idle,700000,26757.0,26757.0,26784.0,32703.0,27034.129385964912,26757.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,991250.0,991250.0,992500.0,992500.0,991600.8771929824,991250.0
1,little,idle,800000,32896.0,32896.0,32896.0,43176.0,33128.20175438596,32896.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,1028750.0,1028750.0,1028750.0,1028750.0,1028750.0,1028750.0
1,little,idle,900000,39442.0,39442.0,39442.0,45838.0,39642.149122807015,38376.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,1066250.0,1066250.0,1066250.0,1066250.0,1066219.846491228,1065000.0
1,little,idle,1000000,47429.0,47429.0,47429.0,58459.0,47670.88596491228,46326.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,1103750.0,1103750.0,1103750.0,1103750.0,1103750.0,1103750.0
1,little,idle,1100000,55860.0,55860.0,55860.0,62700.0,56177.60745614035,54720.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,1140000.0,1140000.0,1140000.0,1141250.0,1140002.74122807,1140000.0
1,little,idle,1200000,64680.0,64680.0,65856.0,74088.0,65394.866228070176,64680.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,1176250.0,1176250.0,1176250.0,1177500.0,1176551.535087719,1176250.0
1,little,idle,1300000,78464.0,78464.0,79690.0,87046.0,79200.67543859649,78464.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,1226250.0,1226250.0,1226250.0,1226250.0,1226250.0,1226250.0
1,little,idle,1400000,93075.0,93075.0,93075.0,103275.0,93324.00438596492,91800.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,1275000.0,1275000.0,1275000.0,1276250.0,1275098.6842105263,1275000.0
1,little,idle,1500000,108896.0,108896.0,108896.0,119301.0,109331.9846491228,107502.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,1312500.0,1312500.0,1312500.0,1312500.0,1312264.254385965,1311250.0
