howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min
3,big,cacherate-80,200000,201773.0,202686.0,203431.75,209077.0,202221.65131578947,121429.0,7.9425,8.440000000000001,8.5475,8.72,8.306666666666667,7.8,1.3598908594815826,913750.0,913750.0,913750.0,913750.0,913717.105263158,912500.0
3,big,cacherate-80,300000,282720.0,283632.0,283632.0,291840.0,283238.3399122807,190817.0,5.7475000000000005,6.095000000000001,6.2,6.26,6.011666666666667,5.67,0.984174624829468,912500.0,912500.0,912500.0,913750.0,912478.0701754388,911250.0
3,big,cacherate-80,400000,357504.0,358023.0,358416.0,392160.0,358155.0131578947,288192.0,4.8325,5.075,5.1475,5.2,5.016111111111111,4.79,0.8211914506593906,912500.0,912500.0,912500.0,912500.0,912420.504385965,911250.0
3,big,cacherate-80,500000,423615.0,424526.0,425437.0,438191.0,424502.94736842107,261744.0,4.342499999999999,4.52,4.58,4.65,4.48,4.28,0.733424283765348,911250.0,911250.0,911250.0,912500.0,911285.6359649122,911250.0
3,big,cacherate-80,600000,486474.0,487385.0,489207.0,532935.0,487600.78289473685,270248.0,4.0525,4.225,4.29,4.31,4.187777777777778,4.03,0.6855843565256935,911250.0,911250.0,911250.0,913750.0,911126.644736842,910000.0
3,big,cacherate-80,700000,546600.0,547511.0,548422.0,562087.0,547036.427631579,251988.0,3.87,4.025,4.085,4.11,3.994444444444444,3.85,0.6539336061846293,911250.0,911250.0,911250.0,913750.0,911159.5394736842,910000.0
3,big,cacherate-80,800000,609884.0,610797.0,612623.0,636361.0,611521.3333333334,492966.0,3.74,3.885,3.93,3.96,3.85,3.7,0.6302864938608459,913750.0,913750.0,913750.0,918750.0,913780.153508772,913750.0
3,big,cacherate-80,900000,711004.0,713170.0,715340.0,748240.0,713053.5877192982,470162.0,3.63,3.77,3.83,3.85,3.743333333333333,3.61,0.6128240109140518,938750.0,938750.0,940000.0,946250.0,939295.504385965,938750.0
3,big,cacherate-80,1000000,819513.0,821215.0,823145.0,847440.0,821142.475877193,553518.0,3.57,3.71,3.7575,3.79,3.679444444444445,3.54,0.6023647112323784,963750.0,965000.0,965000.0,966250.0,964566.8859649122,963750.0
3,big,cacherate-80,1100000,939510.0,941490.0,943470.0,969210.0,941668.9561403508,562464.0,3.53,3.67,3.7225,3.74,3.638888888888889,3.5,0.595725329695316,990000.0,990000.0,990000.0,992500.0,989947.9166666666,988750.0
3,big,cacherate-80,1200000,1069565.5,1070864.0,1073912.0,1114552.0,1068840.4342105263,404712.0,3.5025,3.615,3.67,3.7,3.5950000000000006,3.47,0.5885402455661666,1016250.0,1016250.0,1016250.0,1022500.0,1016112.9385964912,1015000.0
3,big,cacherate-80,1300000,1208601.0,1211724.0,1214847.0,1257528.0,1210676.5372807018,733229.0,3.48,3.61,3.665,3.68,3.580555555555556,3.45,0.5861755343337882,1041250.0,1041250.0,1041250.0,1043750.0,1041348.6842105264,1041250.0
3,big,cacherate-80,1400000,1354023.0,1357224.0,1360425.0,1426579.0,1353828.0153508773,503840.0,3.4625,3.61,3.66,3.69,3.575555555555556,3.43,0.5853569804456572,1067500.0,1067500.0,1067500.0,1072500.0,1067510.964912281,1066250.0
3,big,cacherate-80,1500000,1515991.0,1520064.0,1523642.0,1658081.0,1516897.4605263155,529851.0,3.445,3.585,3.64,3.67,3.555555555555556,3.41,0.5820827648931333,1092500.0,1092500.0,1093750.0,1097500.0,1092919.4078947369,1092500.0
3,big,cacherate-80,1600000,1740609.0,1744002.0,1749657.0,1889308.0,1744102.6864035088,1189812.0,3.4325,3.58,3.64,3.66,3.5505555555555555,3.41,0.5812642110050023,1131250.0,1131250.0,1131250.0,1132500.0,1131266.4473684211,1130000.0
3,big,cacherate-80,1700000,1984320.0,1990170.0,1994850.0,2047500.0,1986138.5219298245,779220.0,3.34,3.49,3.56,3.56,3.46,3.33,0.5664392905866302,1170000.0,1170000.0,1170000.0,1170000.0,1169975.3289473683,1168750.0
3,big,cacherate-80,1800000,2261376.0,2268892.0,2275872.0,2349560.0,2261188.9210526315,953155.0,3.355,3.5,3.575,3.58,3.4753333333333334,3.35,0.5689495225102319,1208750.0,1208750.0,1208750.0,1208750.0,1208580.0438596492,1205000.0
3,big,cacherate-80,1900000,2650725.0,2662380.0,2668680.0,2734200.0,2649567.1096491227,609724.0,3.35,3.49,3.57,3.57,3.468000000000001,3.34,0.56774897680764,1260000.0,1260000.0,1260000.0,1260000.0,1259901.3157894737,1252500.0
3,big,cacherate-80,2000000,3197360.25,3224151.0,3234427.5,3349600.0,3206958.5877192984,1717354.0,3.35,3.48,3.56,3.57,3.463333333333333,3.33,0.5669849931787175,1323750.0,1323750.0,1325000.0,1325000.0,1324131.0307017544,1318750.0
