howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min
3,big,gzip-9,200000,277248.0,277248.0,278160.0,298224.0,276093.03289473685,107970.0,22.57,22.59,22.62,22.66,22.59555555555556,22.55,0.6519515909273064,912500.0,912500.0,912500.0,915000.0,912519.1885964912,911250.0
3,big,gzip-9,300000,407217.0,407217.0,408128.0,416327.0,406096.3421052632,93330.0,14.95,14.96,14.9775,14.99,14.962222222222222,14.94,0.4317063396649835,911250.0,911250.0,911250.0,915000.0,911447.3684210526,911250.0
3,big,gzip-9,400000,535080.0,535990.0,536900.0,551460.0,534231.3881578947,188078.0,11.1725,11.18,11.19,11.2,11.18277777777778,11.17,0.3226576901498758,910000.0,910000.0,911250.0,913750.0,910507.1271929824,910000.0
3,big,gzip-9,500000,649621.0,650522.0,651423.0,666120.0,647388.149122807,246240.0,8.93,8.94,8.95,8.96,8.939444444444444,8.92,0.2579305922898132,900000.0,901250.0,901250.0,912500.0,901091.0087719298,900000.0
3,big,gzip-9,600000,775720.0,775761.0,776622.0,793760.0,773531.0328947369,394030.0,7.44,7.45,7.4575,7.47,7.448888888888888,7.44,0.2149234591648633,901250.0,902500.0,902500.0,910000.0,902214.9122807018,901250.0
3,big,gzip-9,700000,900196.0,901098.0,902000.0,951610.0,896696.2653508772,369460.0,6.38,6.38,6.39,6.4,6.382777777777778,6.37,0.1841628596617777,902500.0,902500.0,902500.0,910000.0,902442.4342105264,901250.0
3,big,gzip-9,800000,1057980.0,1060728.0,1062560.0,1081796.0,1056806.7763157894,654534.0,5.5825,5.59,5.59,5.62,5.592222222222222,5.58,0.1613528893163421,916250.0,916250.0,916250.0,918750.0,916137.6096491228,915000.0
3,big,gzip-9,900000,1257176.0,1259256.0,1260940.0,1280701.0,1252445.660087719,268284.0,4.97,4.97,4.98,4.98,4.972777777777779,4.96,0.1434800032058989,941250.0,941250.0,941250.0,948750.0,941389.802631579,941250.0
3,big,gzip-9,1000000,1476609.0,1480477.0,1482411.0,1518792.0,1470519.4276315789,372276.0,4.4725,4.48,4.48,4.49,4.478333333333334,4.47,0.1292137533060832,967500.0,967500.0,967500.0,972500.0,967453.399122807,966250.0
3,big,gzip-9,1100000,1718883.0,1721862.0,1724841.0,1775484.0,1713618.644736842,632541.0,4.07,4.08,4.08,4.08,4.076111111111112,4.07,0.1176083994549972,993750.0,993750.0,993750.0,995000.0,993618.4210526316,992500.0
3,big,gzip-9,1200000,1985940.0,1989000.0,1991971.0,2016540.0,1979343.074561404,1122000.0,3.74,3.74,3.7475,3.75,3.7422222222222223,3.73,0.1079746733990542,1020000.0,1020000.0,1020000.0,1021250.0,1020211.0745614036,1018750.0
3,big,gzip-9,1300000,2265690.0,2274004.0,2277142.0,2297016.0,2258855.3771929825,796767.0,3.4525,3.46,3.46,3.47,3.458333333333334,3.45,0.0997836018273623,1046250.0,1046250.0,1046250.0,1047500.0,1046285.6359649122,1043750.0
3,big,gzip-9,1400000,2574944.0,2583520.0,2588880.0,2681427.0,2565631.3421052634,645344.0,3.22,3.22,3.22,3.23,3.219444444444444,3.21,0.0928909192914963,1072500.0,1072500.0,1072500.0,1073750.0,1072675.4385964912,1071250.0
3,big,gzip-9,1500000,2910600.0,2921778.0,2929300.0,2963400.0,2904126.2346491227,1584068.0,3.01,3.01,3.01,3.02,3.01,3.0,0.0868477999519115,1098750.0,1100000.0,1100000.0,1100000.0,1099553.179824561,1096250.0
3,big,gzip-9,1600000,3355393.0,3376446.0,3382136.0,3433346.0,3355440.864035088,1551776.0,2.82,2.82,2.8275,2.83,2.8222222222222224,2.81,0.0814298308888354,1138750.0,1138750.0,1138750.0,1138750.0,1138626.644736842,1136250.0
3,big,gzip-9,1700000,3858206.0,3888808.0,3901536.0,3949834.0,3869847.7763157897,3200700.0,2.645,2.66,2.67,2.68,2.481333333333333,0.0,0.0715941332050973,1177500.0,1177500.0,1178750.0,1178750.0,1177957.785087719,1173750.0
3,big,gzip-9,1800000,4433531.0,4472475.0,4495608.0,4554014.0,4447323.682017544,2631503.0,2.51,2.53,2.535,2.54,2.524,2.51,0.0728251983649915,1217500.0,1217500.0,1218750.0,1218750.0,1217924.8903508773,1211250.0
3,big,gzip-9,1900000,5244782.5,5312780.0,5348368.0,5427170.0,5268620.291666667,2785549.0,2.38,2.39,2.4,2.41,2.3920000000000003,2.37,0.0690165905265689,1270000.0,1271250.0,1271250.0,1271250.0,1270734.649122807,1261250.0
3,big,gzip-9,2000000,5863392.75,6239109.0,6438992.0,6578946.0,6125919.572368421,1607960.0,2.325,2.47,2.89,3.02,2.4133333333333336,0.0,0.069632123106516,1301250.0,1329375.0,1336250.0,1338750.0,1317974.2324561405,1272500.0
