howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min
3,big,hash,200000,266304.0,266304.0,267216.0,277248.0,265461.00877192983,121429.0,21.2825,21.31,21.4,21.5,21.348888888888887,21.27,0.567336935660082,912500.0,912500.0,912500.0,915000.0,912678.1798245612,912500.0
3,big,hash,300000,388997.0,388997.0,389908.0,397196.0,388387.875,291840.0,14.12,14.16,14.27,14.55,14.216111111111111,14.11,0.3777866359583074,911250.0,911250.0,911250.0,912500.0,911474.7807017544,911250.0
3,big,hash,400000,511071.0,512330.0,513240.0,523825.0,511706.3399122807,380798.0,10.57,10.575,10.5875,10.77,10.600555555555555,10.55,0.2817049044792866,910000.0,911250.0,911250.0,911250.0,910748.355263158,910000.0
3,big,hash,500000,623492.0,635180.0,636789.0,642460.0,629770.2039473684,146993.0,8.46,8.465,8.477500000000001,8.56,8.478333333333333,8.45,0.2253078217734077,901250.0,910000.0,910000.0,913750.0,907900.2192982456,900000.0
3,big,hash,600000,737836.0,739640.0,740622.0,753236.0,736480.1140350878,307344.0,7.05,7.06,7.06,7.19,7.073333333333333,7.05,0.1879705908406413,901250.0,902500.0,902500.0,912500.0,901998.355263158,901250.0
3,big,hash,700000,854194.0,857351.0,858704.0,876744.0,855018.423245614,555084.0,6.06,6.07,6.08,6.22,6.082222222222222,6.05,0.1616322673989429,902500.0,902500.0,902500.0,907500.0,902510.9649122808,901250.0
3,big,hash,800000,1002656.0,1005768.0,1008516.0,1021340.0,1003707.826754386,647190.0,5.31,5.32,5.33,5.38,5.326666666666666,5.3,0.1415537248649127,915000.0,916250.0,916250.0,918750.0,915688.048245614,915000.0
3,big,hash,900000,1186601.0,1189424.0,1193188.0,1208244.0,1187174.2127192982,685125.0,4.77,4.779999999999999,4.8475,4.87,4.8,4.76,0.1275577996279564,941250.0,941250.0,941250.0,945000.0,941252.7412280702,940000.0
3,big,hash,1000000,1392849.0,1396348.0,1400216.0,1428259.0,1393475.8684210526,974736.0,4.2925,4.305,4.365,4.41,4.326666666666666,4.27,0.1149791832757551,966250.0,967500.0,967500.0,967500.0,966907.894736842,966250.0
3,big,hash,1100000,1614976.0,1619936.0,1625888.0,1641429.0,1613347.504385965,371256.0,3.9425,3.96,4.0075,4.03,3.9766666666666666,3.92,0.1056780937195499,992500.0,993750.0,993750.0,998750.0,993171.600877193,991250.0
3,big,hash,1200000,1855814.0,1861500.0,1868030.0,1898570.0,1857459.644736842,535528.0,3.62,3.68,3.69,3.7,3.655555555555555,3.6,0.0971447131425871,1018750.0,1020000.0,1020000.0,1022500.0,1019539.4736842106,1017500.0
3,big,hash,1300000,2124426.0,2132794.0,2139070.0,2162082.0,2123675.6447368423,696255.0,3.3425,3.425,3.43,3.44,3.3966666666666665,3.34,0.0902648595978385,1046250.0,1046250.0,1046250.0,1047500.0,1046016.995614035,1043750.0
3,big,hash,1400000,2404496.0,2413553.0,2424060.0,2445232.0,2408671.5416666665,1606500.0,3.11,3.19,3.21,3.22,3.163888888888889,3.11,0.0840788968612513,1071250.0,1072500.0,1072500.0,1072500.0,1072171.0526315789,1070000.0
3,big,hash,1500000,2707668.0,2719463.0,2730726.0,2768058.0,2711147.3684210526,1521539.0,2.92,3.0,3.01,3.02,2.9672222222222224,2.91,0.078852570348717,1097500.0,1098750.0,1098750.0,1098750.0,1098347.0394736845,1096250.0
3,big,hash,1600000,3121728.0,3135846.0,3148992.0,3190422.0,3125750.1798245613,1697960.0,2.74,2.795,2.83,2.84,2.787777777777778,2.73,0.0740839164968848,1136250.0,1137500.0,1137500.0,1137500.0,1137075.1096491227,1135000.0
3,big,hash,1700000,3582096.0,3599736.0,3615318.0,3667532.0,3590305.449561404,2543240.0,2.58,2.67,2.67,2.68,2.6286666666666667,2.57,0.0698556116573655,1176250.0,1176250.0,1176250.0,1177500.0,1176376.096491228,1172500.0
3,big,hash,1800000,4106432.0,4129536.0,4152944.0,4209792.0,4109128.528508772,2036430.0,2.45,2.54,2.55,2.55,2.4986666666666664,2.43,0.066400921250775,1216250.0,1216250.0,1216250.0,1217500.0,1216129.3859649124,1208750.0
3,big,hash,1900000,4837420.0,4876728.0,4910013.0,4998720.0,4846859.60745614,1519760.0,2.32,2.41,2.42,2.43,2.374666666666667,2.31,0.0631056780937195,1268750.0,1268750.0,1268750.0,1270000.0,1268582.785087719,1256250.0
3,big,hash,2000000,5877065.25,5975694.0,6048072.0,6157624.0,5929859.368421053,3049515.0,2.22,2.3,2.32,2.33,2.27,2.2,0.0603242094073877,1333750.0,1335000.0,1336250.0,1336250.0,1334983.5526315789,1323750.0
