howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min
3,little,decrypt,200000,52269.0,52269.0,52269.0,53186.0,52066.366228070176,24759.0,35.7225,35.785,35.8,35.93,35.77666666666667,35.65,0.9984650448858088,917500.0,917500.0,917500.0,918750.0,917510.9649122808,917500.0
3,little,decrypt,300000,76111.0,76944.0,77028.0,77028.0,76428.29166666667,22925.0,23.68,23.715,23.755000000000003,23.79,23.709444444444443,23.61,0.6616896909933795,916250.0,916250.0,917500.0,917500.0,916743.4210526316,916250.0
3,little,decrypt,400000,100760.0,100760.0,100760.0,101676.0,100195.10745614037,68700.0,17.7125,17.76,17.9525,18.05,17.820555555555558,17.68,0.497340961595113,916250.0,916250.0,916250.0,917500.0,916315.7894736842,916250.0
3,little,decrypt,500000,123660.0,124440.0,124576.0,125492.0,123040.04824561405,25676.0,14.14,14.16,14.1975,14.26,14.168333333333331,14.11,0.3954137401739614,916250.0,916250.0,916250.0,917500.0,916058.1140350878,915000.0
3,little,decrypt,600000,159936.0,159936.0,160888.0,162792.0,159534.4298245614,80052.0,11.78,11.81,11.83,11.92,11.815555555555555,11.75,0.3297517714002201,952500.0,952500.0,952500.0,953750.0,952467.105263158,951250.0
3,little,decrypt,700000,202540.0,202540.0,202540.0,203528.0,201221.2850877193,36667.0,10.09,10.1,10.1175,10.2,10.112777777777778,10.08,0.2822301812487402,988750.0,988750.0,988750.0,991250.0,988651.3157894736,987500.0
3,little,decrypt,800000,248050.0,249075.0,249075.0,250100.0,246232.98684210525,35980.0,8.84,8.844999999999999,8.8675,8.94,8.858333333333334,8.82,0.2472208009674868,1025000.0,1025000.0,1025000.0,1028750.0,1025016.447368421,1023750.0
3,little,decrypt,900000,290788.0,291066.0,291834.0,293160.0,290021.5964912281,202460.0,7.86,7.87,7.88,7.98,7.881111111111112,7.85,0.2199482146456424,1046250.0,1046250.0,1047500.0,1060000.0,1046981.9078947369,1045000.0
3,little,decrypt,1000000,346240.0,346240.0,347081.25,348404.0,344372.4407894737,141642.0,7.09,7.1,7.12,7.15,7.104444444444445,7.07,0.1982727878816068,1082500.0,1082500.0,1082500.0,1098750.0,1082480.8114035088,1081250.0
3,little,decrypt,1100000,408070.0,409188.0,409188.0,410306.0,406442.5657894737,126318.0,6.45,6.455,6.487500000000001,6.53,6.469444444444445,6.43,0.1805510333813975,1118750.0,1118750.0,1118750.0,1140000.0,1118862.3903508773,1117500.0
3,little,decrypt,1200000,475860.0,477015.0,478170.0,479325.0,474791.9714912281,340466.0,5.92,5.925,5.9475,6.03,5.941666666666666,5.91,0.1658216661240057,1155000.0,1155000.0,1155000.0,1162500.0,1155030.153508772,1155000.0
3,little,decrypt,1300000,564207.0,565410.0,566613.0,567816.0,561540.120614035,311741.0,5.47,5.48,5.51,5.6,5.495555555555556,5.46,0.1533714746422314,1203750.0,1203750.0,1203750.0,1213750.0,1203824.0131578948,1202500.0
3,little,decrypt,1400000,662308.0,663560.0,664812.0,667316.0,659747.3969298246,334430.0,5.08,5.09,5.1,5.16,5.1000000000000005,5.07,0.1423322014977441,1252500.0,1252500.0,1252500.0,1262500.0,1252552.0833333333,1252500.0
3,little,decrypt,1500000,757344.0,758632.0,759920.0,762496.0,751995.6666666666,319800.0,4.76,4.765,4.78,4.84,4.777777777777779,4.75,0.1333395351721785,1288750.0,1288750.0,1288750.0,1300000.0,1288837.7192982456,1287500.0
