howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel,voltage_25%,voltage_50%,voltage_75%,voltage_max,voltage_mean,voltage_min
4,big,idle,200000,29216.0,29280.0,32940.0,68625.0,32105.552631578947,27390.0,2.01,2.01,2.01,2.01,2.01,2.01,1.0,915000.0,915000.0,915000.0,915000.0,914791.6666666666,913750.0
4,big,idle,300000,34770.0,36600.0,39345.0,144254.0,39536.51096491228,33781.0,2.0,2.0,2.0,2.01,2.000833333333333,2.0,0.9954394693200664,915000.0,915000.0,915000.0,915000.0,914964.3640350878,913750.0
4,big,idle,400000,41998.0,42090.0,43920.0,102256.0,45361.59429824561,40172.0,2.0,2.0,2.0,2.01,2.000833333333333,2.0,0.9954394693200664,915000.0,915000.0,915000.0,915000.0,914742.3245614036,913750.0
4,big,idle,500000,47580.0,47606.0,51240.0,97905.0,51520.5701754386,45650.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,915000.0,915000.0,915000.0,916250.0,914980.8114035088,913750.0
4,big,idle,600000,53070.0,54900.0,57645.0,119603.0,57964.99780701754,51240.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,915000.0,915000.0,915000.0,916250.0,915068.5307017544,913750.0
4,big,idle,700000,60390.0,61305.0,63135.0,128100.0,65090.24780701754,58560.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,915000.0,915000.0,915000.0,916250.0,915090.4605263158,915000.0
4,big,idle,800000,68598.0,69525.0,72306.0,249750.0,74624.11403508772,66744.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,927500.0,927500.0,927500.0,928750.0,927532.894736842,925000.0
4,big,idle,900000,79968.0,81872.0,83776.0,169456.0,85879.70833333333,78064.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,952500.0,952500.0,952500.0,953750.0,952557.5657894736,951250.0
4,big,idle,1000000,93792.0,94769.0,96723.0,216672.0,99605.57236842104,89884.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,977500.0,977500.0,977500.0,977500.0,977467.105263158,976250.0
4,big,idle,1100000,107214.0,109218.0,111222.0,256000.0,114107.0394736842,104208.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,1002500.0,1002500.0,1002500.0,1002500.0,1002373.903508772,1000000.0
4,big,idle,1200000,121186.0,122213.0,125294.0,394106.0,128891.46929824562,118105.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,1027500.0,1027500.0,1027500.0,1027500.0,1027371.1622807018,1021250.0
4,big,idle,1300000,139783.0,140968.0,144124.0,302400.0,148312.25219298244,136630.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,1052500.0,1052500.0,1052500.0,1052500.0,1052182.0175438595,1050000.0
4,big,idle,1400000,157205.5,159248.0,162627.0,250475.0,165873.1096491228,153868.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,1076250.0,1076250.0,1077500.0,1077500.0,1076562.5,1075000.0
4,big,idle,1500000,178362.0,179626.0,185010.0,313785.0,187237.9802631579,173958.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,1101250.0,1102500.0,1102500.0,1102500.0,1101864.035087719,1100000.0
4,big,idle,1600000,207480.0,209760.0,215176.5,497130.0,218708.18859649124,202564.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,1138750.0,1138750.0,1138750.0,1140000.0,1138991.2280701755,1135000.0
4,big,idle,1700000,237552.0,239904.0,245784.0,517424.0,249561.7346491228,232848.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,1176250.0,1176250.0,1176250.0,1177500.0,1176118.4210526317,1168750.0
4,big,idle,1800000,278990.0,281416.0,288997.25,504420.0,292098.1293859649,271712.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,1213750.0,1213750.0,1213750.0,1215000.0,1213426.535087719,1201250.0
4,big,idle,1900000,325000.0,328750.0,336519.0,512500.0,339143.4649122807,314496.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,1250000.0,1250000.0,1250000.0,1251250.0,1250106.9078947369,1248750.0
4,big,idle,2000000,406469.25,413280.0,426971.75,601354.0,424754.7587719298,393600.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9950248756218908,1312500.0,1312500.0,1312500.0,1313750.0,1312648.0263157894,1312500.0
