island,frequency,task,power,time
big,200000,cachekiller,55078.72397660819,1.9138504523682809
big,300000,cachekiller,78560.74839181287,1.3722724853645558
big,400000,cachekiller,99807.36659356725,1.1273283661522084
big,500000,cachekiller,119531.99788011696,0.995010643959553
big,600000,cachekiller,138637.28866959066,0.922498669505056
big,700000,cachekiller,153703.43969298247,0.8752660989888238
big,800000,cachekiller,174624.1144005848,0.8399414582224588
big,900000,cachekiller,203878.19510233917,0.8183874401277276
big,1000000,cachekiller,234891.91286549708,0.7995609366684407
big,1100000,cachekiller,268601.68019005854,0.788916977115487
big,1200000,cachekiller,306452.84736842103,0.7783395423097393
big,1300000,cachekiller,344598.4045321637,0.7706226716338479
big,1400000,cachekiller,387598.98296783626,0.7726184140500266
big,1500000,cachekiller,433651.73157894734,0.7635045236828101
big,1600000,cachekiller,497489.1579678363,0.763571048430016
big,1700000,cachekiller,570209.987134503,0.7476849387972326
big,1800000,cachekiller,646751.9690058479,0.7480840872804686
big,1900000,cachekiller,756538.4065789474,0.7401809473124005
big,2000000,cachekiller,905265.8989035087,0.7412187333688133
big,200000,cacherate-0,43889.45248538012,0.8162751677852349
big,300000,cacherate-0,65110.54239766082,0.5408389261744967
big,400000,cacherate-0,86348.20687134503,0.4046644295302014
big,500000,cacherate-0,108324.25796783627,0.3234563758389263
big,600000,cacherate-0,129807.46257309942,0.2691610738255034
big,700000,cacherate-0,147439.31703216373,0.2306543624161074
big,800000,cacherate-0,172589.5236111111,0.2017953020134228
big,900000,cacherate-0,206036.286622807,0.1792449664429531
big,1000000,cacherate-0,242045.0020467836,0.1612751677852349
big,1100000,cacherate-0,281313.40847953217,0.1465771812080537
big,1200000,cacherate-0,325040.6739766082,0.1343288590604027
big,1300000,cacherate-0,370927.52463450294,0.1240268456375839
big,1400000,cacherate-0,421665.1040935673,0.1151677852348993
big,1500000,cacherate-0,476042.4449561403,0.1075167785234899
big,1600000,cacherate-0,550061.6872076024,0.1006711409395973
big,1700000,cacherate-0,633799.1236842106,0.0946711409395973
big,1800000,cacherate-0,722105.72375731,0.0893959731543624
big,1900000,cacherate-0,850975.5733187133,0.0847651006711409
big,2000000,cacherate-0,1022294.6892543859,0.0805369127516778
big,200000,cacherate-100,55168.8528508772,1.9033925451368672
