howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel
1,cpu,idle,600000,2851000.0,2855000.0,2858000.0,3003000.0,2855955.0,2843000.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
1,cpu,idle,700000,2893000.0,2897000.0,2900000.0,3042000.0,2899018.796992481,2889000.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
1,cpu,idle,800000,2919000.0,2923000.0,2927000.0,3114000.0,2926002.506265664,2916000.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
1,cpu,idle,900000,2946000.0,2950000.0,2950000.0,3129000.0,2951370.481927711,2938000.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
1,cpu,idle,1000000,2973000.0,2977000.0,2977000.0,3137000.0,2978583.583583584,2965000.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
1,cpu,idle,1100000,3000000.0,3000000.0,3003000.0,3164000.0,3003434.2928660824,2996000.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
1,cpu,idle,1200000,3026000.0,3026000.0,3030000.0,3255000.0,3031055.165496489,3019000.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
1,cpu,idle,1300000,3053000.0,3053000.0,3057000.0,3271000.0,3057185.0,3045000.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
1,cpu,idle,1400000,3080000.0,3080000.0,3084000.0,3259000.0,3084576.0,3072000.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
1,cpu,idle,1500000,3106000.0,3110000.0,3110000.0,3271000.0,3110947.0,3099000.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
