howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel
2,cpu,gzip-9,600000,3290000.0,3293000.0,3297000.0,3370000.0,3293304.8576214407,3003000.0,7.285,7.305,7.3175,7.34,7.303333333333334,7.27,1.0106088560885609
2,cpu,gzip-9,700000,3438000.0,3442000.0,3442000.0,3561000.0,3438113.113113113,2893000.0,6.2425,6.25,6.26,6.27,6.252999999999999,6.24,0.8652675276752767
2,cpu,gzip-9,800000,3545000.0,3549000.0,3553000.0,3626000.0,3545002.004008016,2919000.0,5.452500000000001,5.46,5.467499999999999,5.49,5.462000000000001,5.45,0.7558118081180812
2,cpu,gzip-9,900000,3656000.0,3660000.0,3660000.0,3729000.0,3654040.0801603207,2946000.0,4.85,4.86,4.8675,4.88,4.859,4.84,0.6723708487084871
2,cpu,gzip-9,1000000,3771000.0,3774000.0,3778000.0,3816000.0,3769103.103103103,2969000.0,4.37,4.38,4.387499999999999,4.4,4.38,4.37,0.6060885608856088
2,cpu,gzip-9,1100000,3885000.0,3889000.0,3889000.0,3908000.0,3880931.931931932,2996000.0,3.98,3.99,4.012499999999999,4.02,3.994,3.97,0.5526752767527676
2,cpu,gzip-9,1200000,4003000.0,4006999.0,4006999.0,4091000.0,3996773.173346693,3022000.0,3.6525,3.66,3.66,3.68,3.66,3.65,0.5064575645756458
2,cpu,gzip-9,1300000,4122000.0,4126000.0,4128999.0,4225000.0,4115943.716716717,3049000.0,3.3625,3.37,3.37,3.38,3.369,3.36,0.466190036900369
2,cpu,gzip-9,1400000,4244000.0,4244000.0,4248000.0,4324000.0,4233989.0,3076000.0,3.13,3.14,3.14,3.15,3.136,3.12,0.4339483394833948
2,cpu,gzip-9,1500000,4370000.0,4374000.0,4377000.0,4843000.0,4364792.0,3103000.0,2.92,2.92,2.93,2.96,2.928,2.92,0.4051660516605166
