howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel
3,cpu,decrypt,600000,3419000.0,3423000.0,3423000.0,3572000.0,3422480.40201005,2931000.0,7.28,7.29,7.3,7.33,7.292000000000001,7.27,1.0000000000000002
3,cpu,decrypt,700000,3603000.0,3603000.0,3610000.0,3740000.0,3603271.35678392,2919000.0,6.25,6.25,6.26,6.28,6.255333333333334,6.24,0.857835070396782
3,cpu,decrypt,800000,3740000.0,3740000.0,3744000.0,3820000.0,3739586.3453815263,2935000.0,5.46,5.48,5.485,5.5,5.474666666666667,5.45,0.7507771073322362
3,cpu,decrypt,900000,3877000.0,3881000.0,3885000.0,4014999.0,3877586.3413654617,2942000.0,4.86,4.86,4.88,4.91,4.868,4.85,0.6675809105869447
3,cpu,decrypt,1000000,4022000.0,4030000.0,4034000.0,4106000.0,4023528.034068137,2996000.0,4.37,4.38,4.39,4.4,4.381333333333333,4.37,0.6008411044066557
3,cpu,decrypt,1100000,4168000.0,4171000.0,4175000.0,4274000.0,4163993.87,2996000.0,3.97,3.98,3.99,3.99,3.98,3.97,0.5458036204059243
3,cpu,decrypt,1200000,4316000.0,4324000.0,4328000.0,4435000.0,4311909.819639279,3022000.0,3.64,3.64,3.655,3.67,3.648000000000001,3.64,0.5002742731760835
3,cpu,decrypt,1300000,4469000.0,4473000.0,4477000.0,4515000.0,4461030.060120241,3053000.0,3.36,3.37,3.375,3.4,3.3719999999999994,3.36,0.462424574876577
3,cpu,decrypt,1400000,4626000.0,4629000.0,4637000.0,4752000.0,4619268.268268269,3076000.0,3.12,3.13,3.14,3.15,3.130666666666667,3.12,0.429328944962516
3,cpu,decrypt,1500000,4790000.0,4793000.0,4801000.0,4916000.0,4781551.551551552,3106000.0,2.92,2.92,2.93,2.93,2.921333333333334,2.91,0.4006216858657891
