howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel
3,cpu,encrypt,600000,3416000.0,3416000.0,3419000.0,3580000.0,3417757.1189279733,2958000.0,7.27,7.27,7.28,7.31,7.275555555555554,7.26,0.9980185947264136
3,cpu,encrypt,700000,3595000.0,3595000.0,3599000.0,3755000.0,3597235.175879397,3003000.0,6.235,6.24,6.25,6.27,6.243333333333333,6.22,0.8564243255601282
3,cpu,encrypt,800000,3732000.0,3732000.0,3736000.0,3874000.0,3732826.1306532654,2919000.0,5.45,5.46,5.47,5.49,5.462000000000001,5.44,0.7492455418381346
3,cpu,encrypt,900000,3870000.0,3874000.0,3877000.0,4011000.0,3870123.370110331,2942000.0,4.84,4.85,4.86,4.88,4.853333333333334,4.84,0.6657521719250117
3,cpu,encrypt,1000000,4011000.0,4014999.0,4019000.0,4141000.0,4011195.24774323,2973000.0,4.36,4.37,4.375,4.4,4.37,4.35,0.5994513031550069
3,cpu,encrypt,1100000,4160000.0,4163999.0,4168000.0,4210000.0,4155991.5695695695,3000000.0,3.97,3.98,3.985,4.01,3.9813333333333327,3.96,0.5461362597165066
3,cpu,encrypt,1200000,4301000.0,4309000.0,4313000.0,4442000.0,4300589.0,3022000.0,3.64,3.64,3.65,3.67,3.646,3.63,0.5001371742112484
3,cpu,encrypt,1300000,4454000.0,4461000.0,4465000.0,4595000.0,4449061.0,3049000.0,3.36,3.37,3.375,3.39,3.37,3.35,0.4622770919067216
3,cpu,encrypt,1400000,4610000.0,4614000.0,4618000.0,4641000.0,4602182.18018018,3076000.0,3.12,3.13,3.13,3.15,3.130666666666666,3.12,0.4294467306812985
3,cpu,encrypt,1500000,4771000.0,4774000.0,4782000.0,4885000.0,4761323.0,3110000.0,2.91,2.92,2.925,2.95,2.922,2.91,0.4008230452674898
