howmany,island,task,frequency,power_25%,power_50%,power_75%,power_max,power_mean,power_min,time_25%,time_50%,time_75%,time_max,time_mean,time_min,time_rel
3,cpu,hash,600000,3507000.0,3511000.0,3515000.0,3576000.0,3507137.844611529,2847000.0,4.86,4.86,4.8675,4.88,4.865,4.86,1.0051652892561984
3,cpu,hash,700000,3706000.0,3709000.0,3709000.0,3793000.0,3703510.033444816,3114000.0,4.17,4.18,4.18,4.18,4.174444444444444,4.16,0.8624885215794307
3,cpu,hash,800000,3858000.0,3866000.0,3870000.0,3942000.0,3860067.067067067,2927000.0,3.65,3.66,3.67,3.67,3.658,3.63,0.7557851239669422
3,cpu,hash,900000,4019000.0,4022000.0,4026000.0,4091000.0,4015532.37937938,2942000.0,3.24,3.26,3.26,3.27,3.252,3.23,0.671900826446281
3,cpu,hash,1000000,4179000.0,4183000.0,4190000.0,4286000.0,4173780.997,2969000.0,2.94,2.94,2.94,2.95,2.9399999999999995,2.93,0.6074380165289255
3,cpu,hash,1100000,4339000.0,4343000.0,4347000.0,4481000.0,4330868.998,2996000.0,2.67,2.67,2.68,2.68,2.6740000000000004,2.66,0.5524793388429753
3,cpu,hash,1200000,4507000.0,4515000.0,4522000.0,4637000.0,4498847.847847848,3022000.0,2.45,2.45,2.465,2.47,2.4566666666666674,2.44,0.5075757575757578
3,cpu,hash,1300000,4679000.0,4683000.0,4690000.0,4736000.0,4670176.0,3053000.0,2.27,2.27,2.28,2.29,2.274666666666667,2.26,0.4699724517906337
3,cpu,hash,1400000,4855000.0,4862000.0,4866000.0,4927000.0,4846043.043043043,3080000.0,2.1,2.1,2.11,2.11,2.104666666666667,2.1,0.434848484848485
3,cpu,hash,1500000,5034000.0,5042000.0,5053000.0,5095000.0,5022309.309309309,3106000.0,1.97,1.97,1.98,1.99,1.9733333333333327,1.96,0.4077134986225894
