[Event-to-counter mappings]
pmc1=l2_cache_accesses
pmc2=l2_cache_refills
pmc3=l2_cache_writebacks
pmc4=llc_accesses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  28293       tick       1791840         19467         16880       1791840 
      2  28293       tick       2385931         16720         17824       2385931 
      3  28293       tick       2343846         17924         18676       2343846 
      4  28293       tick       2366481         17699         18401       2366481 
      5  28293       tick       2363337         17182         18544       2363337 
      6  28293       tick       2343674         19459         18962       2343674 
      7  28293       tick       2367002         16831         18149       2367002 
      8  28293       tick       2357689         17578         19161       2357689 
      9  28293       tick       2346201         17800         18339       2346201 
     10  28293       tick       2362770         17500         18510       2362770 
     11  28293       tick       2352145         18852         18661       2352145 
     12  28293       tick       2351848         18179         18598       2351848 
     13  28293       tick       2367840         17475         18002       2367840 
     14  28293       tick       2352699         18532         18910       2352699 
     15  28293       tick       2369459         16964         17886       2369459 
     16  28293       tick       2356447         17897         18346       2356447 
     17  28293       tick       2338345         16940         18090       2338345 
     18  28293       tick       2379390         16283         17097       2379390 
     19  28293       tick       2360624         18000         18351       2360624 
     20  28293       tick       2233248         17287         17386       2233248 
     21  28293       tick       2361073         20046         19317       2361073 
     22  28293       tick       2335920         18205         19608       2335920 
     23  28293       tick       2371664         17170         18128       2371664 
     24  28293       tick       2373280         17368         18098       2373280 
     25  28293       tick       2342881         17593         18777       2342881 
     26  28293       tick       2352085         19050         19131       2352085 
     27  28293       tick       2374859         16533         18519       2374859 
     28  28293       tick       2342847         18219         18912       2342847 
     29  28293       tick       2358641         17982         18769       2358641 
     30  28293       tick       2357626         16447         17141       2357626 
     31  28293       tick       2320981         21573         19518       2320981 
     32  28293       tick       2376128         17809         18163       2376128 
     33  28293       tick       2353316         17991         18485       2353316 
     34  28293       tick       2349146         18605         18886       2349146 
     35  28293       tick       2348173         18836         18382       2348173 
     36  28293       tick       2366334         18415         18589       2366334 
     37  28293       tick       2341304         17345         18703       2341304 
     38  28293       tick       2340239         19407         18786       2340239 
     39  28293       tick       2378050         18109         17919       2378050 
     40  28293       tick       2276062         17577         17898       2276062 
     41  28293       tick       2343819         21218         19775       2343819 
     42  28293       tick       2349575         17698         19040       2349575 
     43  28293       tick       2369794         16727         17860       2369794 
     44  28293       tick       2367874         18122         19359       2367874 
     45  28293       tick       2340613         19264         19122       2340613 
     46  28293       tick       2267696         17369         18331       2267696 
     47  28293       tick       2447434         18718         19527       2447434 
     48  28293       tick       2355184         18183         19380       2355184 
     49  28293       tick       2346215         18003         18336       2346215 
     50  28293       tick       2356883         19466         19440       2356883 
     51  28293       tick       2319067         19538         18138       2319067 
     52  28293       tick       2381142         17004         17857       2381142 
     53  28293       tick       2353285         19267         18986       2353285 
     54  28293       tick       2328716         18958         19082       2328716 
     55  28293       tick       2375980         18349         18856       2375980 
     56  28293       tick       2366045         14825         16410       2366045 
     57  28293       tick       2332758         18096         18938       2332758 
     58  28293       tick       2386672         17721         17701       2386672 
     59  28293       tick       2371896         17584         17583       2371896 
     60  28293       tick       2272958         17987         17836       2272958 
     61  28293       tick       2343569         19179         18945       2343569 
     62  28293       tick       2347327         17456         18536       2347327 
     63  28293       exit       1708693         14416         14506       1708693 
