[Event-to-counter mappings]
pmc1=itlb_misses
pmc2=l1_data_accesses
pmc3=l1_data_refills
pmc4=l1_instr_refills
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1   6496       tick           152        146260          4341          6699 
      2   6496       tick             0             0             0             0 
      3   6496       tick             0             0             0             0 
      4   6496       tick             0             0             0             0 
      5   6496       tick             0             0             0             0 
      6   6496       tick             0             0             0             0 
      7   6496       tick             0             0             0             0 
      8   6496       tick             0             0             0             0 
      9   6496       tick             0             0             0             0 
     10   6496       tick             0             0             0             0 
     11   6496       tick             0             0             0             0 
     12   6496       tick             0             0             0             0 
     13   6496       tick             0             0             0             0 
     14   6496       tick             0             0             0             0 
     15   6496       tick             0             0             0             0 
     16   6496       tick             0             0             0             0 
     17   6496       tick             0             0             0             0 
     18   6496       tick             0             0             0             0 
     19   6496       tick             0             0             0             0 
     20   6496       exit            10           889           106           241 
