[Event-to-counter mappings]
pmc1=itlb_misses
pmc2=l1_data_accesses
pmc3=l1_data_refills
pmc4=l1_instr_refills
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1   3078       tick           469      20285033         41215        113215 
      2   3078       tick           204      45202288         23785         22553 
      3   3078       tick           203      45206986         23738         22482 
      4   3078       tick           202      45117847         24154         22718 
      5   3078       tick           226      44788140         24486         24240 
      6   3078       tick           217      45074272         23774         22629 
      7   3078       tick           199      45195142         23305         22395 
      8   3078       tick           216      45142255         23443         22690 
      9   3078       tick           204      45099037         23519         22792 
     10   3078       tick           195      45137963         23683         22726 
     11   3078       tick           206      45172719         23485         22666 
     12   3078       tick           201      45182145         23906         22511 
     13   3078       tick           202      45113311         24259         22582 
     14   3078       tick           195      45114372         24183         22633 
     15   3078       tick           218      45023697         24323         23089 
     16   3078       tick           205      45194079         24100         22374 
     17   3078       tick           188      45092393         24192         22391 
     18   3078       tick           194      45188167         24136         22317 
     19   3078       tick           208      45199811         24072         22434 
     20   3078       tick           210      45129929         24127         22508 
     21   3078       tick           199      45139485         24269         22477 
     22   3078       tick           192      45238103         24428         22543 
     23   3078       tick           193      45117914         23972         22661 
     24   3078       tick           212      45091498         24286         22409 
     25   3078       tick           196      45022695         24196         22521 
     26   3078       tick           210      45197685         24196         22568 
     27   3078       tick           203      45123522         23987         22508 
     28   3078       tick           194      45196980         24248         22592 
     29   3078       tick           199      45098460         24069         22767 
     30   3078       tick           199      45088745         24424         22897 
     31   3078       tick           196      45136220         24139         22579 
     32   3078       tick           203      45221058         24061         22361 
     33   3078       tick           190      45222771         24303         22370 
     34   3078       tick           200      45158592         24123         22626 
     35   3078       tick           203      43510178         23716         22427 
     36   3078       tick           230      46464010         25227         23690 
     37   3078       tick           225      45096558         24151         22436 
     38   3078       tick           211      45191048         24151         22122 
     39   3078       tick           220      45154537         24443         22416 
     40   3078       tick           194      45157635         24299         22470 
     41   3078       tick           210      45188928         23958         22223 
     42   3078       tick           224      45126729         24245         22423 
     43   3078       tick           217      45174550         24167         22278 
     44   3078       tick           232      45133722         24180         22590 
     45   3078       tick           213      45084003         24256         22554 
     46   3078       tick           211      45054033         24471         22676 
     47   3078       tick           215      45164609         24386         22566 
     48   3078       tick           222      45145127         24259         22422 
     49   3078       tick           213      45104852         24046         22818 
     50   3078       tick           217      45055562         23936         23036 
     51   3078       tick           218      45117669         24082         22482 
     52   3078       tick           190      45151083         23918         22472 
     53   3078       tick           227      45174991         23860         22472 
     54   3078       tick           229      45188203         23876         22344 
     55   3078       tick           208      45101887         23877         22709 
     56   3078       tick           225      44772294         24313         23742 
     57   3078       tick           237      45198978         23870         22200 
     58   3078       tick           234      45133895         23733         22500 
     59   3078       tick           231      45157354         24011         22317 
     60   3078       exit           143       5784924          5482          4198 
