[Event-to-counter mappings]
pmc1=l2_cache_accesses
pmc2=l2_cache_refills
pmc3=l2_cache_writebacks
pmc4=llc_accesses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  31300       tick       1960637        739836        799222       1960637 
      2  31300       tick       2839842       1411611       1392551       2839842 
      3  31300       tick       2858350       1420887       1406774       2858350 
      4  31300       tick       2849527       1416244       1400164       2849527 
      5  31300       tick       2854406       1418923       1407293       2854406 
      6  31300       tick       2848798       1415907       1401744       2848798 
      7  31300       tick       2852676       1417741       1405744       2852676 
      8  31300       tick       2848053       1415653       1402287       2848053 
      9  31300       tick       2848478       1415906       1402303       2848478 
     10  31300       tick       2829990       1406846       1386688       2829990 
     11  31300       tick       2841739       1412397       1396272       2841739 
     12  31300       tick       2848436       1416001       1401474       2848436 
     13  31300       tick       2855102       1419326       1407001       2855102 
     14  31300       tick       2840520       1412130       1395883       2840520 
     15  31300       tick       2856767       1420085       1407220       2856767 
     16  31300       tick       2773407       1378499       1356141       2773407 
     17  31300       tick       2831523       1407461       1382556       2831523 
     18  31300       tick       2784805       1384145       1356383       2784805 
     19  31300       tick       2821022       1402222       1380465       2821022 
     20  31300       tick       2847165       1415046       1398994       2847165 
     21  31300       tick       2830493       1406842       1389885       2830493 
     22  31300       tick       2835514       1409407       1392019       2835514 
     23  31300       tick       2833985       1408815       1391996       2833985 
     24  31300       tick       2845342       1414181       1399607       2845342 
     25  31300       tick       2850733       1416907       1402003       2850733 
     26  31300       tick       2848134       1415702       1401129       2848134 
     27  31300       tick       2849616       1416472       1402930       2849616 
     28  31300       tick       2855537       1419523       1407995       2855537 
     29  31300       tick       2851131       1417150       1402370       2851131 
     30  31300       tick       2833956       1408714       1388209       2833956 
     31  31300       tick       2843220       1413369       1398548       2843220 
     32  31300       exit       1381336        686666        680252       1381336 
