[Event-to-counter mappings]
pmc1=inmediate_branches_retired
pmc2=instr
pmc3=instr_arch_executed
pmc4=instr_cache_access
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1   4433       tick       4860771      24324818      24324818      11560233 
      2   4433       tick       7009726      35048644      35048644      15274933 
      3   4433       tick       7060053      35300285      35300285      16296686 
      4   4433       tick       7066683      35333443      35333443      15553965 
      5   4433       tick       7062956      35314802      35314802      17395388 
      6   4433       tick       7063351      35316761      35316761      18943575 
      7   4433       tick       7075423      35377150      35377150      19804231 
      8   4433       tick       7074947      35374762      35374762      19216789 
      9   4433       tick       7017091      35085481      35085481      19106805 
     10   4433       tick       7010432      35052196      35052196      19144623 
     11   4433       tick       6970379      34851929      34851929      18088798 
     12   4433       tick       6987450      34937283      34937283      18318718 
     13   4433       tick       7017654      35088301      35088301      18890606 
     14   4433       tick       7024016      35120116      35120116      19950173 
     15   4433       tick       6916375      34581895      34581895      19407341 
     16   4433       tick       7214485      36072457      36072457      20275518 
     17   4433       tick       7078292      35391473      35391473      19713771 
     18   4433       tick       7065870      35329380      35329380      19504555 
     19   4433       tick       7065705      35328548      35328548      20017509 
     20   4433       tick       7075367      35376864      35376864      20091261 
     21   4433       tick       7049149      35245762      35245762      19118866 
     22   4433       tick       7050106      35250562      35250562      20088339 
     23   4433       tick       7065161      35325834      35325834      20502610 
     24   4433       tick       7051140      35255730      35255730      18671815 
     25   4433       tick       7061025      35305151      35305151      19622745 
     26   4433       tick       7062540      35312721      35312721      19822535 
     27   4433       tick       7070968      35354860      35354860      20071759 
     28   4433       tick       7074806      35374056      35374056      20371823 
     29   4433       tick       7074852      35374289      35374289      19624566 
     30   4433       tick       7052826      35264156      35264156      18494088 
     31   4433       tick       7056930      35284677      35284677      19913216 
     32   4433       tick       7049543      35247744      35247744      19687197 
     33   4433       tick       7051000      35255032      35255032      19835164 
     34   4433       tick       7065259      35326313      35326313      18138694 
     35   4433       tick       7043580      35217923      35217923      19700620 
     36   4433       tick       7059696      35298510      35298510      19069292 
     37   4433       tick       7069980      35349929      35349929      20029021 
     38   4433       exit       5296009      26480114      26480114      15285131 
